"player","fullNames","birthDates","birthPlaces","deathDates","deathPlaces","weights","heights","positions","wikidataId"
"http://dbpedia.org/resource/A._N._Hornby__AN_Hornby__1","AN Hornby",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Adam_Hill__Adam_Hill__1","Adam Hill",NA,NA,NA,NA,102,190,NA,NA
"http://dbpedia.org/resource/Adam_Robson__Adam_Robson__1","Adam Robson",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Adam_Zaruba__Flanker__1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Adriaan_Richter__Adriaan_Richter__1","Adriaan Richter",NA,NA,NA,NA,100,196,NA,NA
"http://dbpedia.org/resource/Adrian_Stoop__Adrian_Dura_Stoop__1","Adrian Dura Stoop",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Alan_Bulloch__Alan_Bulloch__1","Alan Bulloch",NA,NA,NA,NA,91,175.26,NA,NA
"http://dbpedia.org/resource/Alan_McNaughton__Alan_McNaughton__1","Alan McNaughton",NA,NA,NA,NA,90,188,NA,NA
"http://dbpedia.org/resource/Alan_Neil__Alan_Neil__1","Alan Neil; Alan Warren Neil",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Albert_Rosenfeld__Albert_Rosenfeld__1","Albert Aaron Rosenfeld; Albert Rosenfeld",NA,NA,NA,NA,73.5,166,NA,NA
"http://dbpedia.org/resource/Alec_Boswell_Timms__A.B._Timms__1","A.B. Timms",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Alex_Walker_(rugby_union_born_1984)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Alexander_MacKenzie_(rugby_union)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Alfred_Eckhold__1",NA,NA,NA,NA,NA,66,NA,NA,NA
"http://dbpedia.org/resource/Ali_McKenzie__Ali_McKenzie__1","Ali McKenzie",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Alister_Campbell_(rugby_union,_born_1959)__Alister_Campbell__1","Alister Campbell",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Alister_Campbell_(rugby_union,_born_1979)__Alister_Campbell__1","Alister Campbell",NA,NA,NA,NA,112,201,NA,NA
"http://dbpedia.org/resource/Alister_Munro_Campbell",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Allan_Lewis_(rugby_union)__Allan_Lewis__1","Allan Lewis",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Alun_Lewis_(rugby_union)__Alun_Lewis__1","Alun Lewis",NA,NA,NA,NA,83,174,NA,NA
"http://dbpedia.org/resource/Alun_Wyn_Jones__Alun_Wyn_Jones__1","Alun Wyn Jones",NA,NA,NA,NA,117,196,NA,NA
"http://dbpedia.org/resource/Andrew_Henderson_(rugby_union)__Andrew_Henderson__1","Andrew Henderson",NA,NA,NA,NA,97,193,NA,NA
"http://dbpedia.org/resource/Andrew_Ker__Andrew_Ker__1","Andrew Ker",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Andrew_McCullough__Andrew_McCullough__1","Andrew McCullough",NA,NA,NA,NA,90,180,NA,NA
"http://dbpedia.org/resource/André_Snyman__André_Snyman__1","Andries Hendrik Snyman; André Snyman",NA,NA,NA,NA,100,187,NA,NA
"http://dbpedia.org/resource/Andy_Moore_(rugby_union,_born_1974)__Andy_Moore__1","Andy Moore",NA,NA,NA,NA,113,201,NA,NA
"http://dbpedia.org/resource/Andy_Mulligan_(rugby_player)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Andy_Tosney__Andy_Tosney__1","Andrew Philip Tosney; Andy Tosney",NA,NA,NA,NA,NA,NA,NA,NA
"http://dbpedia.org/resource/Angus_Buchanan_(rugby)",NA,NA,NA,NA,NA,NA,NA,NA,NA
