"player","fullNames","firstNames","givenNames","lastNames","birthNames","birthDates","birthPlaces","deathDates","deathPlaces","weightA","heightA","weightB","heightB","positions","wikidataId"
"http://dbpedia.org/resource/Shannan_McPherson","Shannan McPherson; Shannan William McPherson","","","","","1985-12-12","http://dbpedia.org/resource/Australia; http://dbpedia.org/resource/New_South_Wales; http://dbpedia.org/resource/Sydney","","",,,"99.0","185.0","","http://www.wikidata.org/entity/Q7488795"
"http://dbpedia.org/resource/Shannon_Baker","Shannon Baker","","","","","1980-01-30","","","",,"1.74 m",,"174.0","http://dbpedia.org/resource/Flanker_(rugby_union)","http://www.wikidata.org/entity/Q3481426"
"http://dbpedia.org/resource/Shannon_Boyd","Shannon Boyd","","","","","1992-09-09","http://dbpedia.org/resource/Goulburn,_New_South_Wales; http://dbpedia.org/resource/New_South_Wales,_Australia","","",,,"122.0","194.0","","http://www.wikidata.org/entity/Q16229741"
"http://dbpedia.org/resource/Shannon_Donato","Shannon Donato","","","","","1975-04-03","Sydney, New South Wales, Australia","","",,,"87.0","175.0","","http://www.wikidata.org/entity/Q7488855"
"http://dbpedia.org/resource/Shannon_Frizell","Shannon Frizell; Shannon Michael Frizell","","","","","1994-02-11","Folaha, Tonga","","",,,"108.0","195.0","","http://www.wikidata.org/entity/Q45342943"
"http://dbpedia.org/resource/Shannon_Gallant","Shannon Gallant; Shannon Paul Gallant","","","","","1986-02-26","http://dbpedia.org/resource/Sydney,_New_South_Wales,_Australia","","",,,"77.0","172.0","","http://www.wikidata.org/entity/Q7488877"
"http://dbpedia.org/resource/Shannon_Hegarty","Shannon Hegarty","","","","","1979-06-14","Brisbane, Queensland, Australia","","",,,"94.0","184.0","","http://www.wikidata.org/entity/Q7488888"
"http://dbpedia.org/resource/Shannon_Izar","","","","","","1993-05-08","","","","69.0","1.72 m","69.0","172.0","Centre","http://www.wikidata.org/entity/Q16676611"
"http://dbpedia.org/resource/Shannon_Mato","Shannon Mato","","","","","1998-08-21","http://dbpedia.org/resource/New_Zealand; http://dbpedia.org/resource/Whangarei","","",,,"86.0","179.0","http://dbpedia.org/resource/Lock_(rugby_union)","http://www.wikidata.org/entity/Q105576783"
"http://dbpedia.org/resource/Shannon_McDonnell__Shannon_McDonnell__1","Shannon Jay McDonnell; Shannon McDonnell","","","","","","","","",,,"86.0","181.0","",
"http://dbpedia.org/resource/Shannon_Nevin","Shannon Nevin","","","","","1976-02-13","http://dbpedia.org/resource/Sydney,_New_South_Wales,_Australia","","",,,,,"","http://www.wikidata.org/entity/Q17403068"
"http://dbpedia.org/resource/Shannon_Paku","","","","","Shannon M. Paku","1980-09-23","Masterton, New Zealand","","",,,"89.3592","182.88","http://dbpedia.org/resource/Rugby_union_positions","http://www.wikidata.org/entity/Q3481439"
"http://dbpedia.org/resource/Shannon_Parry","","","","","","1989-10-27","http://dbpedia.org/resource/Australia; http://dbpedia.org/resource/Brisbane; http://dbpedia.org/resource/Queensland","","","70.0","1.7 m","70.0","170.0","http://dbpedia.org/resource/Flanker_(rugby_union)","http://www.wikidata.org/entity/Q17386519"
"http://dbpedia.org/resource/Shannon_Rick","Shannon Michael Kendrick Rick; Shannon Rick","","","","","1988-10-21","East London, South Africa","","",,,"87.0","178.0","","http://www.wikidata.org/entity/Q16232384"
"http://dbpedia.org/resource/Shannon_Stowers","Shannon Stowers","","","","","1980-03-21","New Zealand","","",,,,,"","http://www.wikidata.org/entity/Q7488965"
"http://dbpedia.org/resource/Shannon_Wakeman","Shannon Wakeman","","","","","1990-02-15","http://dbpedia.org/resource/Dapto; http://dbpedia.org/resource/New_South_Wales,_Australia","","",,,"101.60469088","182.88","","http://www.wikidata.org/entity/Q28051594"
"http://dbpedia.org/resource/Shannon_Walker_(rugby)","Shannon Walker","","","","","1988-11-25","Kyogle, New South Wales, Australia","","",,,"81.0","0.0","Fullback, Wing","http://www.wikidata.org/entity/Q7488978"
"http://dbpedia.org/resource/Shannon_Willoughby","","","","","","1982-01-15","","","",,,,"175.0","Loose Forward","http://www.wikidata.org/entity/Q3481442"
"http://dbpedia.org/resource/Shaquai_Mitchell","Shaq Mitchell; Shaquai Mitchell","","","","","1996-03-19","Taree, New South Wales, Australia","","",,,"118.0","191.0","","http://www.wikidata.org/entity/Q110923522"
"http://dbpedia.org/resource/Sharni_Williams","","","","","","1988-03-02","http://dbpedia.org/resource/Batlow,_New_South_Wales","","","75.0","1.65 m","75.0","165.0","Centre, Forward","http://www.wikidata.org/entity/Q7489946"
"http://dbpedia.org/resource/Sharon_Acevedo","","","","","","1993-10-15","","","","61.0","1.70 m","61.0","170.0","","http://www.wikidata.org/entity/Q26221632"
"http://dbpedia.org/resource/Sharon_Blaney","Sharon Blaney","","","","","1979-05-16","Braintree, Massachusetts, U.S.","","",,,,"177.8","http://dbpedia.org/resource/Rugby_union_positions","http://www.wikidata.org/entity/Q7489996"
"http://dbpedia.org/resource/Sharon_Lynch","","","","","","1982-09-17","","","",,,,"163.0","Hooker","http://www.wikidata.org/entity/Q18044678"
"http://dbpedia.org/resource/Sharon_McGrady","Sharon McGrady","","","","","1993-03-14","http://dbpedia.org/resource/Australia; http://dbpedia.org/resource/Goondiwindi; http://dbpedia.org/resource/Queensland","","",,,"65.0","165.0","","http://www.wikidata.org/entity/Q101229273"
"http://dbpedia.org/resource/Shaun_Adendorff","Shaun Adendorff","","","","","1992-05-28","http://dbpedia.org/resource/Durban; http://dbpedia.org/resource/South_Africa","","",,,"100.0","186.0","","http://www.wikidata.org/entity/Q22138528"
"http://dbpedia.org/resource/Shaun_Ainscough","Shaun Ainscough; Shaun Michael Ainscough","","","","","1989-11-27","http://dbpedia.org/resource/Billinge_Higher_End; http://dbpedia.org/resource/Metropolitan_Borough_of_Wigan","","",,,"82.55381134","152.4","","http://www.wikidata.org/entity/Q7490784"
"http://dbpedia.org/resource/Shaun_Allen","Shaun Allen","","","","","1965-09-23","England","","",,,,,"","http://www.wikidata.org/entity/Q18640301"
"http://dbpedia.org/resource/Shaun_Ata","Shaun Ata","","","","","","New Zealand","","",,,,,"","http://www.wikidata.org/entity/Q7490789"
"http://dbpedia.org/resource/Shaun_Berne","Shaun Berne","","","","Shaun Berne","1979-01-08","Sydney, Australia","","",13,"180.34","82.55381134","180.34","http://dbpedia.org/resource/Centre_(rugby_union); http://dbpedia.org/resource/Fly-half_(rugby_union)","http://www.wikidata.org/entity/Q3481564"
"http://dbpedia.org/resource/Shaun_Berrigan","Shaun Berrigan","","","","","1978-11-04","Brisbane, Queensland, Australia","","",,,"87.0","178.0","","http://www.wikidata.org/entity/Q3481562"
"http://dbpedia.org/resource/Shaun_Briscoe","Shaun Briscoe","","","","","1983-02-23","Higher End, Wigan, Greater Manchester, England","","",,,"88.90410452","182.88","","http://www.wikidata.org/entity/Q3481566"
"http://dbpedia.org/resource/Shaun_Connor","Shaun Connor","","","","","1975-11-20","http://dbpedia.org/resource/Panteg; http://dbpedia.org/resource/Torfaen","","",13,,"82.55381134","172.72","http://dbpedia.org/resource/Fly-half_(rugby_union)","http://www.wikidata.org/entity/Q7490820"
"http://dbpedia.org/resource/Shaun_Davies_(rugby_union)","Shaun Davies","","","","","1989-06-21","http://dbpedia.org/resource/Durban; http://dbpedia.org/resource/South_Africa","","",,,"81.0","170.0","","http://www.wikidata.org/entity/Q24258847"
"http://dbpedia.org/resource/Shaun_Devine","Shaun Devine","","","","","1970-04-04","Australia","","",,,,,"","http://www.wikidata.org/entity/Q7490827"
"http://dbpedia.org/resource/Shaun_Edwards","(OBE); Shaun Edwards","","","","","1966-10-17","http://dbpedia.org/resource/Lancashire,_England; http://dbpedia.org/resource/Wigan","","",,,"69.85322498","152.4","","http://www.wikidata.org/entity/Q981899"
"http://dbpedia.org/resource/Shaun_Evans_(rugby_union)","Shaun Evans","","","","Shaun Evans","1996-09-14","http://dbpedia.org/resource/Carmarthen; http://dbpedia.org/resource/Wales","","",,,"106.0","183.0","http://dbpedia.org/resource/Flanker_(rugby_union); http://dbpedia.org/resource/Hooker_(rugby_union)","http://www.wikidata.org/entity/Q45189110"
"http://dbpedia.org/resource/Shaun_Fensom","Shaun Fensom","","","","","1988-10-10","http://dbpedia.org/resource/Australia; http://dbpedia.org/resource/Camden,_New_South_Wales; http://dbpedia.org/resource/New_South_Wales","","",,,"100.0","182.0","","http://www.wikidata.org/entity/Q7490845"
"http://dbpedia.org/resource/Shaun_Foley","Shaun Foley","","","","","1986-08-29","Sydney, New South Wales, Australia","","",,,"85.0","181.0","http://dbpedia.org/resource/Fullback_(rugby_union)","http://www.wikidata.org/entity/Q7490848"
"http://dbpedia.org/resource/Shaun_Gadsby","Shaun Gadsby","","","","","1963-05-20","http://dbpedia.org/resource/Cambridgeshire; http://dbpedia.org/resource/England; http://dbpedia.org/resource/Wimpole","2015-04-22","",,,,,"http://dbpedia.org/resource/Flanker_(rugby_union)","http://www.wikidata.org/entity/Q24514869"
"http://dbpedia.org/resource/Shaun_Gunn","Shaun Gunn","","","","","1998-06-29","http://dbpedia.org/resource/Scotland","","",,,"119.0","189.0","","http://www.wikidata.org/entity/Q106241932"
"http://dbpedia.org/resource/Shaun_Hopkins_(rugby_union)","Shaun Hopkins","","","","Shaun Hopkins","1985-02-23","; http://dbpedia.org/resource/Crynant; http://dbpedia.org/resource/Neath_Port_Talbot; http://dbpedia.org/resource/Wales","","",,,"114.0","185.0","","http://www.wikidata.org/entity/Q7490884"
"http://dbpedia.org/resource/Shaun_Irwin","Shaun Irwin; Shaun Michael Irwin","","","","","1968-12-08","Pontefract, England","","",,,,,"","http://www.wikidata.org/entity/Q7490888"
"http://dbpedia.org/resource/Shaun_Johnson","Shaun Johnson","","","","","1990-09-09","http://dbpedia.org/resource/Auckland,_New_Zealand","","",,,"91.0","179.0","","http://www.wikidata.org/entity/Q7490891"
"http://dbpedia.org/resource/Shaun_Keating","Shaun Keating","","","","","1970-07-08","Australia","","",,,,,"","http://www.wikidata.org/entity/Q65600645"
"http://dbpedia.org/resource/Shaun_Kenny-Dowall","Shaun ""SKD"" or ""Skids"" Kenny-Dowall; Shaun Kenny-Dowall","","","","","1988-01-23","Brisbane, Queensland, Australia","","",,,"104.0","194.0","","http://www.wikidata.org/entity/Q3481572"
"http://dbpedia.org/resource/Shaun_Knight","Shaun Knight","","","","","1990-02-19","http://dbpedia.org/resource/England; http://dbpedia.org/resource/Gloucester","","",,,"119.0","183.0","http://dbpedia.org/resource/Prop_(rugby_union)","http://www.wikidata.org/entity/Q7490895"
"http://dbpedia.org/resource/Shaun_Lane","Shaun Lane","","","","","1994-11-29","http://dbpedia.org/resource/New_South_Wales,_Australia; http://dbpedia.org/resource/Sydney","","",,,"110.0","198.0","","http://www.wikidata.org/entity/Q20744923"
"http://dbpedia.org/resource/Shaun_Longstaff","Flynn Longstaff","","","","Shaun Longstaff","1972-01-03","Wellington, New Zealand","","",,,"95.0","185.42","http://dbpedia.org/resource/Rugby_union_positions","http://www.wikidata.org/entity/Q3481576"
"http://dbpedia.org/resource/Shaun_Lunt","Shaun James Lunt; Shaun Lunt","","","","","1987-04-15","http://dbpedia.org/resource/Cockermouth; http://dbpedia.org/resource/Cumbria,_England","","",,,"88.90410452","152.4","","http://www.wikidata.org/entity/Q7490903"
"http://dbpedia.org/resource/Shaun_MacDonald_(rugby_union)__Shaun_MacDonald__1","Shaun MacDonald","","","","","","","","",,,"99.0","180.0","",
"http://dbpedia.org/resource/Shaun_Magennis","Shaun Magennis","","","","","1989-12-02","St Helens, Merseyside, England","","",,,"95.2543977","182.88","","http://www.wikidata.org/entity/Q7490906"
"http://dbpedia.org/resource/Shaun_McDonald_(rugby_union)__Shaun_McDonald__1","Shaun McDonald","","","","","","","","",,,,"192.0","",
"http://dbpedia.org/resource/Shaun_McRae","Shaun McRae","","","","","1959-12-21","Australia","","",,,,,"","http://www.wikidata.org/entity/Q3481578"
"http://dbpedia.org/resource/Shaun_Payne","Shaun Payne","","","","","1972-02-22","http://dbpedia.org/resource/Cape_Town; http://dbpedia.org/resource/South_Africa","","","96.0",,"96.0","183.0","http://dbpedia.org/resource/Centre_(rugby_union); http://dbpedia.org/resource/Fullback_(rugby_union); http://dbpedia.org/resource/Wing_(rugby_union)","http://www.wikidata.org/entity/Q3481579"
"http://dbpedia.org/resource/Shaun_Perry","Shaun Perry","","","","Shaun Andrew Perry","1978-05-04","http://dbpedia.org/resource/Wolverhampton","","",,,"98.0","180.0","http://dbpedia.org/resource/Scrum-half_(rugby_union)","http://www.wikidata.org/entity/Q591492"
"http://dbpedia.org/resource/Shaun_Povey","Shaun Povey","","","","Shaun Albert Povey","1954-08-09","Port Elizabeth, South Africa","","","94.0","1.84m","94.0","184.0","http://dbpedia.org/resource/Hooker_(rugby_union)","http://www.wikidata.org/entity/Q71991220"
