"team","teamLabel","teamNames","teamNames2","fullNames","nickNames","wikidataId"
"http://dbpedia.org/resource/'Till_I_Get_My_Way/Girl_Is_on_My_Mind","'Till I Get My Way/Girl Is on My Mind",NA,NA,NA,NA,NA
"http://dbpedia.org/resource/1._Oberösterreichischer_Rugby_Sport_Club","1. Oberösterreichischer Rugby Sport Club","; 1. Oberösterreichischer Rugby Sport Club",NA,"1",NA,"http://www.wikidata.org/entity/Q163288"
"http://dbpedia.org/resource/1986–87_Saudi_Premier_League","1986–87 Saudi Premier League",NA,NA,NA,NA,"http://www.wikidata.org/entity/Q2949081"
"http://dbpedia.org/resource/50/50_&_Lullaby","50/50 & Lullaby",NA,NA,NA,NA,"http://www.wikidata.org/entity/Q4639707"
"http://dbpedia.org/resource/AA_UTAD_Rugby","AA UTAD Rugby","; UTAD",NA,"Associação Académica Universidade de Trás-os-Montes e Alto Douro Rugby",NA,"http://www.wikidata.org/entity/Q17048436"
"http://dbpedia.org/resource/ACS_Tomitanii_Constanța","ACS Tomitanii Constanța","; ACS Tomitanii Constanța",NA,"Asociația Clubul Sportiv Tomitanii Constanța",NA,"http://www.wikidata.org/entity/Q56291293"
"http://dbpedia.org/resource/ACT_Brumbies","ACT Brumbies","ACT Brumbies",NA,NA,NA,"http://www.wikidata.org/entity/Q605245"
"http://dbpedia.org/resource/ACT_Veterans_Rugby_Club","ACT Veterans Rugby Club","; ACT Vets",NA,NA,NA,"http://www.wikidata.org/entity/Q17985394"
"http://dbpedia.org/resource/AEIS_Agronomia","AEIS Agronomia","Agronomia",NA,"Associação de Estudantes do Instituto Superior de Agronomia",NA,"http://www.wikidata.org/entity/Q2740841"
"http://dbpedia.org/resource/ARC_Iuridica","ARC Iuridica","; ARC Iuridica Prague",NA,"Academic Rugby Club Iuridica Praha",NA,"http://www.wikidata.org/entity/Q4653629"
"http://dbpedia.org/resource/ASA_Tel_Aviv_Rugby_Club","ASA Tel Aviv Rugby Club","ASA ""Yaron"" Tel Aviv Rugby Club",NA,NA,NA,"http://www.wikidata.org/entity/Q4654064"
"http://dbpedia.org/resource/ASC_Saint_Apollinaire-Talant_RC","ASC Saint Apollinaire-Talant RC","; ASC Saint Apollinaire - Talant RC; St Apo",NA,"Association Sportive et Culturelle de Saint Apollinaire - Talant Rugby Club","St Apo","http://www.wikidata.org/entity/Q4654143"
