"rugbyscopeId","wikidataId","fullName","firstNames","lastNames","altNames","birthDate","birthPlace","deathDate","deathPlace","citizenships","sportNations","positions","careerStartYear","careerEndYear","weight","height","espnScrumId","allRugbyId","googleKnowlId","itsRugbyId","rugbyDatabaseId","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId","Comment"
5654,"Q1343583","Kenta Kobashi","Kenta","Kobashi","Kobashi けんた",1967-03-27,"Fukuchiyama",NA,NA,"Japan",NA,NA,"1988",NA,115,186,NA,NA,NA,NA,NA,"Kenta_Kobashi","Kenta_Kobashi","Kenta_Kobashi","Kenta_Kobashi","%E5%B0%8F%E6%A9%8B%E5%BB%BA%E5%A4%AA",NA,"Only played when under 18"
467,"Q105258510","Taku Ōtsuki","Taku","Ōtsuki","大槻 卓",1978-07-07,"Nagoya; Aichi Prefecture; Japan",NA,NA,"Japan",NA,"Fly-Half",NA,NA,70,168,NA,NA,"11llvmz2h2",NA,NA,NA,NA,NA,NA,"%E5%A4%A7%E6%A7%BB%E5%8D%93",NA,"Only a referee, never played rugby"
481,"Q105258866","Noriaki Hashimoto","Noriaki","Hashimoto","橋元 教明",1986-09-14,NA,NA,NA,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,"11llwj_c1s",NA,NA,NA,NA,NA,NA,"%E6%A9%8B%E5%85%83%E6%95%99%E6%98%8E",NA,"Only a referee, never played rugby after highschool"
1269,"Q109452889","Ibuki Tetsuka","Ibuki","Tetsuka","手束 伊吹",1997-06-09,NA,NA,NA,"Japan",NA,"Fly-Half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"%E6%89%8B%E6%9D%9F%E4%BC%8A%E5%90%B9",NA,"Only a referee, never played rugby after highschool"
1276,"Q109452898","Masamichi Tatekawa","Masamichi","Tatekawa","立川 誠道",1985-02-06,NA,NA,NA,"Japan",NA,"Winger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"%E7%AB%8B%E5%B7%9D%E8%AA%A0%E9%81%93",NA,"Only a referee, never played rugby after highschool"
2193,"Q114700192","Kyoko Hosokawa","Kyoko","Hosokawa","細川 恭子",1999-01-01,NA,NA,NA,"Japan",NA,"2nd Row",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kyoko_Hosokawa",NA,NA,NA,NA,"Female player"
2194,"Q114700208","Ayasa Otsuka","Ayasa","Otsuka","大塚 朱紗",1999-01-01,NA,NA,NA,"Japan",NA,"Fly-Half",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ayasa_%C5%8Ctsuka",NA,NA,NA,NA,"Female player"
2195,"Q114700232","Ai Hirayama","Ai","Hirayama","平山 愛",1992-01-01,NA,NA,NA,"Japan",NA,"Fullback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ai_Hirayama",NA,NA,NA,NA,"Female player"
2196,"Q114700245","Ria Anoku","Ria","Anoku","庵奥 里愛",1996-01-01,NA,NA,NA,"Japan",NA,"Fullback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ria_Anoku",NA,NA,NA,NA,"Female player"
9152,"Q2412532","Richard Alonso","Richard","Alonso",NA,1948-09-22,"Paraza",2022-04-28,"Narbonne","France",NA,NA,NA,NA,NA,NA,NA,NA,"122sg1bd",NA,NA,NA,"Richard_Alonso",NA,NA,NA,NA,"Played only rugby league"
19891,"Q6146860","Jamie Durbin","Jamie","Durbin","James Durbin",1984-09-07,"Widnes",NA,NA,"United Kingdom","England","Scrum-Half",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jamie_Durbin",NA,NA,NA,NA,"http://dbpedia.org/resource/Jamie_Durbin","Played rugby union only in school, then switched to rugby league"
