"rugbyscopeId","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","nations","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId","comments"
203,"Q1053725","Cheetahs","Club","2005-01-01",NA,"Central Cheetahs; Cheetahs Rugby Union; Griquas / Cheetahs; チーターズ; フリーステート",NA,"South Africa","United Rugby Championship; Pro14",1,"Free State Stadium","48000","Bloemfontein",NA,NA,"Cheetahs_(rugby_union)","Cheetahs","Central_Cheetahs","Cheetahs","%E3%83%81%E3%83%BC%E3%82%BF%E3%83%BC%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","http://dbpedia.org/resource/Cheetahs_(rugby_union)","Wikipedia used to distinguish Cheetahs and Free State Cheetahs, but not anymore > merged with 22"
254,"Q1378158","Bulls","Club","1997-01-01",NA,"Blue Bulls A; Blue Bulls; Blue Bulls / Bulls; Bull; Bulls Rugby Union; Noordelike Bulle; Northern Bulls; The Bulls; Vodacom Blue Bulls; Vodacom Bulls; ブルズ; 노던 불스",NA,"South Africa","United Rugby Championship",1,"Loftus Versfeld Stadium",NA,"Pretoria",NA,NA,"Bulls_(rugby_union)","Bulls_(rugby_%C3%A0_XV)","Bulls_(rugby_a_15)","Bulls_(rugby)","%E3%83%96%E3%83%AB%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","http://dbpedia.org/resource/Bulls_(rugby_union)","Wikipedia used to distinguish Bulls and Blue Bulls, but not anymore > merged with 156"
258,"Q1393650","Sharks","Club","1996-01-01",NA,"Coastal Sharks; Sharks Rugby Union; The Sharks; シャークス; シャークスXV",NA,"South Africa","United Rugby Championship",1,"Kings Park Stadium",NA,"Durban",NA,NA,"Sharks_(rugby_union)","Sharks_(rugby_%C3%A0_XV)","Sharks_(rugby_a_15)","Sharks","%E3%82%B7%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%B9_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","http://dbpedia.org/resource/Sharks_(rugby_union)","Wikipedia used to distinguish Sharks and Natal Sharks, but not anymore > merged with 121"
278,"Q1534021","Golden Lions","Club","1889-01-01",NA,"Golden Lions u/21; Gauteng Lions; Golden Cats; Golden Lions U20; Golden Lions U21; MTM Lions; Rooibontes; Transvaal; Transvaal / Golden Lions; Transvaal Rugby Union; Xerox Golden Lions; ゴールデン・ライオンズ; ゴールデン・ライオンズXV; ゴールデンライオンズ; トランスヴァール","South African Rugby Union","South Africa","Currie Cup",2,"Ellis Park Stadium","62567","Johannesburg",NA,NA,"Golden_Lions","Golden_Lions","Golden_Lions","Golden_Lions","%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%87%E3%83%B3%E3%83%BB%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BA","http://dbpedia.org/resource/Golden_Lions","Wikipedia used to distinguish Lions and Golden Lions, but not anymore > merged with 241"
344,"Q2300859","Western Province","Club","1883-01-01",NA,"Die Streeptruie; Die Streeptruie and WP; Province; Westelike-Provinsie; Westelike Provinsie Rugby Unie; Westelike Provinsie Rugbyunie; Wester Province Rugby Union; Western Province -21 ans; Western Province Rugby Union; Western Province RFU; Western Province Rugby; Western Province Rugby Football Union; WP; WP Academy; WP Rugby; WPRFU; WPラグビー; ウェスタン・プロヴァンス; ウェスタン・プロヴィンス; ウェスタン・プロヴィンスU19; ウェスタン・プロヴィンスU21","South African Rugby Union","South Africa","Currie Cup",NA,"Newlands Stadium","50900","Cape Town",NA,NA,"Western_Province_(rugby_union)","Western_Province_(rugby_%C3%A0_XV)","Western_Province","Western_Province","%E3%82%A6%E3%82%A7%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%BB%E3%83%97%E3%83%AD%E3%83%B4%E3%82%A3%E3%83%B3%E3%82%B9","http://dbpedia.org/resource/Western_Province_(rugby_union)","Wikipedia used to distinguish Stormers and Western Province, but not anymore > merged with 135"
934,"Q4824649","Australian Schoolboys national rugby union team","National school team",NA,NA,"Aus Schools; Australia 'A' Schoolboys; Australia 'A' Schools; Australia A Schools; Australia Schoolboys; Australia Schools; Australian A Schoolboys; Australian Schoolboys; Australian Schoolboys & U18; Australian Schoolboys rugby union team; Australian Schools; Australie scolaire; Schoolboys",NA,"Australia",NA,1,NA,NA,NA,NA,NA,"Australian_Schoolboys_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/Australian_Schoolboys_rugby_union_team","Youth level team"
989,"Q4942696","Bonymaen Broncos","Club/franchise team","2010-01-01",NA,"Broncos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bonymaen_Broncos",NA,NA,NA,NA,"http://dbpedia.org/resource/Bonymaen_Broncos","Rugby league club"
1051,"Q5025391","Cambridge Colts","Club/franchise team",NA,NA,"Cambridge RUFC Colts",NA,"England",NA,NA,NA,NA,NA,NA,NA,"Cambridge_R.U.F.C.",NA,NA,NA,NA,"http://dbpedia.org/resource/Cambridge_Colts","Merged with 1051"
1369,"Q6068681","Ireland national schoolboy rugby union team","National senior team",NA,NA,"Ireland Schoolboys; Ireland Schools; Ireland U18 Schools",NA,"Ireland",NA,1,NA,NA,NA,NA,NA,"Ireland_national_schoolboy_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/Ireland_national_schoolboy_rugby_union_team","Youth level team"
1832,"Q7588322","St. Helens RUFC","Club/franchise team",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA,NA,"Liverpool_St_Helens_F.C.",NA,NA,NA,NA,NA,"Merged with 549"
