"playerId","playerName","teamWdId","teamRsId","teamName","startYear","endYear","matchesPlayed","pointsScored","dataSource"
"Q7571","Patricio Albacete",NA,6987,"Argentina national under-18 rugby union team",1998,1998,0,0,"enWP"
"Q7571","Patricio Albacete",NA,6910,"Argentina national under-19 rugby union team",1999,2000,6,0,"enWP"
"Q7571","Patricio Albacete","Q2400665",360,"Belgrano Athletic Club",1999,2003,NA,NA,"itWP"
"Q7571","Patricio Albacete","Q5136304",1114,"Club Manuel Belgrano",1999,2003,0,0,"frWP; esWP; enWP"
"Q7571","Patricio Albacete",NA,6911,"Argentina national under-21 rugby union team",2000,2002,12,30,"enWP"
"Q7571","Patricio Albacete","Q3873496",823,"Argentina A national rugby union team",2002,2003,5,5,"enWP"
"Q7571","Patricio Albacete","Q1407380",260,"US Colomiers",2003,2004,11,10,"WD; frWP; itWP; esWP; enWP"
"Q7571","Patricio Albacete","Q646070",101,"Argentina national rugby union team",2003,2013,57,5,"WD; frWP; itWP; esWP"
"Q7571","Patricio Albacete","Q646070",101,"Argentina national rugby union team",2003,2014,57,5,"enWP"
"Q7571","Patricio Albacete","Q15055309",2145,"Section Paloise",2004,2006,26,5,"WD; frWP; itWP; esWP; enWP"
"Q7571","Patricio Albacete","Q431412",44,"Stade Toulousain",2006,2017,234,43,"WD; frWP; itWP; esWP; enWP"
"Q7571","Patricio Albacete","Q118498",10,"Racing 92",2017,2018,3,0,"frWP; itWP; esWP; enWP"
"Q12940","Jacques Chaban-Delmas","Q518116",58,"France national rugby union team",1945,1945,NA,0,"WD"
"Q12940","Jacques Chaban-Delmas","Q1361000",252,"Stade Français Rugby",NA,NA,NA,NA,"WD"
"Q18455","Ben Tune","Q1368281",253,"Queensland Reds",1995,2007,112,155,"WD; frWP; esWP"
"Q18455","Ben Tune","Q622443",86,"Australia national rugby union team",1996,2006,47,120,"WD; frWP; enWP"
"Q18455","Ben Tune","Q1368281",253,"Queensland Reds",1996,2007,84,155,"esWP; enWP"
"Q26037","Quade Cooper","Q4824649",934,"Australian Schoolboys national rugby union team",2005,2006,9,0,"WD; enWP"
"Q26037","Quade Cooper","Q1368281",253,"Queensland Reds",2006,2015,109,768,"enWP"
"Q26037","Quade Cooper","Q1368281",253,"Queensland Reds",2006,2017,119,846,"jaWP"
"Q26037","Quade Cooper","Q3046497",493,"Queensland Country",2007,2007,8,5,"WD; jaWP; frWP; itWP; esWP; enWP"
"Q26037","Quade Cooper","Q1368281",253,"Queensland Reds",2007,2015,106,770,"WD; frWP; itWP; esWP"
"Q26037","Quade Cooper","Q4823737",933,"Australia national under-20 rugby union team",2008,2008,5,46,"WD; jaWP; frWP; enWP"
"Q26037","Quade Cooper","Q622443",86,"Australia national rugby union team",2008,2023,80,208,"WD; jaWP; frWP; itWP; enWP"
"Q26037","Quade Cooper","Q2881429",424,"Brisbane City",2014,2014,NA,NA,"esWP"
"Q26037","Quade Cooper","Q2881429",424,"Brisbane City",2014,2015,3,39,"WD; frWP; itWP"
"Q26037","Quade Cooper","Q2881429",424,"Brisbane City",2014,2018,16,142,"jaWP; enWP"
"Q26037","Quade Cooper","Q1857064",315,"RC Toulonnais",2015,2016,15,10,"WD; jaWP; frWP; itWP; esWP; enWP"
"Q26037","Quade Cooper","Q807749",136,"Barbarian FC",2017,2017,NA,NA,"WD"
