"playerId"  , "playerName"                 , "teamWdId"  , "teamRsId", "teamName"                                          , "startYear", "endYear", "matchesPlayed", "pointsScored", "dataSource"
"Q131895"   , "Ross Filipo"                , "Q2414175"  , "361"     , "Marlborough Rugby Union"                           , "2001"     , "2001"   , "7"            , "0"           , "WD; frWP"
"Q131895"   , "Ross Filipo"                , "Q104856087", "2905"    , "Tasman Rugby Union Team"                           , "2001"     , "2001"   , "7"            , "0"           , "enWP"
"Q131895"   , "Ross Filipo"                , "Q1476647"  , "270"     , "Wellington Rugby Football Union Team"              , "2002"     , "2008"   , "47"           , "50"          , "WD; frWP; enWP"
"Q131895"   , "Ross Filipo"                , "Q959847"   , "188"     , "Crusaders"                                         , "2004"     , "2009"   , "45"           , "40"          , "WD; frWP; enWP"
"Q131895"   , "Ross Filipo"                , "Q1490464"  , "271"     , "Maori All Blacks team"                             , "2005"     , "2008"   , "7"            , "0"           , "frWP; enWP"
"Q131895"   , "Ross Filipo"                , "Q749756"   , "124"     , "New Zealand A national rugby union team"           , "2007"     , "2007"   , "3"            , "10"          , "WD; enWP"
"Q131895"   , "Ross Filipo"                , "Q55801"    , "6"       , "New Zealand national rugby union team"             , "2007"     , "2008"   , "5"            , "0"           , "WD; frWP; enWP"
"Q131895"   , "Ross Filipo"                , "Q630112"   , "88"      , "Aviron Bayonnais"                                  , "2009"     , "2011"   , "43"           , "25"          , "WD; frWP; enWP"
"Q131895"   , "Ross Filipo"                , "Q1150127"  , "231"     , "Wasps RFC"                                         , "2011"     , "2012"   , "17"           , "15"          , "WD; frWP; enWP"
"Q131895"   , "Ross Filipo"                , "Q1476647"  , "270"     , "Wellington Rugby Football Union Team"              , "2012"     , "2014"   , "17"           , "49"          , "WD; frWP; enWP"
"Q131895"   , "Ross Filipo"                , "Q586617"   , "72"      , "Chiefs"                                            , "2013"     , "2015"   , "7"            , "0"           , "WD; frWP; enWP"
"Q131895"   , "Ross Filipo"                , "Q118498"   , "10"      , "Racing 92"                                         , "2015"     , "2016"   , "8"            , "0"           , "frWP; enWP"
"Q131895"   , "Ross Filipo"                , "Q104856096", "2908"    , "Hawke's Bay Rugby Union Team"                      , "2016"     , "2017"   , "6"            , "0"           , "frWP; enWP"
"Q131895"   , "Ross Filipo"                , "Q2981203"  , "478"     , "Coca Cola West Red Sparks"                         , "2017"     , "2018"   , "2"            , "0"           , "frWP; enWP"
"Q743099"   , "Stuart Lancaster"           , NA          , "7682"    , "Scotland national university rugby union team"     , "1988"     , "1988"   , "1"            , "0"           , "enWP"
"Q743099"   , "Stuart Lancaster"           , "Q3565240"  , "728"     , "Wakefield RFC"                                     , "1988"     , "1991"   , NA             , NA            , "itWP; WD; frWP; esWP; enWP"
"Q743099"   , "Stuart Lancaster"           , "Q7435699"  , "1788"    , "Scotland national under-19 rugby union team"       , "1989"     , "1989"   , "1"            , "0"           , "WD; frWP; enWP"
"Q743099"   , "Stuart Lancaster"           , "Q7435701"  , "1789"    , "Scotland national under-20 rugby union team"       , "1991"     , "1991"   , "1"            , "0"           , "frWP"
"Q743099"   , "Stuart Lancaster"           , "Q22098292" , "2509"    , "Scotland national under-21 rugby union team"       , "1991"     , "1991"   , "1"            , "0"           , "enWP"
"Q743099"   , "Stuart Lancaster"           , "Q1360196"  , "251"     , "Leeds Tykes"                                       , "1991"     , "2000"   , "106"          , "0"           , "WD; frWP; itWP; esWP; enWP"
"Q743099"   , "Stuart Lancaster"           , "Q4774106"  , "911"     , "Anti-Assassins"                                    , "1999"     , "1999"   , NA             , NA            , "enWP"
"Q2849130"  , "Andy Kyriacou"              , "Q1360196"  , "251"     , "Leeds Tykes"                                       , "2003"     , "2004"   , "1"            , "0"           , "WD; frWP; enWP"
