"rugbyscopeId","fullName","countries","before","after"
178,"Asociación Alumni","Argentina","Amateur","Amateur"
193,"Jockey Club de Rosario","Argentina","Amateur","Amateur"
265,"Club Newman","Argentina","Amateur","Amateur"
307,"Hindú Club","Argentina","Amateur","Amateur"
312,"San Isidro Club","Argentina","Amateur","Amateur"
359,"Club Atlético del Rosario","Argentina","Amateur","Amateur"
360,"Belgrano Athletic Club","Argentina","Amateur","Amateur"
426,"Club Banco Nación","Argentina","Amateur","Amateur"
428,"Tucumán Rugby Club","Argentina","Amateur","Amateur"
543,"La Plata Rugby Club","Argentina","Amateur","Amateur"
811,"Club Atlético San Isidro Rugby","Argentina","Amateur","Amateur"
1107,"Club Champagnat","Argentina","Amateur","Amateur"
1115,"Club Natación y Gimnasia","Argentina","Amateur","Amateur"
1116,"Club Palermo Bajo","Argentina","Amateur","Amateur"
1118,"Club Pucará","Argentina","Amateur","Amateur"
1121,"Club San Cirano","Argentina","Amateur","Amateur"
1125,"Club Universitario de Córdoba","Argentina","Amateur","Amateur"
1154,"Curupaytí Club de Rugby","Argentina","Amateur","Amateur"
1187,"Duendes Rugby Club","Argentina","Amateur","Amateur"
1325,"Cha Roga Club","Argentina","Amateur","Amateur"
1388,"Club Universitario de Rosario","Argentina","Amateur","Amateur"
1443,"Club Liceo Naval","Argentina","Amateur","Amateur"
1474,"Los Tarcos Rugby Club","Argentina","Amateur","Amateur"
1618,"Olivos Rugby Club","Argentina","Amateur","Amateur"
1867,"Tala Rugby Club","Argentina","Amateur","Amateur"
1879,"Teqüe Rugby Club","Argentina","Amateur","Amateur"
2009,"Jockey Club Córdoba","Argentina","Amateur","Amateur"
2015,"Pueyrredón Rugby Club","Argentina","Amateur","Amateur"
2346,"Huirapuca Social Club","Argentina","Amateur","Amateur"
2687,"Club Universitario de Buenos Aires rugby","Argentina","Amateur","Amateur"
2822,"Old Resian Club","Argentina","Amateur","Amateur"
3223,"Liceo Rugby Club","Argentina","Amateur","Amateur"
3387,"Universitario Rugby Club Mendoza","Argentina","Amateur","Amateur"
3493,"Roca Rugby Club","Argentina","Amateur","Amateur"
42,"Canberra Vikings","Australia","Amateur","Amateur"
61,"New South Wales Waratahs","Australia","Regional","Senior"
80,"ACT Brumbies","Australia","Regional","Senior"
253,"Queensland Reds","Australia","Regional","Senior"
494,"Eastern Suburbs RUFC","Australia","Amateur","Amateur"
496,"Easts Tigers Rugby Union","Australia","Amateur","Amateur"
497,"Eastwood Rugby Club","Australia","Amateur","Amateur"
