"name","tier","division","wikidataId","homonyms"
"Bath Rugby",1,"Premiership Rugby","Q810786",""
"Bristol Bears",1,"Premiership Rugby","Q917973",""
"Exeter Chiefs",1,"Premiership Rugby","Q675305",""
"Gloucester Rugby",1,"Premiership Rugby","Q745758",""
"Harlequin FC",1,"Premiership Rugby","Q1149835",""
"Leicester Tigers",1,"Premiership Rugby","Q1071691",""
"London Irish",1,"Premiership Rugby","Q1193020",""
"London Welsh RFC",1,"Premiership Rugby","Q1048688",""
"Newcastle Falcons",1,"Premiership Rugby","Q910657",""
"Northampton Saints",1,"Premiership Rugby","Q1201283",""
"Sale Sharks",1,"Premiership Rugby","Q928517",""
"Saracens FC",1,"Premiership Rugby","Q9641",""
"Wasps RFC",1,"Premiership Rugby","Q1150127",""
"Worcester Warriors",1,"Premiership Rugby","Q2094512",""
"Ampthill RUFC",2,"RFU Championship","Q4748551",""
"Bedford Blues",2,"RFU Championship","Q639082",""
"Caldy RFC",2,"RFU Championship","Q5019181",""
"Cambridge RUFC",2,"RFU Championship","Q5025504",""
"Chinnor RFC",2,"RFU Championship","Q5101194",""
"Cornish Pirates",2,"RFU Championship","Q1134198",""
"Coventry RFC",2,"RFU Championship","Q1138074",""
"Doncaster Knights",2,"RFU Championship","Q3036238",""
"Ealing Trailfinders Rugby Club",2,"RFU Championship","Q5325488",""
"Hartpury University RFC",2,"RFU Championship","Q16842085",""
"London Scottish FC",2,"RFU Championship","Q657211",""
"Nottingham RFC",2,"RFU Championship","Q165586",""
"Birmingham Moseley Rugby",3,"National League 1","Q289030",""
"Bishop's Stortford RFC",3,"National League 1","Q4917442",""
"Blackheath FC",3,"National League 1","Q2481690",""
"Darlington Mowden Park RFC",3,"National League 1","Q5223990",""
"Dings Crusaders RFC",3,"National League 1","Q5278270",""
"Esher RFC",3,"National League 1","Q5397827",""
"Leicester Lions RFC",3,"National League 1","Q6519198",""
"Plymouth Albion RFC",3,"National League 1","Q3392807",""
"Rams RFC",3,"National League 1","Q7305944",""
"Richmond FC",3,"National League 1","Q3431476",""
"Rosslyn Park FC",3,"National League 1","Q3442851",""
"Rotherham Titans",3,"National League 1","Q686057",""
"Sale FC Rugby Club",3,"National League 1","Q16932957",""
"Sedgley Park RUFC",3,"National League 1","Q7445255",""
"Barnes RFC",4,"National League 2 East","Q4861546",""
"Bury St Edmunds RUFC",4,"National League 2 East","Q16849635",""
"Canterbury RFC",4,"National League 2 East","Q5033683","Q104855938"
"Colchester RFC",4,"National League 2 East","Q27963258",""
"Dorking RFC",4,"National League 2 East","Q18125541",""
"Guernsey RFC",4,"National League 2 East","Q5614908",""
"Havant RFC",4,"National League 2 East","Q5683135",""
"Henley Hawks",4,"National League 2 East","Q5714642",""
"Old Albanian RFC",4,"National League 2 East","Q7083374",""
"Oxford Harlequins RFC",4,"National League 2 East","Q7115345",""
"Sevenoaks RFC",4,"National League 2 East","Q65045344",""
"Tonbridge Juddians RFC",4,"National League 2 East","Q7820769",""
"Westcombe Park RFC",4,"National League 2 East","Q7987290",""
"Worthing RFC",4,"National League 2 East","Q8037228",""
"Billingham RUFC",4,"National League 2 North","Q4911926",""
"Chester RUFC",4,"National League 2 North","Q5093693",""
"Fylde RFC",4,"National League 2 North","Q5511219",""
"Harrogate RUFC",4,"National League 2 North","Q5666423",""
"Hull Ionians",4,"National League 2 North","Q5935936",""
"Hull RUFC",4,"National League 2 North","Q16994425",""
"Leeds Tykes",4,"National League 2 North","Q1360196",""
"Lymm RFC",4,"National League 2 North","Q6708205",""
"Otley RUFC",4,"National League 2 North","Q953823",""
"Preston Grasshoppers RFC",4,"National League 2 North","Q7241893",""
"Sheffield RUFC",4,"National League 2 North","Q7492734",""
"Sheffield Tigers RUFC",4,"National League 2 North","Q7492761",""
"Tynedale RFC",4,"National League 2 North","Q7860518",""
"Wharfedale RUFC",4,"National League 2 North","Q7990676",""
"Bournville RFC",4,"National League 2 West","Q4950323",""
"Camborne RFC",4,"National League 2 West","Q5025224",""
"Cinderford RFC",4,"National League 2 West","Q16958426",""
"Clifton Rugby",4,"National League 2 West","Q5133308",""
"Devonport Services RFC",4,"National League 2 West","Q16973676",""
"Exeter University RFC",4,"National League 2 West","Q5420146",""
"Hinckley RFC",4,"National League 2 West","Q5765771",""
"Hornets RFC",4,"National League 2 West","Q18126112",""
"Loughborough Students RUFC",4,"National League 2 West","Q6686175",""
"Luctonians",4,"National League 2 West","Q11986910",""
"Macclesfield RUFC",4,"National League 2 West","Q6722935",""
"Old Redcliffians",4,"National League 2 West","Q7084827",""
"Redruth RFC",4,"National League 2 West","Q7306238",""
"Taunton RFC",4,"National League 2 West","Q7688802",""
"Banbury RUFC",5,"Regional 1 Midlands","Q124448748",""
"Bridgnorth RFC",5,"Regional 1 Midlands","Q27958072",""
"Broadstreet RFC",5,"Regional 1 Midlands","Q4972313",""
"Bromsgrove RFC",5,"Regional 1 Midlands","Q4973768",""
"Burton RFC",5,"Regional 1 Midlands","Q5000901",""
"Derby RFC",5,"Regional 1 Midlands","Q5261499",""
"Dudley Kingswinford RFC",5,"Regional 1 Midlands","Q5311896",""
"Kenilworth RFC",5,"Regional 1 Midlands","Q6389298",""
"Old Halesonians RFC",5,"Regional 1 Midlands","Q17017658",""
"Stafford RFC",5,"Regional 1 Midlands","",""
"Stockwood Park RFC",5,"Regional 1 Midlands","",""
"Stoke-on-Trent RUFC",5,"Regional 1 Midlands","Q65048052",""
"Stourbridge RFC",5,"Regional 1 Midlands","Q7620586",""
"Syston RFC",5,"Regional 1 Midlands","Q7663902",""
"Wolverhampton RFC",5,"Regional 1 Midlands","",""
"Alnwick RFC",5,"Regional 1 North East","Q16242778",""
"Blaydon RFC",5,"Regional 1 North East","Q4925576",""
"Cleckheaton RUFC",5,"Regional 1 North East","Q5131032",""
"Driffield RUFC",5,"Regional 1 North East","Q113993121",""
"Heath RUFC",5,"Regional 1 North East","Q114000025",""
"Huddersfield RUFC",5,"Regional 1 North East","Q5928274",""
"Ilkley Rugby Club",5,"Regional 1 North East","Q27963257",""
"Pontefract RUFC",5,"Regional 1 North East","Q124304128",""
"Sandal RUFC",5,"Regional 1 North East","Q17020492",""
"Scunthorpe RUFC",5,"Regional 1 North East","Q7439497",""
"Selby RFC",5,"Regional 1 North East","",""
"York RUFC",5,"Regional 1 North East","Q97162969",""
"Anselmians RUFC",5,"Regional 1 North West","Q124391520",""
"Birkenhead Park FC",5,"Regional 1 North West","Q4916436",""
"Blackburn RUFC",5,"Regional 1 North West","Q65043339",""
"Kendal RUFC",5,"Regional 1 North West","Q6388862",""
"Kirkby Lonsdale RUFC",5,"Regional 1 North West","Q39046783",""
"Leek RUFC",5,"Regional 1 North West","Q124322785",""
"Manchester Rugby Club",5,"Regional 1 North West","Q3285342",""
"Penrith RUFC",5,"Regional 1 North West","Q7164613",""
"Rossendale RUFC",5,"Regional 1 North West","Q7369786",""
"Sandbach RUFC",5,"Regional 1 North West","Q7416005",""
"Stockport RUFC",5,"Regional 1 North West","Q7618168",""
"Wirral RFC",5,"Regional 1 North West","Q8026993",""
"Bournemouth Rugby",5,"Regional 1 South Central","Q4950293",""
"Bracknell RFC",5,"Regional 1 South Central","Q16240983",""
"Brighton Football Club",5,"Regional 1 South Central","Q4967643",""
"Camberley RFC",5,"Regional 1 South Central","Q124547966",""
"CS Rugby 1863",5,"Regional 1 South Central","Q5014485",""
"Hammersmith & Fulham RFC",5,"Regional 1 South Central","Q124842478",""
"Horsham Rugby Club",5,"Regional 1 South Central","Q124625022",""
"London Welsh Amateur",5,"Regional 1 South Central","Q48698853",""
"Maidenhead RFC",5,"Regional 1 South Central","Q6735439",""
"Marlborough RFC",5,"Regional 1 South Central","Q124540187",""
"Tunbridge Wells RFC",5,"Regional 1 South Central","Q7852849",""
"Bedford Athletic",5,"Regional 1 South East","Q4879103",""
"Guildford Rugby Club",5,"Regional 1 South East","Q5615840",""
"Harpenden RFC",5,"Regional 1 South East","Q15223071",""
"Hertford RFC",5,"Regional 1 South East","Q5744712",""
"Letchworth Garden City RUFC",5,"Regional 1 South East","Q6533189",""
"Old Northamptonians RFC",5,"Regional 1 South East","Q7084641",""
"Oundle RFC",5,"Regional 1 South East","Q124458894",""
"Rochford Hundred RFC",5,"Regional 1 South East","Q65045335",""
"Shelford Rugby Club",5,"Regional 1 South East","Q7493610",""
"Sidcup RFC",5,"Regional 1 South East","",""
"Southend RFC",5,"Regional 1 South East","Q7569546",""
"Sudbury RUFC",5,"Regional 1 South East","Q65048763",""
"Towcestrians Sports Club",5,"Regional 1 South East","Q28446145",""
"Tring Rugby",5,"Regional 1 South East","Q7842357",""
"Westcliff RFC",5,"Regional 1 South East","Q7987277",""
"Wimbledon RFC",5,"Regional 1 South East","Q8023527",""
"Barnstaple RFC",5,"Regional 1 South West","Q4861967",""
"Brixham RFC",5,"Regional 1 South West","Q4971708",""
"Chew Valley RFC",5,"Regional 1 South West","",""
"Exmouth RFC",5,"Regional 1 South West","Q5420463",""
"Ivybridge RFC",5,"Regional 1 South West","Q27963261",""
"Launceston RUFC",5,"Regional 1 South West","Q6498361","Q6498363"
"Lydney RFC",5,"Regional 1 South West","Q6707732",""
"Matson RFC",5,"Regional 1 South West","Q125121249",""
"Mounts Bay RFC",5,"Regional 1 South West","Q6925828",""
"Okehampton RFC",5,"Regional 1 South West","Q30074653",""
"Old Patesians RFC",5,"Regional 1 South West","Q7084707",""
"Oxford RFC",5,"Regional 1 South West","Q22087439",""
"Sidmouth RFC",5,"Regional 1 South West","",""
"St Austell RFC",5,"Regional 1 South West","Q29379011",""
"Weston-super-Mare RFC",5,"Regional 1 South West","Q7989385",""
"Brentwood RFC",6,"Regional 2 Anglia","Q55605896",""
"Chelmsford RFC",6,"Regional 2 Anglia","Q5089966",""
"Eton Manor RFC",6,"Regional 2 Anglia","Q27963259",""
"Harlow Rugby Club",6,"Regional 2 Anglia","Q5658996",""
"Holt RFC",6,"Regional 2 Anglia","",""
"Stowmarket RFC",6,"Regional 2 Anglia","",""
"Wanstead RFC",6,"Regional 2 Anglia","",""
"Woodford RFC",6,"Regional 2 Anglia","",""
"Wymondham RFC",6,"Regional 2 Anglia","",""
"Belgrave RFC",6,"Regional 2 East Midlands","",""
"Daventry RFC",6,"Regional 2 East Midlands","",""
"Kettering RFC",6,"Regional 2 East Midlands","Q6395476",""
"Leicester Forest RFC",6,"Regional 2 East Midlands","",""
"Lutterworth RFC",6,"Regional 2 East Midlands","",""
"Market Bosworth RFC",6,"Regional 2 East Midlands","Q16997369",""
"Market Harborough",6,"Regional 2 East Midlands","",""
"Melton Mowbray RFC",6,"Regional 2 East Midlands","",""
"Northampton Old Scouts",6,"Regional 2 East Midlands","",""
"Oadby Wyggestonians",6,"Regional 2 East Midlands","",""
"Olney RFC",6,"Regional 2 East Midlands","Q7088456",""
"Peterborough RUFC",6,"Regional 2 East Midlands","Q7178024",""
"Wellingborough RFC",6,"Regional 2 East Midlands","",""
"Aspatria RUFC",6,"Regional 2 North","Q4807743",""
"Cockermouth RFC",6,"Regional 2 North","",""
"Consett RFC",6,"Regional 2 North","",""
"Durham City RFC",6,"Regional 2 North","Q65048033",""
"Keswick RFC",6,"Regional 2 North","",""
"Middlesbrough RUFC",6,"Regional 2 North","Q6841859",""
"Morpeth RFC",6,"Regional 2 North","Q65044750",""
"Northern Football Club",6,"Regional 2 North","Q7058351",""
"Percy Park RFC",6,"Regional 2 North","Q17016373",""
"Stockton RFC",6,"Regional 2 North","Q85803557",""
"Upper Eden RFC",6,"Regional 2 North","",""
"West Hartlepool RFC",6,"Regional 2 North","Q3567426",""
"Bradford Salem RFC",6,"Regional 2 North East","",""
"Goole RFC",6,"Regional 2 North East","",""
"Malton & Norton RFC",6,"Regional 2 North East","",""
"Moortown RFC",6,"Regional 2 North East","",""
"Morley RFC",6,"Regional 2 North East","Q6912548",""
"Old Brodleians",6,"Regional 2 North East","Q7083546",""
"Old Crossleyans",6,"Regional 2 North East","",""
"Rochdale RUFC",6,"Regional 2 North East","Q7353809",""
"Scarborough RUFC",6,"Regional 2 North East","Q65045871",""
"Wetherby RFC",6,"Regional 2 North East","",""
"Dronfield RFC",6,"Regional 2 North Midlands","",""
"Ilkeston RFC",6,"Regional 2 North Midlands","",""
"Lichfield RUFC",6,"Regional 2 North Midlands","Q6543279",""
"Matlock RFC",6,"Regional 2 North Midlands","",""
"Melbourne RFC",6,"Regional 2 North Midlands","Q6811862",""
"Mellish RFC",6,"Regional 2 North Midlands","",""
"Newark RFC",6,"Regional 2 North Midlands","",""
"Old Saltleians",6,"Regional 2 North Midlands","",""
"Paviors RFC",6,"Regional 2 North Midlands","Q65043800",""
"Tamworth RUFC",6,"Regional 2 North Midlands","Q7681929",""
"Walsall RFC",6,"Regional 2 North Midlands","Q42377539",""
"West Bridgford RFC",6,"Regional 2 North Midlands","Q7984569",""
"Altrincham Kersal RFC",6,"Regional 2 North West","Q4736996",""
"Bowdon RFC",6,"Regional 2 North West","",""
"Burnage Rugby",6,"Regional 2 North West","Q4999605",""
"Crewe & Nantwich RFC",6,"Regional 2 North West","",""
"Douglas RUFC",6,"Regional 2 North West","Q5301903",""
"Eccles RFC",6,"Regional 2 North West","Q124444451",""
"Liverpool St Helens FC",6,"Regional 2 North West","Q3257128",""
"Northwich RFC",6,"Regional 2 North West","",""
"Vale of Lune RUFC",6,"Regional 2 North West","Q7909552",""
"Waterloo FC",6,"Regional 2 North West","Q3566691",""
"Widnes RFC",6,"Regional 2 North West","",""
"Winnington Park",6,"Regional 2 North West","Q8025722",""
"Chippenham RFC",6,"Regional 2 Severn","Q5101641",""
"Drybrook RFC",6,"Regional 2 Severn","Q55610046",""
"Gordano RFC",6,"Regional 2 Severn","",""
"Keynsham RFC",6,"Regional 2 Severn","",""
"Longlevens RFC",6,"Regional 2 Severn","",""
"Old Centralians",6,"Regional 2 Severn","Q17015840",""
"Stow-on-the-Wold RFC",6,"Regional 2 Severn","",""
"Swindon RFC",6,"Regional 2 Severn","",""
"Thornbury RFC",6,"Regional 2 Severn","",""
"Trowbridge RC",6,"Regional 2 Severn","Q127038794",""
"Witney RFC",6,"Regional 2 Severn","Q125697612",""
"Andover RFC",6,"Regional 2 South Central","",""
"Chichester RFC",6,"Regional 2 South Central","Q17986427",""
"Farnham RFC",6,"Regional 2 South Central","",""
"Newbury RFC",6,"Regional 2 South Central","Q7017241",""
"North Dorset RFC",6,"Regional 2 South Central","Q7055143",""
