"name","tier","division","wikidataId","homonyms"
"ASM Clermont",1,"Top 14","Q297901",""
"Aviron Bayonnais",1,"Top 14","Q630112",""
"Castres Olympique",1,"Top 14","Q964957",""
"Lyon Olympique Universitaire Rugby",1,"Top 14","Q4075",""
"Montpellier Hérault Rugby",1,"Top 14","Q596985",""
"Oyonnax Rugby",1,"Top 14","Q636019",""
"Racing 92",1,"Top 14","Q118498",""
"Rugby Club Toulonnais",1,"Top 14","Q1857064",""
"Section Paloise",1,"Top 14","Q15055309",""
"Stade Français Rugby",1,"Top 14","Q1361000",""
"Stade Rochelais",1,"Top 14","Q756594",""
"Stade Toulousain",1,"Top 14","Q431412",""
"Union Bordeaux Bègles",1,"Top 14","Q1865460",""
"USA Perpignan",1,"Top 14","Q1471265",""
"AS Béziers",2,"Pro D2","Q1781643",""
"Biarritz olympique",2,"Pro D2","Q855496",""
"CA Brive",2,"Pro D2","Q1022912",""
"Colomiers Rugby",2,"Pro D2","Q1407380",""
"FC Grenoble Rugby",2,"Pro D2","Q1387142",""
"Provence Rugby",2,"Pro D2","Q951242",""
"RC Vannes",2,"Pro D2","Q3452866",""
"Rouen Normandie Rugby",2,"Pro D2","Q3496238",""
"Soyaux Angoulême XV Charente",2,"Pro D2","Q3492488",""
"Stade Aurillacois Cantal Auvergne",2,"Pro D2","Q753618",""
"Stade Montois",2,"Pro D2","Q1782908",""
"SU Agen",2,"Pro D2","Q1422627",""
"US Dax",2,"Pro D2","Q1319827",""
"US Montauban",2,"Pro D2","Q2002695",""
"USO Nevers",2,"Pro D2","Q3550588",""
"Valence Romans Drôme Rugby",2,"Pro D2","Q28843742",""
"Blagnac Rugby",3,"Nationale 1","Q881070",""
"CA Périgueux",3,"Nationale 1","Q952709",""
"CS Bourgoin-Jailleu",3,"Nationale 1","Q1024459",""
"CS Vienne",3,"Nationale 1","Q2980279",""
"RC Hyères Carqueiranne La Crau",3,"Nationale 1","Q3452847",""
"RC Massy",3,"Nationale 1","Q46387",""
"RC Narbonne",3,"Nationale 1","Q1115439",""
"RC Suresnes",3,"Nationale 1","Q3452865",""
"SC Albi",3,"Nationale 1","Q1473503",""
"Stade Olympique Chambéry Rugby",3,"Nationale 1","Q3496206",""
"Stade Niçois",3,"Nationale 1","Q48835514",""
"Stado Tarbes PR",3,"Nationale 1","Q634843",""
"US Bressane",3,"Nationale 1","Q1333931",""
"US Carcassonne",3,"Nationale 1","Q3550526",""
"Anglet ORC",4,"Nationale 2","Q21007935",""
"AS Bédarrides Châteauneuf-du-Pape",4,"Nationale 2","Q2873456",""
"AS Fleurance",4,"Nationale 2","Q2868124",""
"AS Mâcon",4,"Nationale 2","Q2868153",""
"Avenir Valencien",4,"Nationale 2","Q2756879",""
"CA Lannemezan",4,"Nationale 2","Q2946443",""
"Niort RC",4,"Nationale 2","Q7596188",""
"Olympique Marcquois",4,"Nationale 2","Q7089195",""
"RC Aubenas Vals",4,"Nationale 2","Q3452846",""
"RC Auch",4,"Nationale 2","Q89426327",""
"RC Bassin d'Arcachon",4,"Nationale 2","Q3452855",""
"RC Nîmes",4,"Nationale 2","Q3452852",""
"RC Savoie Rumilly",4,"Nationale 2","Q516893",""
"Rennes Étudiants Club Rugby",4,"Nationale 2","Q56306976",""
"Saint-Jean-de-Luz Olympique Rugby",4,"Nationale 2","Q3462531",""
"SC Graulhet",4,"Nationale 2","Q2756860",""
"Stade Dijonnais",4,"Nationale 2","Q3496060",""
"Stade Langonnais",4,"Nationale 2","Q3496125",""
"Stade Métropolitain",4,"Nationale 2","Q102192821",""
"US Cognac",4,"Nationale 2","Q1124430",""
"US Marmande",4,"Nationale 2","Q3550490",""
"US Salles",4,"Nationale 2","Q107349465",""
"US Seynoise",4,"Nationale 2","Q3550596",""
"USA Limoges",4,"Nationale 2","Q1638171",""
"AAS Sarcelles",5,"Fédérale 1 - Poule 1","Q119407109",""
"Beauvais RC",5,"Fédérale 1 - Poule 1","Q119407111",""
"C' Chartres Rugby",5,"Fédérale 1 - Poule 1","Q107958563",""
"CS Beaune",5,"Fédérale 1 - Poule 1","Q63341740",""
"CS Nuiton",5,"Fédérale 1 - Poule 1","Q119407113",""
"CS Villefranche-sur-Saône",5,"Fédérale 1 - Poule 1","Q30737461",""
"Le Havre AC",5,"Fédérale 1 - Poule 1","Q3223482",""
"Paris Université Club",5,"Fédérale 1 - Poule 1","Q3365354",""
"RC Courbevoie",5,"Fédérale 1 - Poule 1","Q93441437",""
"RC Orléans",5,"Fédérale 1 - Poule 1","Q3452853",""
"Servette RC",5,"Fédérale 1 - Poule 1","Q93110757",""
"Union Drancy Saint-Denis",5,"Fédérale 1 - Poule 1","Q131826517","Q65719214"
"Avenir Gruissanais",5,"Fédérale 1 - Poule 2","Q131820452",""
"Céret Sportif",5,"Fédérale 1 - Poule 2","Q3010323",""
"CO Berre XV",5,"Fédérale 1 - Poule 2","Q115857504",""
"CS Annonay",5,"Fédérale 1 - Poule 2","Q109665836",""
"RC Châteaurenard",5,"Fédérale 1 - Poule 2","Q3452849",""
"RC Tricastin",5,"Fédérale 1 - Poule 2","Q21055563",""
"RO Agde",5,"Fédérale 1 - Poule 2","Q16382410",""
"Rugby Olympique de Grasse",5,"Fédérale 1 - Poule 2","Q3452868",""
"SC royannais",5,"Fédérale 1 - Poule 2","Q131820462",""
"US Annecy",5,"Fédérale 1 - Poule 2","Q3550478",""
"US Issoire",5,"Fédérale 1 - Poule 2","Q64816584",""
"XV du Coudon",5,"Fédérale 1 - Poule 2","Q97491457",""
"AS Layrac",5,"Fédérale 1 - Poule 3","",""
"AS Vauréenne",5,"Fédérale 1 - Poule 3","Q2868158",""
"CA Castelsarrasin",5,"Fédérale 1 - Poule 3","Q18214295",""
"CM Floirac",5,"Fédérale 1 - Poule 3","Q108304520",""
"FC Oloron",5,"Fédérale 1 - Poule 3","Q3076671",""
"Lombez Samatan club",5,"Fédérale 1 - Poule 3","Q17487822",""
"Peyrehorade SR",5,"Fédérale 1 - Poule 3","Q11775372",""
"Rion Morcenx CR",5,"Fédérale 1 - Poule 3","",""
"RO Castelnaudary XV",5,"Fédérale 1 - Poule 3","Q119407116",""
"SA Mauléon",5,"Fédérale 1 - Poule 3","Q3493865",""
"Saint-Médard RC",5,"Fédérale 1 - Poule 3","Q3463991",""
"SC Mazamet",5,"Fédérale 1 - Poule 3","Q2817228",""
"SC Pamiers",5,"Fédérale 1 - Poule 3","Q3494120",""
"SC Tulle",5,"Fédérale 1 - Poule 3","",""
"Stade Bagnérais",5,"Fédérale 1 - Poule 3","Q3495929",""
"Stade Nantais",5,"Fédérale 1 - Poule 3","Q3496194",""
"TOEC TOAC FCT",5,"Fédérale 1 - Poule 3","Q3532922",""
"UA Gaillac",5,"Fédérale 1 - Poule 3","Q1225303",""
"Union Barbézieux Jonzac",5,"Fédérale 1 - Poule 3","Q119407242",""
"US Bergerac",5,"Fédérale 1 - Poule 3","Q3550481",""
"US L'Isle-Jourdain",5,"Fédérale 1 - Poule 3","Q3550573",""
"US Nafarroa",5,"Fédérale 1 - Poule 3","Q3550500",""
"US Saint-Sulpice",5,"Fédérale 1 - Poule 3","Q63257354",""
"US Tyrosse",5,"Fédérale 1 - Poule 3","Q3550516",""
"CA Pontarlier",6,"Fédérale 2 - Poule 1","Q119418542",""
"CO Le Creusot",6,"Fédérale 2 - Poule 1","",""
"CO Le Puy",6,"Fédérale 2 - Poule 1","",""
"FC Saint-Claude",6,"Fédérale 2 - Poule 1","Q3076663",""
"Grand Dole Rugby",6,"Fédérale 2 - Poule 1","",""
"RC Andrézieux-Bouthéon",6,"Fédérale 2 - Poule 1","",""
"RC de la Dombes",6,"Fédérale 2 - Poule 1","",""
"RC Rillieux",6,"Fédérale 2 - Poule 1","",""
"Rugby Tango Chalonnais",6,"Fédérale 2 - Poule 1","",""
"Saint-Priest Rugby",6,"Fédérale 2 - Poule 1","Q97368682",""
"US Meyzieu",6,"Fédérale 2 - Poule 1","Q119407121",""
"US Nantua Port",6,"Fédérale 2 - Poule 1","",""
"AS Monaco",6,"Fédérale 2 - Poule 2","Q126386035",""
"Avignon Le Pontet Rugby",6,"Fédérale 2 - Poule 2","Q55600107",""
"Bièvre Saint-Geoirs RC",6,"Fédérale 2 - Poule 2","",""
"CA Saint-Raphaël Fréjus",6,"Fédérale 2 - Poule 2","Q120491524",""
"RC Aubagne",6,"Fédérale 2 - Poule 2","",""
"RC des Vallons-de-la-Tour",6,"Fédérale 2 - Poule 2","",""
"RC Les Angles",6,"Fédérale 2 - Poule 2","",""
"Saint-Marcellin Sports",6,"Fédérale 2 - Poule 2","",""
"SO Voiron",6,"Fédérale 2 - Poule 2","Q7392164",""
"US Montmélian",6,"Fédérale 2 - Poule 2","Q3550494",""
"US Véore XV",6,"Fédérale 2 - Poule 2","",""
"US Vinay",6,"Fédérale 2 - Poule 2","Q86661679",""
"Avenir Castanéen Rugby",6,"Fédérale 2 - Poule 3","Q2873447",""
"Balma ORC",6,"Fédérale 2 - Poule 3","Q109665835",""
"Étoile Sportive Catalane",6,"Fédérale 2 - Poule 3","Q3592514",""
"FC Villefranche",6,"Fédérale 2 - Poule 3","",""
"JO Prades",6,"Fédérale 2 - Poule 3","Q106427613",""
"Lévézou Ségala Aveyron XV",6,"Fédérale 2 - Poule 3","",""
"RCM Palavas Lunel",6,"Fédérale 2 - Poule 3","",""
"Salanque Côte Radieuse",6,"Fédérale 2 - Poule 3","",""
"SC Leucate",6,"Fédérale 2 - Poule 3","Q20902161",""
"SO Millau",6,"Fédérale 2 - Poule 3","Q3496217",""
"Stade Piscénois",6,"Fédérale 2 - Poule 3","Q109665838",""
"US Canton d'Alban",6,"Fédérale 2 - Poule 3","",""
"4 Cantons BHAP",6,"Fédérale 2 - Poule 4","",""
"Bourges XV",6,"Fédérale 2 - Poule 4","Q119407112",""
"CA Sarlat",6,"Fédérale 2 - Poule 4","Q2980068",""
"EV Malemort BO",6,"Fédérale 2 - Poule 4","Q3055043",""
"JA Isle",6,"Fédérale 2 - Poule 4","",""
"RC Arpajon Veinazès",6,"Fédérale 2 - Poule 4","",""
"RC Clermont Cournon-d'Auvergne",6,"Fédérale 2 - Poule 4","",""
"RC Pays de Saint-Yrieix",6,"Fédérale 2 - Poule 4","",""
"RC Riom",6,"Fédérale 2 - Poule 4","",""
"Rugby Causse Vézère",6,"Fédérale 2 - Poule 4","",""
"SC Decazeville",6,"Fédérale 2 - Poule 4","Q39072160",""
"Stade Belvesois",6,"Fédérale 2 - Poule 4","",""
"AA Nogaro",6,"Fédérale 2 - Poule 5","",""
"Cahors Rugby",6,"Fédérale 2 - Poule 5","Q1628212",""
"Entente Astarac Bigorre XV",6,"Fédérale 2 - Poule 5","Q3054979",""
"ES Gimont",6,"Fédérale 2 - Poule 5","Q96283181",""
"FC Lourdes",6,"Fédérale 2 - Poule 5","Q254209",""
"Oursbelille Bordères RC",6,"Fédérale 2 - Poule 5","",""
"RC Bon-Encontre Boé",6,"Fédérale 2 - Poule 5","",""
"Rugby Grenade",6,"Fédérale 2 - Poule 5","",""
"Saint-Girons SC",6,"Fédérale 2 - Poule 5","Q3462337",""
"SC Rieumes",6,"Fédérale 2 - Poule 5","",""
"Stade Beaumontois",6,"Fédérale 2 - Poule 5","Q3495932",""
"USEP Ger Séron Bédeille",6,"Fédérale 2 - Poule 5","",""
"AS Pont-Long",6,"Fédérale 2 - Poule 6","",""
"AS Soustons",6,"Fédérale 2 - Poule 6","Q2868156",""
"Boucau Tarnos Stade",6,"Fédérale 2 - Poule 6","Q2921331",""
"Entente Aramits Asasp",6,"Fédérale 2 - Poule 6","Q108321489",""
"Hasparren AC",6,"Fédérale 2 - Poule 6","Q25477072",""
"Saint-Paul Sports Rugby",6,"Fédérale 2 - Poule 6","Q3463122",""
"Stade Hendayais Rugby",6,"Fédérale 2 - Poule 6","Q3496123",""
"Stade Navarrais",6,"Fédérale 2 - Poule 6","",""
"US Coarraze Nay",6,"Fédérale 2 - Poule 6","Q98462471",""
"US Morlaàs",6,"Fédérale 2 - Poule 6","Q3550496",""
"US Mouguerre",6,"Fédérale 2 - Poule 6","Q25477067",""
"US Orthez",6,"Fédérale 2 - Poule 6","Q3550504",""
"AS Mérignac",6,"Fédérale 2 - Poule 7","Q2868057",""
"CA Lormont",6,"Fédérale 2 - Poule 7","Q16540514",""
"FC Yonnais",6,"Fédérale 2 - Poule 7","",""
"RC Trignac",6,"Fédérale 2 - Poule 7","",""
"SA Rochefort",6,"Fédérale 2 - Poule 7","",""
"SC Surgères",6,"Fédérale 2 - Poule 7","",""
"Stade Poitevin",6,"Fédérale 2 - Poule 7","Q3496225",""
"UA Gujan-Mestras",6,"Fédérale 2 - Poule 7","Q106731048",""
"US Bazas",6,"Fédérale 2 - Poule 7","",""
"US Casteljaloux",6,"Fédérale 2 - Poule 7","",""
"US Castillon",6,"Fédérale 2 - Poule 7","Q107020076",""
"US Tours",6,"Fédérale 2 - Poule 7","Q3550509",""
"Antony Métro 92",6,"Fédérale 2 - Poule 8","",""
"CA Orsay RC",6,"Fédérale 2 - Poule 8","",""
"CJF Saint-Malo",6,"Fédérale 2 - Poule 8","",""
"CSM Gennevilliers",6,"Fédérale 2 - Poule 8","Q2980297",""
"MLSGP Rugby",6,"Fédérale 2 - Poule 8","Q100805632",""
"Plaisir RC",6,"Fédérale 2 - Poule 8","",""
"Plouzané AC",6,"Fédérale 2 - Poule 8","",""
"RC Amiens",6,"Fédérale 2 - Poule 8","",""
"RC Auxerre",6,"Fédérale 2 - Poule 8","",""
"RC Versailles",6,"Fédérale 2 - Poule 8","",""
"SC Le Rheu",6,"Fédérale 2 - Poule 8","",""
"US Ris-Orangis",6,"Fédérale 2 - Poule 8","",""
"AC Soissons",7,"Fédérale 3 - Poule 1","",""
"Paris XO Rugby",7,"Fédérale 3 - Poule 1","",""
"RC Arras",7,"Fédérale 3 - Poule 1","Q3452858",""
"RC Béthunois",7,"Fédérale 3 - Poule 1","",""
"RC Compiègne",7,"Fédérale 3 - Poule 1","",""
"RC Pays de Meaux",7,"Fédérale 3 - Poule 1","",""
"RC Roubaix",7,"Fédérale 3 - Poule 1","",""
