"name","tier","division","wikidataId","homonyms"
"Celtic Warriors",1,"Celtic League","Q956805",""
"Cardiff Rugby",1,"United Rugby Championship","Q169941",""
"Dragons RFC",1,"United Rugby Championship","Q82216",""
"Ospreys",1,"United Rugby Championship","Q1518257",""
"Scarlets",1,"United Rugby Championship","Q538747",""
"Aberavon RFC",2,"Welsh Premiership","Q319305",""
"Bargoed RFC",2,"Welsh Premiership","Q4860595",""
"Bonymaen RFC",2,"Welsh Premiership","Q4942697",""
"Brecon RFC",2,"Welsh Premiership","Q4960080",""
"Bridgend Ravens",2,"Welsh Premiership","Q2925165",""
"Cardiff Metropolitan University RFC",2,"Welsh Premiership","Q7876134",""
"Cardiff RFC",2,"Welsh Premiership","Q842510",""
"Cross Keys RFC",2,"Welsh Premiership","Q1127919",""
"Ebbw Vale RFC",2,"Welsh Premiership","Q1127985",""
"Llandovery RFC",2,"Welsh Premiership","Q645253",""
"Llanelli RFC",2,"Welsh Premiership","Q1517603",""
"Llangennech RFC",2,"Welsh Premiership","Q6661461",""
"Merthyr RFC",2,"Welsh Premiership","Q6820679",""
"Narberth RFC",2,"Welsh Premiership","Q6965587",""
"Neath RFC",2,"Welsh Premiership","Q1521270",""
"Newbridge RFC",2,"Welsh Premiership","Q3875619","Q17104115"
"Newcastle Emlyn RFC",2,"Welsh Premiership","Q7017409",""
"Newport RFC",2,"Welsh Premiership","Q1521264",""
"Pontypridd RFC",2,"Welsh Premiership","Q654755",""
"Swansea RFC",2,"Welsh Premiership","Q841966",""
"Ystrad Rhondda RFC",2,"Welsh Premiership","Q8059803",""
"Aberdare RFC",3,"Welsh Championship","Q4666854",""
"Ammanford RFC",3,"Welsh Championship","Q4747155",""
"Beddau RFC",3,"Welsh Championship","Q4879013",""
"Bedlinog RFC",3,"Welsh Championship","Q4879302",""
"Bedwas RFC",3,"Welsh Championship","Q813956",""
"Blackwood RFC",3,"Welsh Championship","Q4923635",""
"Bridgend Athletic RFC",3,"Welsh Championship","Q4966529",""
"Brynmawr RFC",3,"Welsh Championship","Q4981012",""
"Cambrian Welfare RFC",3,"Welsh Championship","Q131564518",""
"Crymych RFC",3,"Welsh Championship","Q5190493",""
"Dunvant RFC",3,"Welsh Championship","Q5315784",""
"Glamorgan Wanderers RFC",3,"Welsh Championship","Q606042",""
"Glynneath RFC",3,"Welsh Championship","Q5572999",""
"Gorseinion RFC",3,"Welsh Championship","Q131824309",""
"Gowerton RFC",3,"Welsh Championship","Q5590061",""
"Kenfig Hill RFC",3,"Welsh Championship","Q17015723",""
"Llanelli Wanderers RFC",3,"Welsh Championship","Q6661293",""
"Llanharan RFC",3,"Welsh Championship","Q16996774",""
"Maesteg Harlequins RFC",3,"Welsh Championship","Q6729311",""
"Mountain Ash RFC",3,"Welsh Championship","Q6924868",""
"Penallta RFC",3,"Welsh Championship","Q7162165",""
"Pontypool RFC",3,"Welsh Championship","Q1127974",""
"RGC 1404",3,"Welsh Championship","Q7276641",""
"Rhydyfelin RFC",3,"Welsh Championship","Q7321613",""
"Rumney RFC",3,"Welsh Championship","Q7379329",""
"Skewen RFC",3,"Welsh Championship","Q7534817",""
"St Peters RFC",3,"Welsh Championship","Q7591475",""
"Talywain RFC",3,"Welsh Championship","Q7680433",""
"Tata Steel RFC",3,"Welsh Championship","Q5173414",""
"Tondu RFC",3,"Welsh Championship","Q7820811",""
"Trebanos RFC",3,"Welsh Championship","Q7837343",""
"Treorchy RFC",3,"Welsh Championship","Q7838651",""
"Ynysddu RFC",3,"Welsh Championship","Q8054075",""
