"name","tier","division","country","wikidataId","homonyms"
"Cheetahs",1,"Pro14","South Africa","Q1053725",""
"Southern Kings",1,"Pro14","South Africa","Q949807",""
"Southern Spears",1,"Super 14","South Africa","Q672679",""
"Bulls",1,"United Rugby Championship","South Africa","Q1378158",""
"Lions",1,"United Rugby Championship","South Africa","Q1210146",""
"Sharks",1,"United Rugby Championship","South Africa","Q1393650",""
"Stormers",1,"United Rugby Championship","South Africa","Q794910",""
"Blue Bulls",2,"Currie Cup","South Africa","Q885646",""
"Boland Cavaliers",2,"Currie Cup","South Africa","Q1170721",""
"Border Bulldogs",2,"Currie Cup","South Africa","Q651731",""
"Eastern Province Elephants",2,"Currie Cup","South Africa","Q3046571",""
"Falcons Valke",2,"Currie Cup","South Africa","Q1170726",""
"Free State Cheetahs",2,"Currie Cup","South Africa","Q266149",""
"Golden Lions",2,"Currie Cup","South Africa","Q1534021",""
"Griffons",2,"Currie Cup","South Africa","Q3116637",""
"Griquas",2,"Currie Cup","South Africa","Q1170716",""
"Leopards",2,"Currie Cup","South Africa","Q1777760",""
"Pumas",2,"Currie Cup","South Africa","Q1170708",""
"SWD Eagles",2,"Currie Cup","South Africa","Q1170732",""
"Limpopo Blue Bulls",3,"Vodacom Cup","South Africa","Q8085937",""
"Welwitschias",4,"Rugby Challenge","South Africa","Q3335463",""
"Zimbabwe Goshawks",4,"Rugby Challenge","Zimbabwe","Q131608374",""
"CUT Ixias",5,"Varsity Cup","South Africa","",""
"Maties",5,"Varsity Cup","South Africa","",""
"NWU Eagles",5,"Varsity Cup","South Africa","",""
"UCT Ikey Tigers",5,"Varsity Cup","South Africa","Q5995899",""
"UFS Shimlas",5,"Varsity Cup","South Africa","",""
"University of Johannesburg Rugby",5,"Varsity Cup","South Africa","",""
"UP Tuks",5,"Varsity Cup","South Africa","",""
"Wits",5,"Varsity Cup","South Africa","",""
"CPUT Rugby",6,"Varsity Shield","South Africa","",""
"NMMU Madibaz",6,"Varsity Shield","South Africa","",""
"Rhodes Rugby",6,"Varsity Shield","South Africa","",""
"TUT Vikings",6,"Varsity Shield","South Africa","",""
"UFH Blues",6,"Varsity Shield","South Africa","",""
"UKZN Impi",6,"Varsity Shield","South Africa","",""
"UWC Rugby",6,"Varsity Shield","South Africa","",""
"WSU All Blacks",6,"Varsity Shield","South Africa","","Q55801"
"African Bombers",7,"Gold Cup","South Africa","",""
"Bloemfontein Crusaders",7,"Gold Cup","South Africa","",""
"Bloemfontein Police",7,"Gold Cup","South Africa","",""
