"name","tier","division","country","wikidataId","homonyms"
"ACT Brumbies",1,"Super Rugby","Australia","Q605245",""
"Melbourne Rebels",1,"Super Rugby","Australia","Q1300399",""
"New South Wales Waratahs",1,"Super Rugby","Australia","Q534417",""
"Queensland Reds",1,"Super Rugby","Australia","Q1368281",""
"Western Force",1,"Super Rugby","Australia","Q915507",""
"Brisbane City",2,"National Rugby Championship","Australia","Q2881429",""
"Canberra Vikings",2,"National Rugby Championship","Australia","Q425906",""
"Greater Sydney Rams",2,"National Rugby Championship","Australia","Q3567505",""
"Melbourne Rising",2,"National Rugby Championship","Australia","Q16951324",""
"New South Wales Country Eagles",2,"National Rugby Championship","Australia","Q16912004",""
"Perth Spirit",2,"National Rugby Championship","Australia","Q3376168",""
"Queensland Country",2,"National Rugby Championship","Australia","Q3046497",""
"Sydney Rays",2,"National Rugby Championship","Australia","Q513257",""
"Sydney Stars",2,"National Rugby Championship","Australia","Q3506818",""
"Adelaide Black Falcons",3,"Australian Rugby Shield","Australia","Q28219725",""
"New South Wales Country Cockatoos",3,"Australian Rugby Shield","Australia","Q16971053",""
"Northern Territory Mosquitoes",3,"Australian Rugby Shield","Australia","Q131797902",""
"Perth Gold",3,"Australian Rugby Shield","Australia","Q131798013",""
"Queensland Country Heelers",3,"Australian Rugby Shield","Australia","Q7270925",""
"Tasmania Jack Jumpers",3,"Australian Rugby Shield","Australia","Q131798102",""
"Victoria Country Barbarians",3,"Australian Rugby Shield","Australia","Q131798139",""
"Canbera Eastern Suburbs RUFC",4,"ACTRU Premier Division","Australia","Q5330509",""
"Canberra Royals",4,"ACTRU Premier Division","Australia","Q5031280",""
"Gungahlin Eagles",4,"ACTRU Premier Division","Australia","Q5618761",""
"Queanbeyan Whites",4,"ACTRU Premier Division","Australia","Q7269730",""
"Tuggeranong Vikings",4,"ACTRU Premier Division","Australia","Q7851645",""
"Uni-Norths Owls",4,"ACTRU Premier Division","Australia","Q7884612",""
"Wests Lions",4,"ACTRU Premier Division","Australia","Q7989652",""
"Adelaide University Rugby Union Football Club",4,"Cooper Premier Grade","Australia","Q7579393",""
"Barossa Rams RUFC",4,"Cooper Premier Grade","Australia","Q39050804",""
"Brighton RUFC",4,"Cooper Premier Grade","Australia","",""
"Burnside RUFC",4,"Cooper Premier Grade","Australia","",""
"Elizabeth RC",4,"Cooper Premier Grade","Australia","",""
"Old Collegians Rugby Club",4,"Cooper Premier Grade","Australia","Q7083721",""
"Onkaparinga Rugby Union Football Club",4,"Cooper Premier Grade","Australia","Q19876698",""
"Port Adelaide RUFC",4,"Cooper Premier Grade","Australia","Q24190553",""
"Southern Suburbs RUFC",4,"Cooper Premier Grade","Australia","",""
"Woodville RUFC",4,"Cooper Premier Grade","Australia","",""
"Casuarina Cougars",4,"Darwin Club Rugby","Australia","",""
"Darwin Dragons",4,"Darwin Club Rugby","Australia","",""
"Palmerstown Crocs",4,"Darwin Club Rugby","Australia","",""
"South Darwin Rabbitohs",4,"Darwin Club Rugby","Australia","Q55633568",""
"University Pirates",4,"Darwin Club Rugby","Australia","",""
"Box Hill RC",4,"Dewar Shield","Australia","",""
"Endeavour Hills RC",4,"Dewar Shield","Australia","",""
"Footscray RUFC",4,"Dewar Shield","Australia","","Q5466575"
"Melbourne Harlequins",4,"Dewar Shield","Australia","Q6811788",""
"Melbourne Rugby Union Football Club",4,"Dewar Shield","Australia","Q6811863",""
"Melbourne University Rugby Football Club",4,"Dewar Shield","Australia","Q55622723",""
"Moorabbin Rugby Club",4,"Dewar Shield","Australia","Q60747396",""
"Power House RC",4,"Dewar Shield","Australia","",""
"Hamilton Hawks",4,"NHRU Premiership","Australia","",""
"Lake Macquarie Rugby Club",4,"NHRU Premiership","Australia","",""
"Maitland Rugby Club",4,"NHRU Premiership","Australia","",""
