"country","startYear","endYear","feederId","feederName","receiverId","receiverName"
,,,275,"Newport RFC",7,"Dragons"
,,,,,,
,,,928,"Auckland RFU Team ",,
,,,957,"Bay of Plenty Steamers",,
,,,1027,"Buller Rugby Football Union ",,
,,,2903,"Canterbury Rugby Union Team ",,
,,,2907,"Counties Manukau Rugby Union Team",,
,,,1200,"East Coast Rugby Football Union ",,
,,,2908,"Hawke's Bay Rugby Union Team",,
,,,1347,"Horowhenua-Kapiti Rugby Football Union ",,
,,,541,"King Country Rugby Football Union ",,
,,,2909,"Manawatu Rugby Union Team",,
,,,361,"Marlborough Rugby Union ",,
,,,1510,"Mid Canterbury Rugby Football Union ",,
,,,1554,"Nelson Bays Rugby Union ",,
,,,2904,"North Harbour Rugby Union Team",,
,,,1582,"North Otago Rugby Football Union ",,
,,,2910,"Northland Rugby Union Team",,
,,,2911,"Otago Rugby Union Team ",,
,,,832,"Poverty Bay Rugby Football Union ",,
,,,1811,"South Canterbury Rugby Football Union ",,
,,,2912,"Southland RFU Team",,
,,,2913,"Taranaki Rugby Union Team ",,
,,,2905,"Tasman Rugby Union Team ",,
,,,1880,"Thames Valley Rugby Football Union ",,
,,,2915,"Waikato Rugby Union Team",,
,,,1946,"Wairarapa Bush Rugby Football Union ",,
,,,730,"Wanganui Rugby Football Union ",,
,,,270,"Wellington Rugby Football Union Team",,
,,,736,"West Coast Rugby Football Union ",,
,,,,,,
,,,,,,
,,,,,,
"New Zealand",1996,1998,928,"Auckland RFU Team ",232,"Blues"
"New Zealand",1996,1998,2907,"Counties Manukau Rugby Union Team",232,"Blues"
"New Zealand",1996,1998,1880,"Thames Valley Rugby Football Union ",232,"Blues"
"New Zealand",1996,1998,2915,"Waikato Rugby Union Team",72,"Chiefs"
"New Zealand",1996,1998,957,"Bay of Plenty Steamers",72,"Chiefs"
"New Zealand",1996,1998,541,"King Country Rugby Football Union ",72,"Chiefs"
"New Zealand",1996,1998,2910,"Northland Rugby Union Team",72,"Chiefs"
"New Zealand",1996,1998,2904,"North Harbour Rugby Union Team",72,"Chiefs"
"New Zealand",1999,"NA",928,"Auckland RFU Team ",232,"Blues"
"New Zealand",1999,"NA",2907,"Counties Manukau Rugby Union Team",72,"Chiefs"
"New Zealand",1999,"NA",1880,"Thames Valley Rugby Football Union ",72,"Chiefs"
"New Zealand",1999,"NA",2915,"Waikato Rugby Union Team",72,"Chiefs"
"New Zealand",1999,"NA",957,"Bay of Plenty Steamers",72,"Chiefs"
"New Zealand",1999,"NA",541,"King Country Rugby Football Union ",72,"Chiefs"
"New Zealand",1999,"NA",2910,"Northland Rugby Union Team",232,"Blues"
"New Zealand",1999,"NA",2904,"North Harbour Rugby Union Team",232,"Blues"
"New Zealand",2013,"NA",2913,"Taranaki Rugby Union Team ",72,"Chiefs"
"New Zealand",2025,"NA",1200,"East Coast Rugby Football Union ",72,"Chiefs"
"New Zealand",1996,"NA",270,"Wellington Rugby Football Union Team",99,"Hurricanes "
"New Zealand",1996,2012,2913,"Taranaki Rugby Union Team ",99,"Hurricanes "
"New Zealand",1996,"NA",2909,"Manawatu Rugby Union Team",99,"Hurricanes "
"New Zealand",1996,"NA",2908,"Hawke's Bay Rugby Union Team",99,"Hurricanes "
"New Zealand",1996,2012,1200,"East Coast Rugby Football Union ",99,"Hurricanes "
"New Zealand",1996,"NA",832,"Poverty Bay Rugby Football Union ",99,"Hurricanes "
"New Zealand",1996,"NA",730,"Wanganui Rugby Football Union ",99,"Hurricanes "
"New Zealand",1996,"NA",1946,"Wairarapa Bush Rugby Football Union ",99,"Hurricanes "
"New Zealand",1996,"NA",1347,"Horowhenua-Kapiti Rugby Football Union ",99,"Hurricanes "
"New Zealand",1996,"NA",2903,"Canterbury Rugby Union Team ",188,"Crusaders "
"New Zealand",1996,"NA",1811,"South Canterbury Rugby Football Union ",188,"Crusaders "
"New Zealand",1996,"NA",1510,"Mid Canterbury Rugby Football Union ",188,"Crusaders "
"New Zealand",1996,"NA",1027,"Buller Rugby Football Union ",188,"Crusaders "
"New Zealand",1996,"NA",736,"West Coast Rugby Football Union ",188,"Crusaders "
"New Zealand",1996,2005,361,"Marlborough Rugby Union ",188,"Crusaders "
"New Zealand",1996,2005,1554,"Nelson Bays Rugby Union ",188,"Crusaders "
"New Zealand",2006,"NA",2905,"Tasman Rugby Union Team ",188,"Crusaders "
"New Zealand",1996,"NA",2911,"Otago Rugby Union Team ",240,"Highlanders"
"New Zealand",1996,"NA",2912,"Southland RFU Team",240,"Highlanders"
"New Zealand",1996,"NA",1582,"North Otago Rugby Football Union ",240,"Highlanders"
