"CareerEndYear","Count"
"1889",1
"1907",1
"1910",1
"1912",1
"1913",1
"1914",1
"1930",1
"1931",2
"1933",2
"1936",2
"1938",2
"1939",2
"1940",4
"1949",1
"1952",1
"1953",3
"1954",1
"1955",3
"1956",3
"1957",1
"1958",1
"1959",2
"1960",2
"1961",2
"1963",1
"1964",4
"1965",2
"1966",2
"1967",2
"1968",4
"1969",1
"1970",3
"1971",3
"1972",8
"1973",5
"1974",6
"1975",2
"1976",7
"1978",9
"1979",4
"1980",12
"1981",13
"1982",7
"1983",6
"1984",7
"1985",6
"1986",5
"1987",14
"1988",14
"1989",8
"1990",24
"1991",15
"1992",13
"1993",26
"1994",27
"1995",13
"1996",19
"1997",30
"1998",29
"1999",40
"2000",36
"2001",33
"2002",23
"2003",45
"2004",33
"2005",42
"2006",38
"2007",46
"2008",63
"2009",53
"2010",68
"2011",48
"2012",50
"2013",38
"2014",46
"2015",45
"2016",40
"2017",40
"2018",64
"2019",52
"2020",29
"2021",9
"2022",7
"2023",8
"2024",6
NA,22971
