"Intervals","Counts","Density"
"[1870, 1880[","2","0.000167644593461861"
"[1880, 1890[","3","0.000251466890192791"
"[1890, 1900[","3","0.000251466890192791"
"[1900, 1910[","6","0.000502933780385583"
"[1910, 1920[","2","0.000167644593461861"
"[1920, 1930[","3","0.000251466890192791"
"[1930, 1940[","5","0.000419111483654652"
"[1940, 1950[","15","0.00125733445096396"
"[1950, 1960[","18","0.00150880134115675"
"[1960, 1970[","32","0.00268231349538977"
"[1970, 1980[","109","0.00913663034367142"
"[1980, 1990[","219","0.0183570829840738"
"[1990, 2000[","226","0.0189438390611903"
"[2000, 2010[","374","0.031349538977368"
"[2010, 2020[","175","0.0146689019279128"
"[2020, 2030[","1","8.38222967309304e-05"
