"Field","CompletenessRate"
"birthDate","98.2638318831062"
"birthPlace","90.2273846659005"
"deathDate","25.3406665572156"
"deathPlace","20.4769331801018"
"countries","100"
"positions","93.0922672795928"
"careerStartYear","4.89656870792973"
"careerEndYear","5.72155639468068"
"weight","59.7274667542275"
"height","69.7627647348547"
"espnScrumId","46.2075192907569"
"allRugbyId","20.4892464291578"
"googleKnowlId","44.6642587424068"
"itsRugbyId","34.4401576095879"
"rugbyDatabaseId","12.1244459037925"
"dbpediaId","57.1416844524709"
"wikipediaEn","74.8276145132162"
"wikipediaFr","38.6430799540305"
"wikipediaIt","10.8520768346741"
"wikipediaEs","8.61106550648498"
"wikipediaJa","17.6120505664095"
