"Intervals","Counts","Density"
"[152, 154[","210","0.00617719731733145"
"[154, 156[","1","2.9415225320626e-05"
"[156, 158[","0","0"
"[158, 160[","21","0.000617719731733145"
"[160, 162[","10","0.00029415225320626"
"[162, 164[","36","0.00105894811154253"
"[164, 166[","94","0.00276503118013884"
"[166, 168[","132","0.00388280974232263"
"[168, 170[","337","0.00991293093305095"
"[170, 172[","326","0.00958936345452406"
"[172, 174[","664","0.0195317096128956"
"[174, 176[","1052","0.0309448170372985"
"[176, 178[","1439","0.0423285092363807"
"[178, 180[","1809","0.0532121426050124"
"[180, 182[","1064","0.031297799741146"
"[182, 184[","2106","0.0619484645252383"
"[184, 186[","1790","0.0526532533239205"
"[186, 188[","1449","0.042622661489587"
"[188, 190[","936","0.0275326509001059"
"[190, 192[","794","0.023355688904577"
"[192, 194[","835","0.0245617131427227"
"[194, 196[","702","0.0206494881750794"
"[196, 198[","573","0.0168549241087187"
"[198, 200[","242","0.00711848452759148"
"[200, 202[","212","0.0062360277679727"
"[202, 204[","112","0.00329450523591011"
"[204, 206[","27","0.000794211083656901"
"[206, 208[","20","0.000588304506412519"
"[208, 210[","3","8.82456759618779e-05"
"[210, 212[","0","0"
"[212, 214[","2","5.88304506412519e-05"
