"Intervals","Counts","Density"
"[0, 100[","18105","0.00743074081674533"
"[100, 200[","3600","0.00147752924276626"
"[200, 300[","1845","0.00075723373691771"
"[300, 400[","654","0.000268417812435871"
"[400, 500[","127","5.21239482864765e-05"
"[500, 600[","26","1.06710445310897e-05"
"[600, 700[","3","1.23127436897189e-06"
"[700, 800[","2","8.20849579314591e-07"
"[800, 900[","0","0"
"[900, 1000[","0","0"
"[1000, 1100[","0","0"
"[1100, 1200[","0","0"
"[1200, 1300[","0","0"
"[1300, 1400[","0","0"
"[1400, 1500[","0","0"
"[1500, 1600[","0","0"
"[1600, 1700[","0","0"
"[1700, 1800[","0","0"
"[1800, 1900[","1","4.10424789657295e-07"
"[1900, 2000[","2","8.20849579314591e-07"
