"Intervals","Counts","Density"
"[0, 20[","16927","0.0464976376222393"
"[20, 40[","939","0.00257938688056258"
"[40, 60[","150","0.000412042632677728"
"[60, 80[","74","0.000203274365454346"
"[80, 100[","33","9.06493791891001e-05"
"[100, 120[","29","7.96615756510274e-05"
"[120, 140[","16","4.3951214152291e-05"
"[140, 160[","10","2.74695088451818e-05"
"[160, 180[","5","1.37347544225909e-05"
"[180, 200[","6","1.64817053071091e-05"
"[200, 220[","1","2.74695088451818e-06"
"[220, 240[","4","1.09878035380727e-05"
"[240, 260[","2","5.49390176903637e-06"
"[260, 280[","1","2.74695088451818e-06"
"[280, 300[","0","0"
"[300, 320[","0","0"
"[320, 340[","2","5.49390176903637e-06"
"[340, 360[","0","0"
"[360, 380[","0","0"
"[380, 400[","1","2.74695088451818e-06"
"[400, 420[","0","0"
"[420, 440[","1","2.74695088451818e-06"
"[440, 460[","1","2.74695088451818e-06"
