"Intervals","Counts","Density"
"[0, 500[","23513","0.0019300636158424"
"[500, 1000[","472","3.87441001436487e-05"
"[1000, 1500[","168","1.37902729324851e-05"
"[1500, 2000[","90","7.38764621383132e-06"
"[2000, 2500[","51","4.18633285450441e-06"
"[2500, 3000[","27","2.21629386414939e-06"
"[3000, 3500[","24","1.97003899035502e-06"
"[3500, 4000[","5","4.10424789657295e-07"
"[4000, 4500[","9","7.38764621383132e-07"
"[4500, 5000[","2","1.64169915862918e-07"
"[5000, 5500[","1","8.20849579314591e-08"
"[5500, 6000[","2","1.64169915862918e-07"
"[6000, 6500[","1","8.20849579314591e-08"
