"Intervals","Counts","Density"
"[0, 20[","12730","0.0429226515611302"
"[20, 40[","1146","0.00386405017196035"
"[40, 60[","333","0.00112279991907748"
"[60, 80[","215","0.00072493087868366"
"[80, 100[","145","0.000488906871670376"
"[100, 120[","97","0.000327061838289837"
"[120, 140[","51","0.000171960347966822"
"[140, 160[","39","0.000131499089621687"
"[160, 180[","32","0.000107896688920359"
"[180, 200[","12","4.04612583451345e-05"
"[200, 220[","11","3.70894868163733e-05"
"[220, 240[","12","4.04612583451345e-05"
"[240, 260[","1","3.37177152876121e-06"
"[260, 280[","2","6.74354305752242e-06"
"[280, 300[","2","6.74354305752242e-06"
"[300, 320[","0","0"
"[320, 340[","0","0"
"[340, 360[","0","0"
"[360, 380[","0","0"
"[380, 400[","0","0"
"[400, 420[","1","3.37177152876121e-06"
