"Position","Count"
"1st Row",19
"2nd Row",2679
"3rd Row",351
"Back",6
"Blindside Flanker",14
"Centre",3264
"Flanker",3002
"Fly-Half",1867
"Forward",789
"Fullback",1831
"Half-Back",174
"Hooker",1642
"Inside Centre",40
"Left Winger",6
"Lock",1
"Loosehead Lock",1
"Loosehead Prop",52
"Number 8",1172
"Openside Flanker",14
"Outside Centre",14
"Prop",3109
"Right Winger",4
"Scrum-Half",1663
"Three-Quarter",88
"Three–Quarter",22
"Tighthead Lock",1
"Tighthead Prop",55
"Utility Back",88
"Utility Forward",4
"Winger",3362
NA,0
