"Intervals","Counts","Density"
"[-8, -6[","1","2.39406272444338e-05"
"[-6, -4[","0","0"
"[-4, -2[","1","2.39406272444338e-05"
"[-2, 0[","2469","0.0591094086665071"
"[0, 2[","7231","0.173114675604501"
"[2, 4[","6881","0.164735456068949"
"[4, 6[","2499","0.0598276274838401"
"[6, 8[","1021","0.0244433804165669"
"[8, 10[","441","0.0105578166147953"
"[10, 12[","186","0.00445295666746469"
"[12, 14[","85","0.00203495331577687"
"[14, 16[","40","0.000957625089777352"
"[16, 18[","18","0.000430931290399808"
"[18, 20[","4","9.57625089777352e-05"
"[20, 22[","5","0.000119703136222169"
"[22, 24[","2","4.78812544888676e-05"
"[24, 26[","0","0"
"[26, 28[","1","2.39406272444338e-05"
