"Intervals","Counts","Density"
"[50, 55[","2","2.74857417714561e-05"
"[55, 60[","18","0.000247371675943105"
"[60, 65[","50","0.000687143544286401"
"[65, 70[","194","0.00266611695183124"
"[70, 75[","425","0.00584072012643441"
"[75, 80[","920","0.0126434412148698"
"[80, 85[","1484","0.0203944203944204"
"[85, 90[","1759","0.0241737098879956"
"[90, 95[","1748","0.0240225383082526"
"[95, 100[","1513","0.0207929636501065"
"[100, 105[","1625","0.022332165189308"
"[105, 110[","1746","0.0239950525664811"
"[110, 115[","1347","0.0185116470830757"
"[115, 120[","1011","0.013894042465471"
"[120, 125[","435","0.00597814883529169"
"[125, 130[","160","0.00219885934171648"
"[130, 135[","58","0.000797086511372226"
"[135, 140[","33","0.000453514739229025"
"[140, 145[","13","0.000178657321514464"
"[145, 150[","8","0.000109942967085824"
"[150, 155[","2","2.74857417714561e-05"
"[155, 160[","1","1.3742870885728e-05"
"[160, 165[","0","0"
"[165, 170[","1","1.3742870885728e-05"
