"Intervals","Counts","Density"
"[1870, 1875[","194","0.000486264287146581"
"[1875, 1880[","193","0.000483757770202527"
"[1880, 1885[","316","0.000792059354321235"
"[1885, 1890[","420","0.00105273711650291"
"[1890, 1895[","495","0.001240725887307"
"[1895, 1900[","580","0.00145377982755163"
"[1900, 1905[","552","0.00138359735311811"
"[1905, 1910[","716","0.00179466613194305"
"[1910, 1915[","735","0.00184228995388009"
"[1915, 1920[","248","0.000621616202125526"
"[1920, 1925[","693","0.0017370162422298"
"[1925, 1930[","731","0.00183226388610387"
"[1930, 1935[","642","0.00160918387808302"
"[1935, 1940[","719","0.00180218568277522"
"[1940, 1945[","173","0.000433627431321436"
"[1945, 1950[","672","0.00168437938640465"
"[1950, 1955[","720","0.00180469219971927"
"[1955, 1960[","680","0.00170443152195709"
"[1960, 1965[","715","0.001792159614999"
"[1965, 1970[","788","0.00197513535191498"
"[1970, 1975[","893","0.00223831963104071"
"[1975, 1980[","1063","0.00266442751152998"
"[1980, 1985[","1115","0.00279476639262081"
"[1985, 1990[","1640","0.00411068778824945"
"[1990, 1995[","2728","0.00683777822338079"
"[1995, 2000[","4326","0.0108431922999799"
"[2000, 2005[","6683","0.0167510527371165"
"[2005, 2010[","11007","0.0275892320032083"
"[2010, 2015[","14650","0.036720473230399"
"[2015, 2020[","15198","0.0380940445157409"
"[2020, 2025[","9460","0.023711650290756"
"[2025, 2030[","47","0.000117806296370563"
