"EndYear","Count"
"1871",38
"1872",40
"1873",33
"1874",28
"1875",55
"1876",35
"1877",45
"1878",38
"1879",33
"1880",42
"1881",67
"1882",40
"1883",54
"1884",84
"1885",71
"1886",87
"1887",83
"1888",109
"1889",88
"1890",53
"1891",127
"1892",95
"1893",92
"1894",105
"1895",76
"1896",168
"1897",95
"1898",64
"1899",167
"1900",86
"1901",82
"1902",54
"1903",154
"1904",137
"1905",123
"1906",118
"1907",106
"1908",145
"1909",110
"1910",235
"1911",132
"1912",144
"1913",186
"1914",243
"1915",30
"1916",3
"1917",1
"1918",14
"1919",55
"1920",171
"1921",154
"1922",110
"1923",134
"1924",158
"1925",131
"1926",107
"1927",131
"1928",147
"1929",154
"1930",190
"1931",143
"1932",118
"1933",138
"1934",133
"1935",108
"1936",131
"1937",133
"1938",245
"1939",153
"1940",57
"1941",33
"1942",23
"1943",30
"1944",32
"1945",55
"1946",70
"1947",130
"1948",120
"1949",186
"1950",165
"1951",131
"1952",124
"1953",150
"1954",160
"1955",153
"1956",126
"1957",117
"1958",164
"1959",149
"1960",121
"1961",137
"1962",163
"1963",150
"1964",135
"1965",128
"1966",125
"1967",180
"1968",182
"1969",124
"1970",175
"1971",186
"1972",182
"1973",192
"1974",189
"1975",142
"1976",209
"1977",191
"1978",190
"1979",180
"1980",291
"1981",206
"1982",212
"1983",204
"1984",263
"1985",230
"1986",256
"1987",381
"1988",290
"1989",338
"1990",375
"1991",396
"1992",395
"1993",427
"1994",429
"1995",1079
"1996",676
"1997",801
"1998",848
"1999",1015
"2000",982
"2001",1083
"2002",1094
"2003",1472
"2004",1364
"2005",1666
"2006",1847
"2007",2208
"2008",2174
"2009",2311
"2010",2460
"2011",2685
"2012",2846
"2013",2976
"2014",2986
"2015",3154
"2016",3212
"2017",3303
"2018",3118
"2019",3181
"2020",2384
"2021",2367
"2022",2544
"2023",2037
"2024",1671
"2025",841
"2026",47
NA,17070
