"Country","Count"
"Algeria",220
"Argentina",2513
"Armenia",4
"Australia",5873
"Bahamas",8
"Bahrain",1
"Belgium",332
"Bermuda",12
"Bolivia",11
"Bosnia and Herzegovina",13
"Brazil",93
"Cambodia",1
"Cameroon",84
"Canada",1006
"Cayman Islands",3
"Chile",152
"China",19
"Colombia",6
"Cook Islands",29
"Croatia",20
"Cyprus",21
"Czechia",91
"Czechoslovakia",1
"D.R. of the Congo",60
"Denmark",10
"England",9071
"Eswatini",3
"Fiji",1990
"France",15112
"Gambia",7
"Georgia",1098
"Germany",383
"Ghana",7
"Greece",3
"Guam",5
"Hong Kong",104
"Hungary",12
"India",39
"Indonesia",1
"Iran",14
"Ireland",4752
"Italy",3920
"Ivory Coast",108
"Japan",5651
"Japon",16
"Jersey",8
"Kazakhstan",10
"Kenya",48
"Latvia",8
"Lebanon",8
"Lesotho",2
"Lithuania",31
"Luxembourg",8
"Madagascar",4
"Malaysia",20
"Mali",5
"Malta",8
"Mexico",12
"Moldova",87
"Monaco",4
"Montenegro",6
"Morocco",66
"Myanmar",3
"Namibia",533
"Netherlands",139
"New Zealand",12909
"Nigeria",41
"Norway",5
"Papua New Guinea",2
"Peru",1
"Philippines",37
"Poland",99
"Portugal",381
"Romania",1298
"Russia",325
"Russian",1
"Samoa",1366
"Scotland",6288
"Senegal",24
"Serbia",17
"South Africa",10192
"South Korea",117
"Spain",671
"Sri Lanka",35
"Sweden",10
"Switzerland",57
"Taiwan",3
"Tonga",1522
"Trinidad and Tobago",13
"Tunisia",19
"Turkey",4
"U.S.A.",1496
"Uganda",18
"Ukraine",15
"United Kingdom",294
"Uruguay",329
"Uzbekistan",3
"Vanuatu",4
"Wales",7112
"Yugoslavia",9
"Zimbabwe",231
NA,0
