"Intervals","Counts","Density"
"[1840, 1845[","2","0.000172935581495893"
"[1845, 1850[","1","8.64677907479464e-05"
"[1850, 1855[","3","0.000259403372243839"
"[1855, 1860[","8","0.000691742325983571"
"[1860, 1865[","18","0.00155642023346304"
"[1865, 1870[","41","0.0035451794206658"
"[1870, 1875[","89","0.00769563337656723"
"[1875, 1880[","77","0.00665801988759187"
"[1880, 1885[","59","0.00510159965412884"
"[1885, 1890[","76","0.00657155209684393"
"[1890, 1895[","45","0.00389105058365759"
"[1895, 1900[","57","0.00492866407263294"
"[1900, 1905[","84","0.0072632944228275"
"[1905, 1910[","84","0.0072632944228275"
"[1910, 1915[","48","0.00415045395590143"
"[1915, 1920[","41","0.0035451794206658"
"[1920, 1925[","118","0.0102031993082577"
"[1925, 1930[","94","0.00812797233030696"
"[1930, 1935[","51","0.00440985732814527"
"[1935, 1940[","32","0.00276696930393428"
"[1940, 1945[","36","0.00311284046692607"
"[1945, 1950[","68","0.00587980977086035"
"[1950, 1955[","46","0.00397751837440553"
"[1955, 1960[","66","0.00570687418936446"
"[1960, 1965[","107","0.00925205361003026"
"[1965, 1970[","118","0.0102031993082577"
"[1970, 1975[","134","0.0115866839602248"
"[1975, 1980[","85","0.00734976221357544"
"[1980, 1985[","75","0.00648508430609598"
"[1985, 1990[","59","0.00510159965412884"
"[1990, 1995[","66","0.00570687418936446"
"[1995, 2000[","85","0.00734976221357544"
"[2000, 2005[","90","0.00778210116731518"
"[2005, 2010[","135","0.0116731517509728"
"[2010, 2015[","58","0.00501513186338089"
"[2015, 2020[","38","0.00328577604842196"
"[2020, 2025[","19","0.00164288802421098"
