"Intervals","Counts","Density"
"[0, 100[","7667","0.00971859551273926"
"[100, 200[","87","0.00011028013689948"
"[200, 300[","49","6.2111801242236e-05"
"[300, 400[","40","5.07035112181519e-05"
"[400, 500[","19","2.40841678286221e-05"
"[500, 600[","10","1.2675877804538e-05"
"[600, 700[","4","5.07035112181519e-06"
"[700, 800[","3","3.80276334136139e-06"
"[800, 900[","2","2.53517556090759e-06"
"[900, 1000[","2","2.53517556090759e-06"
"[1000, 1100[","0","0"
"[1100, 1200[","4","5.07035112181519e-06"
"[1200, 1300[","1","1.2675877804538e-06"
"[1300, 1400[","1","1.2675877804538e-06"
