"StintNumber","Count"
"0",3931
"1",1508
"2",588
"3",292
"4",207
"5",140
"6",114
"7",83
"8",65
"9",51
"10",46
"11",36
"12",27
"13",32
"14",36
"15",25
"16",26
"17",25
"18",23
"19",19
"20",20
"21",12
"22",19
"23",12
"24",17
"25",16
"26",13
"27",9
"28",9
"29",5
"30",11
"31",7
"32",9
"33",9
"34",5
"35",9
"36",11
"37",8
"38",7
"39",7
"40",9
"41",3
"42",4
"43",1
"44",5
"45",4
"46",6
"47",4
"48",9
"49",6
"50",5
"51",4
"52",4
"53",3
"54",4
"55",2
"56",10
"57",3
"58",2
"59",2
"60",4
"61",5
"62",1
"63",6
"64",3
"65",2
"66",1
"67",4
"68",7
"69",3
"70",4
"71",4
"72",1
"73",1
"74",1
"75",1
"76",5
"77",2
"78",1
"79",3
"80",1
"81",2
"82",2
"83",2
"84",1
"85",1
"86",3
"89",5
"91",2
"96",2
"97",4
"98",1
"100",4
"101",3
"102",4
"103",3
"104",2
"105",1
"106",3
"109",2
"111",2
"112",1
"114",1
"115",1
"119",2
"121",1
"129",1
"131",3
"132",1
"133",1
"134",1
"135",2
"137",1
"138",1
"139",4
"141",1
"142",1
"144",1
"147",1
"150",1
"151",1
"152",2
"153",1
"154",2
"155",1
"156",1
"160",2
"161",1
"162",1
"165",2
"167",1
"169",2
"174",2
"175",1
"178",1
"179",1
"180",1
"182",1
"183",3
"184",3
"189",2
"190",1
"193",2
"194",1
"195",1
"197",1
"199",3
"201",1
"203",2
"205",2
"208",1
"211",1
"212",2
"219",1
"220",1
"227",1
"229",1
"231",1
"232",2
"233",1
"236",4
"244",1
"246",1
"247",1
"249",1
"250",1
"253",2
"254",1
"258",1
"261",1
"263",2
"265",1
"267",1
"269",1
"271",2
"273",1
"276",1
"277",2
"288",2
"295",1
"297",1
"299",1
"300",2
"302",1
"308",1
"309",1
"310",1
"311",1
"316",1
"318",1
"319",2
"324",1
"325",1
"328",1
"335",1
"337",1
"339",1
"340",1
"341",1
"343",1
"348",1
"349",2
"350",2
"351",2
"359",1
"363",1
"366",2
"367",1
"369",1
"374",1
"381",1
"382",1
"383",1
"385",1
"389",1
"396",1
"399",2
"402",1
"410",2
"412",2
"417",1
"428",1
"430",1
"431",1
"434",1
"445",1
"446",1
"459",1
"465",1
"468",2
"471",1
"479",1
"480",1
"515",1
"518",1
"525",1
"529",1
"531",1
"570",1
"571",1
"578",1
"583",1
"599",1
"608",1
"614",1
"627",1
"672",1
"712",1
"742",1
"778",1
"807",1
"866",1
"919",1
"946",1
"1103",1
"1122",1
"1151",1
"1185",1
"1239",1
"1388",1
NA,0
