"Intervals","Counts","Density"
"[1875, 1880[","1","0.00099502487562189"
"[1880, 1885[","1","0.00099502487562189"
"[1885, 1890[","0","0"
"[1890, 1895[","0","0"
"[1895, 1900[","0","0"
"[1900, 1905[","4","0.00398009950248756"
"[1905, 1910[","2","0.00199004975124378"
"[1910, 1915[","5","0.00497512437810945"
"[1915, 1920[","3","0.00298507462686567"
"[1920, 1925[","1","0.00099502487562189"
"[1925, 1930[","4","0.00398009950248756"
"[1930, 1935[","3","0.00298507462686567"
"[1935, 1940[","6","0.00597014925373134"
"[1940, 1945[","3","0.00298507462686567"
"[1945, 1950[","5","0.00497512437810945"
"[1950, 1955[","4","0.00398009950248756"
"[1955, 1960[","2","0.00199004975124378"
"[1960, 1965[","4","0.00398009950248756"
"[1965, 1970[","3","0.00298507462686567"
"[1970, 1975[","6","0.00597014925373134"
"[1975, 1980[","3","0.00298507462686567"
"[1980, 1985[","0","0"
"[1985, 1990[","7","0.00696517412935323"
"[1990, 1995[","10","0.00995024875621891"
"[1995, 2000[","15","0.0149253731343284"
"[2000, 2005[","18","0.017910447761194"
"[2005, 2010[","28","0.0278606965174129"
"[2010, 2015[","21","0.0208955223880597"
"[2015, 2020[","32","0.0318407960199005"
"[2020, 2025[","10","0.00995024875621891"
