"playerId","playerName","teamWdId","teamRsId","teamName","startYear","endYear","matchesPlayed","pointsScored","dataSource"
"Q18455","Ben Tune","Q1368281",253,"Queensland Reds",1995,2007,112,155,"WD; frWP; esWP"
"Q18455","Ben Tune","Q622443",86,"Australia national rugby union team",1996,2006,47,120,"WD; frWP; enWP"
"Q18455","Ben Tune","Q1368281",253,"Queensland Reds",1996,2007,84,155,"esWP; enWP"
"Q77848","Sascha Fischer","Q1024459",199,"CS Bourgoin-Jallieu",1996,2003,NA,NA,"WD; frWP; enWP"
"Q77848","Sascha Fischer","Q952709",182,"CA Périgueux",2003,2006,6,0,"frWP; enWP"
"Q77848","Sascha Fischer","Q3220658",546,"Bugue Athletic Club",2006,2008,17,0,"WD; frWP"
"Q77848","Sascha Fischer","Q695374",116,"Germany national rugby union team",2006,2008,27,0,"WD; frWP"
"Q77848","Sascha Fischer","Q3220658",546,"Bugue Athletic Club",2006,2009,NA,NA,"enWP"
"Q77848","Sascha Fischer","Q833432",148,"DSV 78 Hannover",2006,2013,NA,NA,"frWP"
"Q77848","Sascha Fischer","Q695374",116,"Germany national rugby union team",NA,2007,27,0,"enWP"
"Q77848","Sascha Fischer","Q5206201",1163,"DSV 78/08 Ricklingen",NA,NA,NA,NA,"enWP"
"Q127613","Patrick Lambie","Q744636",121,"Sharks",2007,2009,NA,NA,"itWP"
"Q127613","Patrick Lambie","Q744636",121,"Sharks",2008,2008,NA,NA,"enWP"
"Q127613","Patrick Lambie","Q18379627",2403,"South Africa national under-18 rugby union team",2008,2008,1,5,"enWP"
"Q127613","Patrick Lambie","Q498478",52,"South Africa national rugby union team",2008,2016,56,153,"jaWP"
"Q127613","Patrick Lambie","Q744636",121,"Sharks",2009,2009,1,5,"enWP"
"Q127613","Patrick Lambie","Q744636",121,"Sharks",2009,2016,30,329,"itWP"
"Q127613","Patrick Lambie","Q744636",121,"Sharks",2009,2017,30,329,"WD; frWP; enWP"
"Q127613","Patrick Lambie","Q498478",52,"South Africa national rugby union team",2010,2010,1,0,"enWP"
"Q127613","Patrick Lambie","Q3644047",797,"South Africa national under-20 rugby union team",2010,2010,5,75,"enWP"
"Q127613","Patrick Lambie","Q498478",52,"South Africa national rugby union team",2010,2016,56,153,"WD; frWP; itWP; esWP; enWP"
"Q127613","Patrick Lambie","Q744636",121,"Sharks",2010,2017,71,746,"WD; frWP; itWP; esWP; enWP; jaWP"
"Q127613","Patrick Lambie","Q807749",136,"Barbarian FC",2013,2013,3,21,"enWP"
"Q127613","Patrick Lambie","Q498478",52,"South Africa national rugby union team",2015,2015,1,4,"enWP"
"Q127613","Patrick Lambie","Q3873494",822,"Emerging Springboks",2016,2016,1,6,"enWP"
"Q127613","Patrick Lambie","Q118498",10,"Racing 92",2017,2018,18,60,"enWP"
"Q127613","Patrick Lambie","Q118498",10,"Racing 92",2017,2019,18,60,"jaWP; frWP; itWP; esWP"
"Q127613","Patrick Lambie",NA,6207,"College Rovers",NA,NA,NA,NA,"frWP"
"Q128407","Martín Bustos Moyano","Q5202720",1162,"Córdoba Athletic Club",1999,2009,NA,NA,"frWP"
"Q128407","Martín Bustos Moyano","Q5202720",1162,"Córdoba Athletic Club",2004,2009,NA,NA,"esWP"
"Q128407","Martín Bustos Moyano","Q646070",101,"Argentina national rugby union team",2008,2013,4,43,"WD; frWP; enWP"
"Q128407","Martín Bustos Moyano","Q2060356",331,"Pampas XV",2009,2010,5,31,"WD; frWP; esWP"
"Q128407","Martín Bustos Moyano","Q2060356",331,"Pampas XV",2010,2010,5,31,"enWP"
"Q128407","Martín Bustos Moyano","Q596985",76,"Montpellier Hérault Rugby",2010,2013,71,713,"WD; frWP; esWP; enWP"
"Q128407","Martín Bustos Moyano","Q630112",88,"Aviron Bayonnais",2013,2019,125,1011,"WD; frWP; esWP; enWP"
"Q131895","Ross Filipo","Q2414175",361,"Marlborough Rugby Union",2001,2001,7,0,"frWP"
"Q131895","Ross Filipo","Q104856087",2905,"Tasman Rugby Union Team",2001,2001,7,0,"enWP"
"Q131895","Ross Filipo","Q2414175",361,"Marlborough Rugby Union",2001,2002,NA,NA,"WD"
"Q131895","Ross Filipo","Q1476647",270,"Wellington Rugby Football Union Team",2002,2008,NA,NA,"WD"
"Q131895","Ross Filipo","Q1476647",270,"Wellington Rugby Football Union Team",2003,2008,47,50,"frWP; enWP"
"Q131895","Ross Filipo","Q959847",188,"Crusaders",2004,2009,45,40,"WD; frWP; enWP"
"Q131895","Ross Filipo","Q1490464",271,"Maori All Blacks team",2005,2008,7,0,"frWP; enWP"
"Q131895","Ross Filipo","Q749756",124,"New Zealand A national rugby union team",2007,2007,3,10,"WD; enWP"
