"","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId"
"3","Q16320","Club Atlético Peñarol","rugby union club","1891-09-28",NA,"Peñarol; نادي بنيارول; ФК Пеньяроль; C.A. Peñarol; CA Peñarol; Club Atletico Peñarol; Peñarol Montevideo; Пењарол; CA Penarol; เปญญาโรล; 佩那罗尔足球俱乐部; Peñarol de Montevideo",NA,"Uruguay",NA,NA,"Estadio Campeón del Siglo",NA,"Montevideo",NA,NA,"Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","Club_Atl%C3%A9tico_Pe%C3%B1arol","CA%E3%83%9A%E3%83%8B%E3%83%A3%E3%83%AD%E3%83%BC%E3%83%AB",NA
"6","Q55801","New Zealand national rugby union team","national rugby union team","1903-08-15",NA,"New Zealand rugby union team; New Zealand national rugby team; New Zealand rugby team; Seleccion de rugby de Nueva Zelanda; ru nzl; オールブラックス; kapa Ōpango; Ол Блекс; Nieuw-Zeelands rugbyteam (mannen); Олл Блэкс; 新西兰国家橄榄球队; 新西蘭國家橄欖球隊; los Totes Negres; los Totes Negres de Nòva Zelanda; New Zealand men's national rugby union team",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,"New_Zealand_national_rugby_union_team","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8",NA
"9","Q113135","Italy national rugby union team","national rugby union team","1929-05-20",NA,"Italy rugby team; Italian rugby union team; Italy national rugby team; Itàlia rugby; rugbi Itàlia; Italian national rugby team; Italian national rugby union team; Italian rugby team; Italy rugby union team; Seleccion de rugby de Italia; italrugby; nazionale italiana di rugby; RU ITA; RU Italia; RU Italy; Italiaans rugbyteam (mannen)",NA,"Italy",NA,NA,"Stadio Olimpico","70634",NA,NA,NA,"Italy_national_rugby_union_team","%C3%89quipe_d%27Italie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Italia","Selecci%C3%B3n_de_rugby_de_Italia","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8",NA
"12","Q163288","1. Oberösterreichischer Rugby Sport Club","rugby union club","2000-01-01",NA,"Rugby Club Linz; RC Linz; 1",NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"1._Ober%C3%B6sterreichischer_Rugby_Sport_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/1._Oberösterreichischer_Rugby_Sport_Club"
"15","Q195734","United Arab Emirates national rugby union team","national rugby union team","2011-04-23",NA,NA,NA,"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,"United_Arab_Emirates_national_rugby_union_team","%C3%89quipe_des_%C3%89mirats_arabes_unis_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_degli_Emirati_Arabi_Uniti","Selecci%C3%B3n_de_rugby_de_Emiratos_%C3%81rabes_Unidos",NA,NA
"16","Q211985","RC Mainz","rugby union club","1999-01-01",NA,"Rugby Club Mainz; Rugby Club Mainz e.V.",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,NA,NA,NA,"RC_Mainz","RC_Mainz",NA,NA,NA,"http://dbpedia.org/resource/RC_Mainz"
"17","Q247246","Pacific Islanders rugby union team","rugby union team","2004-01-01",NA,"Equipe des Pacific Islanders de rugby a XV; Pacific Islanders; Pacific Islanders rugby team; Tour dei Pacific Islanders 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific_Islanders_rugby_union_team","%C3%89quipe_des_Pacific_Islanders_de_rugby_%C3%A0_XV","Pacific_Islanders","Pacific_Islanders","%E3%83%91%E3%82%B7%E3%83%95%E3%82%A3%E3%83%83%E3%82%AF%E3%83%BB%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%80%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Pacific_Islanders_rugby_union_team"
"18","Q250778","Portugal national rugby union team","national rugby union team","1935-04-13",NA,"Portugal nasionale rugbyspan; Portugal se nasionale rugbyspan; tîm rygbi Portiwgal; Tim rygbi'r undeb cenedlaethol Portiwgal; Seleccion de rugby de Portugal; Nazionale di rugby XV del Portogallo; ru prt; Portugees rugbyteam (mannen); Reprezentacja Portugalii w rugby mężczyzn; Seleção Portuguesa de Râguebi; Seleção Portuguesa de Rugby Masculino; Seleção Portuguesa de Rugby Union; Selecção Portuguesa de Râguebi; Selecção Portuguesa de Râguebi Masculino; Selecção Portuguesa de Rugby; Selecção Portuguesa de Rugby Masculino; Echipa naţională de rugby a Portugaliei; tim rygbi Portiwgal",NA,"Portugal",NA,NA,"Estádio Universitário de Lisboa","8000",NA,NA,NA,"Portugal_national_rugby_union_team","%C3%89quipe_du_Portugal_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Portogallo","Selecci%C3%B3n_de_rugby_de_Portugal","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%9D%E3%83%AB%E3%83%88%E3%82%AC%E3%83%AB%E4%BB%A3%E8%A1%A8",NA
"19","Q250783","Spain national rugby union team","national rugby union team","1929-05-20",NA,"Spanje nasionale rugbyspan; Spanje se nasionale rugbyspan; selección de rugbi d'España; selección española de rugbi; selección masculina de rugbi d'España; seleición de rugbi d'España; seleición española de rugbi; Selecció espanyola de rugbi; Selecció nacional de rugbi d'Espanya; XV del Lleó; Tîm rygbi cenedlaethol Sbaen; tîm rygbi Sbaen; tîm rygbi'r undeb cenedlaethol Sbaen; Los Leones; Seleccion de rugby de Espana; Seleccion de rugby de España; Selección de rugby de Espana; Seleccion espanola de rugby; Seleccion española de rugby; Selección espanola de rugby; Selección española de rugby; Seleccion nacional de rugby de Espana; Seleccion nacional de rugby de España; Selección nacional de rugby de Espana; Selección nacional de rugby de España; XV del leon; XV del león; Nazionale di rugby XV della Spagna; ru esp; Spaans rugbyteam (mannen); Reprezentacja Hiszpanii w rugby mężczyzn; Seleção Espanhola de Râguebi; el XV del León",NA,"Spain",NA,NA,"Estadio Nacional Complutense","12000",NA,NA,NA,"Spain_national_rugby_union_team","%C3%89quipe_d%27Espagne_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Spagna","Selecci%C3%B3n_de_rugby_de_Espa%C3%B1a","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B9%E3%83%9A%E3%82%A4%E3%83%B3%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Spain_national_rugby_union_team"
"21","Q255027","Älvsjö AIK","rugby union club","1915-05-23",NA,"エルブシェAIK FF",NA,"Sweden",NA,NA,"Älvsjö IP",NA,"Älvsjö",NA,NA,"%C3%84lvsj%C3%B6_AIK",NA,NA,NA,NA,NA
