name,dob,pob,height,weight,no_position,is_still_playing,no_senior_club,senior_club_start,senior_club_end,senior_club_apps,senior_club_points,no_internaional_club,internaional_club_start,internaional_club_end,internaional_club_apps,internaional_club_points
Stephen Ferris,1985-08-02,"maghaberry, northern ireland",1.93,116.0,1,False,1,2005,2014,106,60,3,8,2009,38,10
Brian Carney,,,1.8,91.0,0,False,0,-9,-9,0,0,0,-9,-9,0,0
Tony Buckley,1980-09-18,"cork,ireland",1.96,138.0,1,False,3,2004,2014,213,75,2,2007,2011,31,15
Tomás O'Leary,1983-10-22,"cork,ireland",1.8,85.0,1,False,4,2005,2017,193,62,3,2006,2012,33,20
Rob Kearney,1986-03-26,"cooley peninsula,county louth,ireland",1.85,94.0,1,False,2,2005,2021,227,243,3,2006,2019,103,100
Barry Murphy,1982-11-28,"limerick,ireland",1.85,90.0,2,False,1,2003,2011,73,75,2,2006,2009,8,5
Shane Jennings,1981-07-08,"knocklyon,dublin,ireland",1.85,105.0,1,False,3,2000,2015,265,165,5,1999,2015,37,10
Keith Earls,1987-10-02,"moyross, ireland",1.78,87.0,3,False,1,2007,2023,202,320,3,2007,2023,114,210
Donnacha Ryan,1983-12-11,"nenagh,county tipperary,ireland",2.01,115.0,2,False,2,2004,2021,251,50,2,2008,2017,59,0
Tom Court,1980-11-06,"brisbane, australia",1.91,122.0,1,False,5,2004,2019,252,70,3,8,2013,39,5
Ryan Caldwell,1984-09-01,"belfast,northern ireland",2.0,112.0,1,False,3,2005,2014,141,25,2,2007,2010,13,10
Darren Cave,1987-04-05,"holywood,northern ireland",1.83,93.0,1,False,1,2007,2019,229,229,4,2007,2015,27,50
Ian Dowling,,,1.81,93.0,1,False,1,2005,2011,98,75,2,2006,2010,7,15
Ian Keatley,1987-04-01,"dublin,ireland",1.8,91.0,3,False,6,2007,2021,288,2129,5,2007,2017,28,178
John Muldoon,1982-11-30,"portumna,county galway,ireland",1.92,110.0,1,False,1,2003,2018,327,117,5,2000,2017,15,10
Niall Ronan,1982-09-14,"pilltown,meath,ireland",1.85,113.0,1,False,2,2003,2014,138,115,2,2008,2011,10,0
Mike Ross,1979-12-21,"cork,ireland",1.88,110.0,1,False,3,2005,2017,236,10,2,2007,2016,74,0
Ian Whitten,1987-06-05,"lisburn,northern ireland",1.88,102.0,1,True,2,2008,2012,334,180,2,2009,2011,3,10
Denis Hurley,1984-07-15,"cork,ireland",1.91,100.0,3,False,1,2006,2016,167,85,2,2008,2012,10,15
Cian Healy,1987-10-07,"dublin, ireland",1.85,117.0,1,True,1,2007,2007,277,160,4,2007,2013,143,65
Johnny Sexton,1985-07-11,"dublin, ireland",1.88,90.0,1,False,3,2006,2023,229,1994,5,2004,2023,150,1179
Seán O'Brien,1987-02-14,"carlow,ireland",1.88,108.0,2,False,2,2008,2022,154,100,5,2006,2019,76,35
Seán Cronin,1986-05-06,"limerick, ireland",1.78,103.0,1,False,3,2005,2022,270,265,3,2005,2019,87,40
Kevin McLaughlin,1984-09-20,"dublin,ireland",1.93,109.0,1,False,1,2007,2015,115,20,4,13,2013,24,5
Dan Tuohy,1985-06-18,"bristol,england",1.96,119.0,1,True,7,2007,2018,185,75,3,2009,2016,16,5
John Fogarty,1977-10-18,"tipperary,ireland",1.78,102.0,1,False,3,2000,2010,159,45,2,2006,2010,13,15
Chris Henry,1984-10-17,"belfast,northern ireland",1.91,107.0,1,False,1,2006,2018,184,55,2,12,2015,34,40
Rhys Ruddock,1990-11-13,"dublin,ireland",1.91,113.0,1,False,2,2008,2024,228,75,4,2009,2021,50,20
Damien Varley,1983-10-29,"limerick,ireland",1.78,110.0,1,False,3,2006,2015,127,70,2,2010,2014,7,0
Devin Toner,1986-06-29,"moynalvey,meath,ireland",2.09,127.0,1,False,1,2006,2022,280,20,3,2006,2020,88,15
Fergus McFadden,1986-06-17,"kilkenny,ireland",1.83,91.0,2,True,2,2007,2020,184,444,4,2004,2018,62,86
Mike McCarthy,1981-11-27,"south africa,england",1.95,115.0,1,False,5,2001,2017,315,95,3,2002,2016,22,0
Felix Jones,1987-08-05,"dublin,ireland",1.85,90.0,2,False,2,2008,2015,91,50,3,2007,2015,23,40
Conor Murray,1989-04-20,"limerick, ireland",1.88,93.0,1,True,1,2010,2010,193,195,3,2009,2021,135,144
Peter O'Mahony,1989-09-17,"cork, ireland",1.91,107.0,2,True,1,2010,2010,188,80,3,2009,2017,115,25
Simon Zebo,1990-03-16,"cork, ireland",1.88,99.0,2,True,3,2010,2021,236,490,3,2010,2017,46,68
Declan Fitzpatrick,1983-07-12,"bromsgrove,england",1.8,118.0,1,False,1,2006,2015,98,15,2,2006,2013,16,0
