"rugbyscopeId","altNames","teamWP"
NA,"auckland","Auckland"
NA,"auckland","St_Peter%27s_College,_Auckland"
NA,"auckland","St_Paul%27s_College,_Auckland"
NA,"auckland","Auckland_Grammar_School"
NA,"auckland","Auckland_University_of_Technology"
NA,"auckland","De_La_Salle_College,_Auckland"
NA,"auckland","King%27s_College,_Auckland"
NA,"auckland","Waitemat%C4%81_Harbour"
NA,"auckland","Auckland_Region"
NA,"auckland","Sacred_Heart_College,_Auckland"
NA,"auckland","Auckland_Rugby_Football_Union"
NA,"australia","Australia"
NA,"australia","Perth"
NA,"australia","Australia_national_rugby_league_team"
NA,"australia","Australian_Catholic_University"
NA,"australia","List_of_senators_from_the_Australian_Capital_Territory"
NA,"australia","Australia_men%27s_national_water_polo_team"
NA,"australia","Australian_Schoolboys_rugby_league_team"
NA,"australia","South_Australia"
NA,"australia","Order_of_Australia"
NA,"australia","Karrakatta,_Western_Australia"
NA,"ayr","South_Ayrshire"
NA,"ayr","Ayr"
NA,"ballymena","Ballymena_Academy"
NA,"ballymena","Ballymena"
NA,"bassin d'arcachon","Rugby_Club_bassin_d%27Arcachon"
NA,"bassin d'arcachon","Arcachon_Bay"
NA,"bay of plenty","Bay_of_Plenty_Rugby_Union"
NA,"bay of plenty","Bay_of_Plenty_Region"
NA,"bay of plenty","Bay_of_Plenty"
NA,"bedford","Bedford_Modern_School"
NA,"bedford","Haynes,_Bedfordshire"
NA,"bedford","Bedford"
NA,"bishop's stortford","Bishop%27s_Stortford_RFC"
NA,"bishop's stortford","Bishop%27s_Stortford"
NA,"bramley","Bramley,_Leeds"
NA,"bramley","Bramley_R.L.F.C."
NA,"brazil","Brazil_national_rugby_team"
NA,"brazil","Brazil_national_rugby_union_team"
NA,"brazil","Brazil"
NA,"bristol","Bristol"
NA,"bristol","Bristol_Grammar_School"
NA,"british columbia","British_Columbia"
NA,"british columbia","Richmond,_British_Columbia"
NA,"british columbia","Trail,_British_Columbia"
NA,"british columbia","British_Columbia_Rugby_Union"
NA,"cameroon","Cameroon"
NA,"cameroon","Cameroon_national_rugby_union_team"
NA,"canada","Canada_national_rugby_union_team"
NA,"canada","Canada"
NA,"canada","Upper_Canada_College"
NA,"canada","Oakville,_Ontario"
NA,"canada","Royal_Military_College_of_Canada"
NA,"canterbury","Canterbury_(National_Provincial_Championship)"
NA,"canterbury","Canterbury_RFU"
NA,"canterbury","Canterbury_Region"
NA,"canterbury","St_Thomas_of_Canterbury_College"
NA,"canterbury","Canterbury_Rugby_Union"
NA,"cardiff","Cardiff"
NA,"cardiff","Tremorfa"
NA,"cardiff","Whitchurch,_Cardiff"
NA,"chester","Chester_RUFC"
NA,"chester","Manchester_Metropolitan_University"
NA,"chester","King%27s_School,_Chester"
NA,"chile","Chile"
NA,"chile","Chile_national_rugby_union_team"
NA,"chile","Presidential_Republic_(1925%E2%80%931973)"
NA,"clifton","Clifton_College"
NA,"clifton","Clifton,_Bristol"
NA,"cook islands","Cook_Islands_national_rugby_union_team"
NA,"cook islands","Cook_Islands_national_rugby_league_team"
NA,"cornwall","Rugby_union_in_Cornwall"
NA,"cornwall","Cornwall"
NA,"cornwall","St_Ives,_Cornwall"
NA,"cornwall","Falmouth,_Cornwall"
NA,"coventry","Coventry"
NA,"coventry","Woodlands_Academy,_Coventry"
NA,"croatia","Croatia_national_rugby_union_team"
NA,"croatia","Socialist_Republic_of_Croatia"
NA,"czech republic","Czech_Republic"
NA,"czech republic","Czech_Republic_national_rugby_union_team"
NA,"dalziel","Dalziel_High_School"
NA,"dalziel","Dalziel_RFC"
NA,"devon","Devon_Rugby_Football_Union"
NA,"devon","Devon"
NA,"dewsbury","Dewsbury"
NA,"dewsbury","Dewsbury_Rams"
NA,"edinburgh","Edinburgh"
NA,"edinburgh","Edinburgh_Napier_University"
NA,"edinburgh","Trinity_Academy,_Edinburgh"
NA,"england","Durham,_England"
NA,"england","England_cricket_team"
NA,"england","University_of_the_West_of_England"
NA,"england","Sussex"
NA,"england","England_national_football_team"
NA,"england","England_national_rugby_league_team"
NA,"england","Sale,_Greater_Manchester"
NA,"feilding","Feilding"
NA,"feilding","Feilding_Old_Boys_Oroua_Rugby_and_Netball_Club"
NA,"fiji","Fiji"
NA,"fiji","Fiji_national_urugby_union_team"
NA,"fiji","Dominion_of_Fiji"
NA,"fiji","Sigatoka"
NA,"fiji","Colony_of_Fiji"
NA,"fiji","Tavua,_Fiji"
NA,"france","France_national_rugby_union_team"
NA,"france","Vichy_France"
NA,"france","%C3%8Ele-de-France"
NA,"france","French_Third_Republic"
NA,"france","German_military_administration_in_occupied_France_during_World_War_II"
NA,"france","Provisional_Government_of_the_French_Republic"
NA,"france","Tremblay-en-France"
NA,"france","France_national_rugby_league_team"
NA,"france","French_Fourth_Republic"
NA,"free state","Free_State_(province)"
NA,"free state","Orange_Free_State_(province)"
