"text","position"
"-",NA
"0",NA
"1st 5","1st Row"
"2019 apia",NA
"2nd row","2nd Row"
"4","Loosehead Lock"
"5)","Tighthead Lock"
"8","Number 8"
"assistant coach",NA
"assistant coach - defence",NA
"assistant coach queensland reds",NA
"asst coachnsw waratahs",NA
"attack & skills coach",NA
"attack coach",NA
"back","Back"
"back-row","3rd Row"
"back-row forward","3rd Row"
"back row","3rd Row"
"back row forward","3rd Row"
"back row(typically number 8)","3rd Row"
"back rowlock","2nd Row; 3rd Row"
"back roworsecond row","2nd Row; 3rd Row"
"back three & scrum half","Fullback; Winger; Scrum-Half"
"backrow","3rd Row"
"backrow (no.8 & blindside flanker)","Number 8; Blindside Flanker"
"backrow forwardhooker","3rd Row; Hooker"
"backs coach",NA
"blindside","Blindside Flanker"
"blindside flanker","Blindside Flanker"
"blindside flankerlock","Blindside Flanker; 2nd Row"
"blindside flankerlocknumber 8","Blindside Flanker; Number 8; 2nd Row"
"blindside flankerno.8","Blindside Flanker; Number 8"
"blindside flankernumber 8","Blindside Flanker; Number 8"
"breakaway","Openside Flanker"
"center","Centre"
"center (7s)",NA
"central defender",NA
"centre","Centre"
"centre-mogliano","Centre"
"centre (15s);forward (7s)","Centre"
"centre (7s);wing (15s)","Centre"
"centre and half-back","Centre; Winger; Half-Back"
"centre fly-half","Centre; Fly-Half"
"centre forward",NA
"centre forward (soccer)centre (rugby)","Centre"
"centre or wing","Centre; Winger"
"centre three-quarter","Outside Centre"
"centreflanker","Centre; Flanker"
"centrefly-half","Centre; Fly-Half"
"centreflyhalf","Centre; Fly-Half"
"centrefullback","Centre; Fullback"
"centreorwing","Centre; Winger"
"centres","Centre"
"centrewing","Centre; Winger"
"centrewinger (rugby union)","Centre; Winger"
"centrewingfly-half","Centre; Winger; Fly-Half"
"ceo ofnsw country eagles",NA
"ceofree jacks",NA
"coach",NA
"coaching coordinator",NA
"daniel davies(brother)position(s)",NA
"defence coach",NA
"defender",NA
"director of rugby",NA
"director of sport",NA
"eighth man","Number 8"
"eighthman","Number 8"
"first-five","1st Row; 2nd Row"
"first-five-eighth","Fly-Half"
"first five","1st Row; 2nd Row"
"first five-eighth","Fly-Half"
"first five-eighthcentre","Fly-Half; Centre"
"first five-eighthfullback","Fly-Half; Fullback"
"first five-eighthhalfback","Fly-Half; Scrum-Half"
"first five-eighthinside centre","Fly-Half; Inside Centre"
"first five-eighths","Fly-Half"
"first five-eighthsecond five-eighth","Fly-Half; Inside Centre"
"first five-eighthsecond five-eighthcentre","Fly-Half; Inside Centre; Outside Centre"
"first five-eighthsecond five-eighthfull-back","Fly-Half; Inside Centre; Fullback"
"first five-eighthsecond five-eighthfullback","Fly-Half; Inside Centre; Fullback"
"five-eighth","Fly-Half"
"fiveeights","Fly-Half"
"flank","Flanker"
"flank;no.8","Flanker; Number 8"
"flanker","Flanker"
"flanker#8","Flanker; Number 8"
"flanker(7's:fly half","Flanker"
"flankerlock","Flanker; 2nd Row"
"flankerno 8","Flanker; Number 8"
"flankerno.8centre","Flanker; Number 8; Centre"
"flankernumber 8","Flanker; Number 8"
"flankernumber 8hooker","Flanker; Number 8; Hooker"
"flankernumber eight","Flanker; Number 8"
"flankerorlock","Flanker; Lock"
"flankerornumber eight","Flanker; Number 8"
"flankerwing","Flanker; Winger"
"flankerwinger","Flanker; Winger"
"fly-half","Fly-Half"
"fly-half (rugby union)","Fly-Half"
"fly-half(7s)",NA
"fly-half(first five-eighth)","Fly-Half"
"fly-half(stand-off)","Fly-Half"
"fly-half;inside centre","Fly-Half; Inside Centre"
"fly-halfcentre","Fly-Half; Centre"
"fly-halfcentrefullback","Fly-Half; Centre; Fullback"
"fly-halffive-eighth & halfback","Fly-Half; Inside Centre; Scrum-Half"
"fly-halffull-back","Fly-Half; Fullback"
"fly-halffullback","Fly-Half; Fullback"
"fly-halfinside centre","Fly-Half; Inside Centre"
"fly-halforcentre","Fly-Half; Centre"
"fly-halfwinger","Fly-Half; Winger"
"fly-halfwingfull-back","Fly-Half; Winger; Fullback"
"fly half","Fly-Half"
"fly halfcentrefullback","Fly-Half; Centre; Fullback"
"flyhalf","Fly-Half"
"flyhalf.","Fly-Half"
"forward","Forward"
"forward (7s)",NA
"forward (7s)fullback","Fullback"
"forwardandhalf-back","Forward; Half-Back"
"forwardpropno. 8lock","Forward; Prop; Number 8"
"forwards","Forward"
"forwards coach",NA
"front-row","1st Row"
"front-row forward","1st Row"
"front-rower","1st Row"
"front row","1st Row"
"full-back","Fullback"
"full-backandwing","Fullback; Winger"
"full-backwing","Fullback; Winger"
"full-backwingfly-half","Fullback; Winger; Fly-Half"
"full back","Fullback"
"full backandthreequarters.","Fullback; Three-Quarter"
"full backfly half","Fullback; Fly-Half"
"full backwing","Fullback; Winger"
"full forward2nd row (rugby)","Fullback; 2nd Row"
"fullback","Fullback"
"fullback .","Fullback"
"fullback centre","Fullback; Centre"
"fullback centre or wing","Fullback; Centre; Winger"
"fullback(15s);forward(7s)","Fullback"
"fullback.fly-half","Fullback; Fly-Half"
"fullback.scrum-half","Fullback; Scrum-Half"
"fullbackandfly-half","Fullback; Fly-Half"
"fullbackcentre","Fullback; Centre"
"fullbackcentrewing","Fullback; Centre; Winger"
"fullbackfirst five-eighthsecond five-eighth","Fullback; Fly-Half; Inside Centre"
"fullbackfly-half","Fullback; Fly-Half"
"fullbackflyhalf","Fullback; Fly-Half"
"fullbackorcentre","Fullback; Centre"
"fullbackorwing","Fullback; Winger"
"fullbacks","Fullback"
