name,url
CarewPatrick Carew,https://en.wikipedia.org/wiki/Patrick_Carew
CarsonJames Carson,https://en.wikipedia.org/wiki/James_Carson_(rugby_union)
ColtonGinger Colton,https://en.wikipedia.org/wiki/Ginger_Colton
DavisWalter Davis,https://en.wikipedia.org/wiki/Walter_Davis_(rugby_union)
EllisCharlie Ellis,https://en.wikipedia.org/wiki/Charlie_Ellis
EvansWilliam Evans,https://en.wikipedia.org/wiki/William_Evans_(Australian_sportsman)
GraltonAustin Gralton,https://en.wikipedia.org/wiki/Austin_Gralton
KellyAlex Kelly,https://en.wikipedia.org/wiki/Alex_Kelly_(rugby_union)
McCowanBob McCowan,https://en.wikipedia.org/wiki/Bob_McCowan
MarksHyram Marks,https://en.wikipedia.org/wiki/Hyram_Marks
RowFrank Row,https://en.wikipedia.org/wiki/Frank_Row
SpraggLonnie Spragg,https://en.wikipedia.org/wiki/Lonnie_Spragg
TannerDooee Tanner,https://en.wikipedia.org/wiki/Dooee_Tanner
WardPeter Ward,https://en.wikipedia.org/wiki/Peter_Ward_(rugby_union)
WhiteCharlie White,https://en.wikipedia.org/wiki/Charlie_White_(rugby_union)
ChallonerRobert Challoner,https://en.wikipedia.org/wiki/Robert_Challoner
CorfeArthur Corfe,https://en.wikipedia.org/wiki/Arthur_Corfe
CurrieErnest Currie,https://en.wikipedia.org/wiki/Ernest_Currie
GrahamCharles Graham,https://en.wikipedia.org/wiki/Charles_Graham_(rugby_union)
HenryAlec Henry,https://en.wikipedia.org/wiki/Alec_Henry_(rugby_union)
StreetNorm Street,https://en.wikipedia.org/wiki/Norm_Street
WardThomas Ward,https://en.wikipedia.org/wiki/Thomas_Ward_(rugby_union)
BartonRoger Barton,https://en.wikipedia.org/wiki/Roger_Barton_(rugby_union)
BolandSine Boland,https://en.wikipedia.org/wiki/Sine_Boland
BoufflerGeorge Bouffler,https://en.wikipedia.org/wiki/George_Bouffler
BoydArch Boyd,https://en.wikipedia.org/wiki/Arch_Boyd
CobbWally Cobb,https://en.wikipedia.org/wiki/Wally_Cobb
MillerSyd Miller,https://en.wikipedia.org/wiki/Syd_Miller_(rugby_union)
O'DonnellIggy O'Donnell,https://en.wikipedia.org/wiki/Iggy_O%27Donnell
WebbBill Webb,https://en.wikipedia.org/wiki/Bill_Webb_(rugby_union)
HardcastleBill Hardcastle,https://en.wikipedia.org/wiki/Bill_Hardcastle
O'DonnellJack O'Donnell,https://en.wikipedia.org/wiki/Jack_O%27Donnell_(rugby_union)
SampsonJum Sampson,https://en.wikipedia.org/wiki/Jum_Sampson
BurdonAlex Burdon,https://en.wikipedia.org/wiki/Alex_Burdon
