name,url
John Bentley,https://en.wikipedia.org/wiki/John_Edmund_Bentley
Reg Birkett,https://en.wikipedia.org/wiki/Reg_Birkett
Benjamin Burns,https://en.wikipedia.org/wiki/Benjamin_Burns
John Clayton,https://en.wikipedia.org/wiki/John_Clayton_(rugby_union)
Charles Arthur Crompton,https://en.wikipedia.org/wiki/Charles_Arthur_Crompton
Alfred Davenport,https://en.wikipedia.org/wiki/Alfred_Davenport
John Dugdale,https://en.wikipedia.org/wiki/John_Marshall_Dugdale
Arthur Gibson,https://en.wikipedia.org/wiki/Arthur_Gibson_(rugby)
Joseph Green,https://en.wikipedia.org/wiki/Joseph_Green_(sportsman)
Arthur Guillemard,https://en.wikipedia.org/wiki/A._G._Guillemard
Alfred Hamersley,https://en.wikipedia.org/wiki/Alfred_Hamersley
John Luscombe,https://en.wikipedia.org/wiki/John_Luscombe
Arthur Lyon,https://en.wikipedia.org/wiki/Arthur_Lyon_(rugby_union)
William MacLaren,https://en.wikipedia.org/wiki/William_MacLaren
Richard Osborne,https://en.wikipedia.org/wiki/Richard_Osborne_(rugby_union)
Charles Sherrard,https://en.wikipedia.org/wiki/Charles_Sherrard
Frederick Stokes,https://en.wikipedia.org/wiki/Frederick_Stokes_(rugby_union)
Frank Tobin,https://en.wikipedia.org/wiki/Frank_Tobin
Dawson Turner,https://en.wikipedia.org/wiki/Dawson_Turner_(rugby_union)
H. J. C. Turner,https://en.wikipedia.org/wiki/H._J._C._Turner
Thomas Batson,https://en.wikipedia.org/wiki/Thomas_Batson
James Body,https://en.wikipedia.org/wiki/James_Body
James Bush,https://en.wikipedia.org/wiki/James_Bush_(sportsman)
Frederick Currey,https://en.wikipedia.org/wiki/Frederick_Currey
Francis d'Aguilar,https://en.wikipedia.org/wiki/Francis_d%27Aguilar
Stephen Finney,https://en.wikipedia.org/wiki/Stephen_Finney
Harold Freeman,https://en.wikipedia.org/wiki/Harold_Freeman
Francis Isherwood,https://en.wikipedia.org/wiki/Francis_Isherwood
Francis Luscombe,https://en.wikipedia.org/wiki/Francis_Luscombe
James Mackinlay,https://en.wikipedia.org/wiki/James_Mackinlay
Frederick Mills,https://en.wikipedia.org/wiki/Frederick_Mills_(rugby_union)
William Moberly,https://en.wikipedia.org/wiki/William_Moberly
Nipper Pinching,https://en.wikipedia.org/wiki/William_Wyatt_Pinching
Percival Wilkinson,https://en.wikipedia.org/wiki/Percival_Wilkinson
Cecil Boyle,https://en.wikipedia.org/wiki/Cecil_Boyle
Ernest Cheston,https://en.wikipedia.org/wiki/Ernest_Cheston
William Fletcher,https://en.wikipedia.org/wiki/William_Fletcher_(rugby_union)
Henry Lawrence,https://en.wikipedia.org/wiki/Henry_Lawrence_(rugby_union)
Henry Marsh,https://en.wikipedia.org/wiki/Henry_Marsh_(rugby_union)
Murray Marshall,https://en.wikipedia.org/wiki/Murray_Marshall
Sydney Morse,https://en.wikipedia.org/wiki/Sydney_Morse
Cyril Rickards,https://en.wikipedia.org/wiki/Cyril_Rickards
Ernest Still,https://en.wikipedia.org/wiki/Ernest_Still
Charles Vanderspar,https://en.wikipedia.org/wiki/Charles_Vanderspar
John Batten,https://en.wikipedia.org/wiki/John_Batten_(rugby_union)
Marshall Brooks,https://en.wikipedia.org/wiki/Marshall_Brooks
Henry Bryden,https://en.wikipedia.org/wiki/Henry_Anderson_Bryden
William Collins,https://en.wikipedia.org/wiki/William_Collins_(New_Zealand_surgeon)
Charles Crosse,https://en.wikipedia.org/wiki/Charles_Crosse
Foster Cunliffe,https://en.wikipedia.org/wiki/Foster_Cunliffe_(rugby_union)
James Genth,https://en.wikipedia.org/wiki/James_Genth
Edward Kewley,https://en.wikipedia.org/wiki/Edward_Kewley
William Milton,https://en.wikipedia.org/wiki/William_Henry_Milton
Sidney Parker,https://en.wikipedia.org/wiki/Sidney_Parker_(rugby_union)
William Stafford,https://en.wikipedia.org/wiki/William_Stafford_(British_Army_officer)
Roger Walker,https://en.wikipedia.org/wiki/Roger_Walker_(rugby_union)
Frank Adams,https://en.wikipedia.org/wiki/Frank_Reginald_Adams
Edward Fraser,https://en.wikipedia.org/wiki/Edward_Fraser_(rugby_union)
Harry Graham,https://en.wikipedia.org/w/index.php?title=Harry_Graham_(rugby_union)&action=edit&redlink=1
