name,url
AlleviEnrico Allevi,https://en.wikipedia.org/w/index.php?title=Enrico_Allevi&action=edit&redlink=1
AltissimiTommaso Altissimi,https://en.wikipedia.org/w/index.php?title=Tommaso_Altissimi&action=edit&redlink=1
BalducciAldo Balducci,https://en.wikipedia.org/w/index.php?title=Aldo_Balducci&action=edit&redlink=1
BarzaghiVittorio Barzaghi,https://en.wikipedia.org/w/index.php?title=Vittorio_Barzaghi&action=edit&redlink=1
BottonelliOttavio Bottonelli,https://en.wikipedia.org/w/index.php?title=Ottavio_Bottonelli&action=edit&redlink=1
BricchiLuigi Bricchi,https://en.wikipedia.org/w/index.php?title=Luigi_Bricchi&action=edit&redlink=1
CesaniLucio Cesani,https://en.wikipedia.org/w/index.php?title=Lucio_Cesani&action=edit&redlink=1
DondanaDomenico Dondana,https://en.wikipedia.org/w/index.php?title=Domenico_Dondana&action=edit&redlink=1
DoraGiovanni Dora,https://en.wikipedia.org/w/index.php?title=Giovanni_Dora&action=edit&redlink=1
ModonesiAlberto Modonesi,https://en.wikipedia.org/w/index.php?title=Alberto_Modonesi&action=edit&redlink=1
PaselliPiero Paselli,https://en.wikipedia.org/w/index.php?title=Piero_Paselli&action=edit&redlink=1
RaffoCarlo Raffo,https://en.wikipedia.org/w/index.php?title=Carlo_Raffo&action=edit&redlink=1
VinciPaolo Vinci II,https://en.wikipedia.org/w/index.php?title=Paolo_Vinci_II&action=edit&redlink=1
VinciFrancesco Vinci III,https://en.wikipedia.org/w/index.php?title=Francesco_Vinci_III&action=edit&redlink=1
VinciPietro Vinci IV,https://en.wikipedia.org/w/index.php?title=Pietro_Vinci_IV&action=edit&redlink=1
NistiAmando Nisti,https://en.wikipedia.org/w/index.php?title=Amando_Nisti&action=edit&redlink=1
PaolinGiovanni Paolin,https://en.wikipedia.org/w/index.php?title=Giovanni_Paolin&action=edit&redlink=1
VinciEugenio Vinci I,https://en.wikipedia.org/w/index.php?title=Eugenio_Vinci_I&action=edit&redlink=1
BigiGiuseppe Bigi,https://en.wikipedia.org/w/index.php?title=Giuseppe_Bigi&action=edit&redlink=1
di BelloAlberto di Bello,https://en.wikipedia.org/w/index.php?title=Alberto_di_Bello&action=edit&redlink=1
MorimondiAngelo Morimondi,https://en.wikipedia.org/w/index.php?title=Angelo_Morimondi&action=edit&redlink=1
NathanErnesto Nathan,https://en.wikipedia.org/w/index.php?title=Ernesto_Nathan_(rugby_union)&action=edit&redlink=1
SessaGiuseppe Sessa,https://en.wikipedia.org/w/index.php?title=Giuseppe_Sessa&action=edit&redlink=1
CentinariAmerigo Centinari,https://en.wikipedia.org/w/index.php?title=Amerigo_Centinari&action=edit&redlink=1
TagliabueLeandro Tagliabue,https://en.wikipedia.org/w/index.php?title=Leandro_Tagliabue&action=edit&redlink=1
AloisioIvan Aloisio,https://en.wikipedia.org/w/index.php?title=Ivan_Aloisio&action=edit&redlink=1
CazziniAurelio Cazzini,https://en.wikipedia.org/w/index.php?title=Aurelio_Cazzini&action=edit&redlink=1
ColomboFelice Colombo,https://en.wikipedia.org/w/index.php?title=Felice_Colombo_(rugby_union)&action=edit&redlink=1
CrespiAlberto Crespi,https://en.wikipedia.org/w/index.php?title=Alberto_Crespi&action=edit&redlink=1
GattoniGiuseppe Gattoni,https://en.wikipedia.org/w/index.php?title=Giuseppe_Gattoni&action=edit&redlink=1
MaffioliRenzo Maffioli,https://en.wikipedia.org/w/index.php?title=Renzo_Maffioli&action=edit&redlink=1
MorettiUmberto Moretti,https://en.wikipedia.org/w/index.php?title=Umberto_Moretti&action=edit&redlink=1
TozziFerdinando Tozzi,https://en.wikipedia.org/w/index.php?title=Ferdinando_Tozzi&action=edit&redlink=1
TrebbiFernando Trebbi,https://en.wikipedia.org/w/index.php?title=Fernando_Trebbi&action=edit&redlink=1
AymonodRiccardo Aymonod,https://en.wikipedia.org/w/index.php?title=Riccardo_Aymonod&action=edit&redlink=1
BortoliniGiorgio Bortolini,https://en.wikipedia.org/w/index.php?title=Giorgio_Bortolini&action=edit&redlink=1
CampagnaMario Campagna,https://en.wikipedia.org/w/index.php?title=Mario_Campagna&action=edit&redlink=1
MarescalchiArrigo Marescalchi,https://en.wikipedia.org/w/index.php?title=Arrigo_Marescalchi&action=edit&redlink=1
SgorbatiEraldo Sgorbati,https://en.wikipedia.org/w/index.php?title=Eraldo_Sgorbati&action=edit&redlink=1
AgostiAriosto Agosti,https://en.wikipedia.org/w/index.php?title=Ariosto_Agosti&action=edit&redlink=1
BrighettiLuigi Brighetti,https://en.wikipedia.org/w/index.php?title=Luigi_Brighetti&action=edit&redlink=1
de AngelisGastone de Angelis,https://en.wikipedia.org/w/index.php?title=Gastone_de_Angelis&action=edit&redlink=1
AlbonicoAngelo Albonico,https://en.wikipedia.org/w/index.php?title=Angelo_Albonico&action=edit&redlink=1
PianaGiuseppe Piana,https://en.wikipedia.org/w/index.php?title=Giuseppe_Piana&action=edit&redlink=1
ZaniGiancarlo Zani,https://en.wikipedia.org/w/index.php?title=Giancarlo_Zani&action=edit&redlink=1
MaestriOrlando Maestri,https://en.wikipedia.org/w/index.php?title=Orlando_Maestri&action=edit&redlink=1
