name,url
James Allan[2],https://en.wikipedia.org/wiki/James_Allan_(rugby_union)
Henry Braddon,https://en.wikipedia.org/wiki/Henry_Braddon
George Carter,https://en.wikipedia.org/wiki/George_Carter_(rugby_union)
John Dumbell,https://en.wikipedia.org/wiki/John_Dumbell
George Helmore,https://en.wikipedia.org/wiki/George_Helmore
John Lecky,"https://en.wikipedia.org/wiki/John_Lecky_(rugby_union,_born_1863)"
William Millton,https://en.wikipedia.org/wiki/William_Millton
Timothy O'Connor,https://en.wikipedia.org/wiki/Timothy_O%27Connor_(rugby_union)
James O'Donnell,https://en.wikipedia.org/wiki/James_O%27Donnell_(rugby_union)
Henry Roberts,https://en.wikipedia.org/wiki/Henry_Roberts_(rugby_union)
George Robertson,https://en.wikipedia.org/wiki/George_Robertson_(rugby_union)
Thomas Ryan,https://en.wikipedia.org/wiki/Thomas_Ryan_(rugby_union)
John Taiaroa,https://en.wikipedia.org/wiki/John_Taiaroa
Hart Udy,https://en.wikipedia.org/wiki/Hart_Udy
Peter Webb,https://en.wikipedia.org/wiki/Peter_Webb_(rugby_union)
Edward Millton,https://en.wikipedia.org/wiki/Edward_Millton
Joe Warbrick,https://en.wikipedia.org/wiki/Joe_Warbrick
Robert Wilson,"https://en.wikipedia.org/wiki/Robert_Wilson_(rugby_union,_born_1861)"
Edwin Davy,https://en.wikipedia.org/wiki/Edwin_Davy
Henry Butland,https://en.wikipedia.org/wiki/Henry_Butland
Sam Cockroft,https://en.wikipedia.org/wiki/Sam_Cockroft
Archibald D'Arcy,https://en.wikipedia.org/wiki/Archie_D%27Arcy
Thomas Ellison,https://en.wikipedia.org/wiki/Thomas_Ellison
David Gage,https://en.wikipedia.org/wiki/David_Gage
John Gardner,https://en.wikipedia.org/wiki/John_Gardner_(rugby_union)
Francis Jervis,https://en.wikipedia.org/wiki/Francis_Jervis
James Lambie,https://en.wikipedia.org/wiki/James_Lambie_(rugby_union)
William McKenzie,https://en.wikipedia.org/wiki/William_McKenzie_(rugby_union)
Frederick Murray,https://en.wikipedia.org/wiki/Frederick_Murray_(rugby_union)
Walter Pringle,https://en.wikipedia.org/wiki/Walter_Pringle_(rugby_union)
Graham Shannon,https://en.wikipedia.org/wiki/Graham_Shannon
Charles Speight,https://en.wikipedia.org/wiki/Charles_Speight_(rugby_union)
Hoeroa Tiopira,https://en.wikipedia.org/wiki/Hoeroa_Tiopira
Tabby Wynyard,https://en.wikipedia.org/wiki/Tabby_Wynyard
Alfred Bayly,https://en.wikipedia.org/wiki/Alfred_Bayly
Maurice Herrold,https://en.wikipedia.org/wiki/Maurice_Herrold
John Mowlem,https://en.wikipedia.org/wiki/John_Mowlem_(rugby_union)
Angus Stuart,https://en.wikipedia.org/wiki/Angus_Stuart
Charles Macintosh,https://en.wikipedia.org/wiki/Charles_Macintosh_(rugby_union)
Henry Wilson,https://en.wikipedia.org/wiki/Henry_Wilson_(rugby_union)
George Harper,https://en.wikipedia.org/wiki/George_Harper_(rugby_union)
Alan Good,https://en.wikipedia.org/wiki/Alan_Good
Rod Gray,https://en.wikipedia.org/wiki/Rod_Gray
Robert McKenzie,https://en.wikipedia.org/wiki/Robert_McKenzie_(rugby_union)
Robert Oliphant,https://en.wikipedia.org/wiki/Robert_Oliphant_(rugby_union)
Billy Watson,https://en.wikipedia.org/wiki/Billy_Watson_(rugby_union)
William Balch,https://en.wikipedia.org/wiki/William_Balch
Walter Bayly,https://en.wikipedia.org/wiki/Walter_Bayly
Alfred Cooke,https://en.wikipedia.org/wiki/Alfred_Cooke
Hugh Good,https://en.wikipedia.org/wiki/Hugh_Good_(rugby_union)
Daniel Hughes,https://en.wikipedia.org/wiki/Daniel_Hughes_(rugby_union)
George Humphreys,https://en.wikipedia.org/wiki/George_Humphreys_(rugby_union)
George Maber,https://en.wikipedia.org/wiki/George_Maber
Dick Stewart,https://en.wikipedia.org/wiki/Dick_Stewart_(rugby_union)
John Swindley,https://en.wikipedia.org/wiki/John_Swindley
Lewis Allen,https://en.wikipedia.org/wiki/Lewis_Allen_(rugby_union)
Harry Frost,https://en.wikipedia.org/wiki/Harry_Frost_(rugby_union)
Sandy Kerr[3],https://en.wikipedia.org/wiki/Sandy_Kerr
Peter McDonnell,https://en.wikipedia.org/wiki/Peter_McDonnell_(rugby_union)
Nisbet McRobie,https://en.wikipedia.org/wiki/Nisbet_McRobie
Sydney Orchard,https://en.wikipedia.org/wiki/Sydney_Orchard
Tom Pauling[4],"https://en.wikipedia.org/wiki/Tom_Pauling_(rugby_union,_born_1873)"
William Roberts,https://en.wikipedia.org/wiki/William_Roberts_(rugby_union)
Frank Surman,https://en.wikipedia.org/wiki/Frank_Surman
Donald Watson,https://en.wikipedia.org/wiki/Donald_Watson_(rugby_union)
Francis Young,https://en.wikipedia.org/wiki/Francis_Young_(rugby_union)
John Blair,https://en.wikipedia.org/wiki/John_Blair_(rugby_union)
Joseph Calnan,https://en.wikipedia.org/wiki/Joseph_Calnan
Jimmy Duncan,https://en.wikipedia.org/wiki/Jimmy_Duncan_(rugby_union)
Robert Handcock,https://en.wikipedia.org/wiki/Robert_Handcock_(rugby_union)
Bill Hardcastle,https://en.wikipedia.org/wiki/Bill_Hardcastle
William Harris,https://en.wikipedia.org/wiki/William_Harris_(rugby_union)
Arthur Humphries,https://en.wikipedia.org/wiki/Arthur_Humphries
George William Smith,https://en.wikipedia.org/wiki/George_William_Smith_(sportsman)
Bill Wells[5],https://en.wikipedia.org/wiki/Bill_Wells_(rugby_union)
Barney Armit,https://en.wikipedia.org/wiki/Barney_Armit
Frank Brooker,https://en.wikipedia.org/wiki/Frank_Brooker
Ernest Glennie,https://en.wikipedia.org/wiki/Ernest_Glennie
Alex Wilson,https://en.wikipedia.org/wiki/Alex_Wilson_(rugby_union)
Hugh Mills,https://en.wikipedia.org/wiki/Hugh_Mills_(rugby_union)
John Burt,https://en.wikipedia.org/wiki/John_Burt_(rugby_union)
Bill Cunningham,"https://en.wikipedia.org/wiki/Bill_Cunningham_(rugby_union,_born_1874)"
Ernie Dodd,https://en.wikipedia.org/wiki/Ernie_Dodd
William Hay-MacKenzie,https://en.wikipedia.org/wiki/William_Hay-MacKenzie
Phil Jacob[6],https://en.wikipedia.org/wiki/Phil_Jacob
Dick McGregor[7],https://en.wikipedia.org/wiki/Dick_McGregor
John O'Brien[8],https://en.wikipedia.org/wiki/John_O%27Brien_(rugby_union)
