name,url
BențiaGheorghe Benția,https://en.wikipedia.org/wiki/Gheorghe_Ben%C8%9Bia
BrabetianuVictor Brabetianu,https://en.wikipedia.org/w/index.php?title=Victor_Brabetianu&action=edit&redlink=1
CaracosteaGrigore Caracostea,https://en.wikipedia.org/w/index.php?title=Grigore_Caracostea&action=edit&redlink=1
CratunescuConstantin Cratunescu,https://en.wikipedia.org/w/index.php?title=Constantin_Cratunescu&action=edit&redlink=1
DraghiciAurel Draghici,https://en.wikipedia.org/w/index.php?title=Aurel_Draghici&action=edit&redlink=1
HussarIoan Hussar,https://en.wikipedia.org/w/index.php?title=Ioan_Hussar&action=edit&redlink=1
IconomuIoan Iconomu,https://en.wikipedia.org/w/index.php?title=Ioan_Iconomu&action=edit&redlink=1
IconomuMircea Iconomu,https://en.wikipedia.org/w/index.php?title=Mircea_Iconomu&action=edit&redlink=1
ManuHenry Manu,https://en.wikipedia.org/w/index.php?title=Henry_Manu&action=edit&redlink=1
PolizuRadu Polizu,https://en.wikipedia.org/w/index.php?title=Radu_Polizu&action=edit&redlink=1
SchmettauRudy Schmettau,https://en.wikipedia.org/w/index.php?title=Rudy_Schmettau&action=edit&redlink=1
SimionG. Simion,
VidrascuMircea Vidrașcu,https://en.wikipedia.org/w/index.php?title=Mircea_Vidra%C8%99cu&action=edit&redlink=1
VidrascuPaul Vidrașcu,https://en.wikipedia.org/wiki/Paul_Vidra%C8%99cu
VracaGheorghe Vraca,https://en.wikipedia.org/w/index.php?title=Gheorghe_Vraca&action=edit&redlink=1
DragomirescuGheorghe Dragomirescu,https://en.wikipedia.org/w/index.php?title=Gheorghe_Dragomirescu&action=edit&redlink=1
MarascuNicolae Mărăscu,https://en.wikipedia.org/wiki/Nicolae_M%C4%83r%C4%83scu
MihailescuSorin Mihăilescu,https://en.wikipedia.org/wiki/Sorin_Mih%C4%83ilescu
TanasescuAtanase Tanasescu,https://en.wikipedia.org/w/index.php?title=Atanase_Tanasescu&action=edit&redlink=1
TicleanuGheorghe Ticleanu,https://en.wikipedia.org/w/index.php?title=Gheorghe_Ticleanu&action=edit&redlink=1
ArmaselDumitru Armășel,https://en.wikipedia.org/wiki/Dumitru_Arm%C4%83%C8%99el
FlorianTeodor Florian,https://en.wikipedia.org/wiki/Teodor_Florian
GirlesteanuIon Gîrleșteanu,https://en.wikipedia.org/wiki/Ion_G%C3%AErle%C8%99teanu
MarianTeodor Marian,https://en.wikipedia.org/wiki/Teodor_Marian
NedelcoviciPaul Nedelcovici,https://en.wikipedia.org/wiki/Paul_Nedelcovici
NemesIosif Nemes,https://en.wikipedia.org/wiki/Iosif_Nemes
SfetescuEugen Sfetescu,https://en.wikipedia.org/wiki/Eugen_Sfetescu
SfetescuMircea Sfetescu,https://en.wikipedia.org/wiki/Mircea_Sfetescu
SoareSoare Sterian,https://en.wikipedia.org/wiki/Soare_Sterian
VardalaMihai Vardală,https://en.wikipedia.org/wiki/Mihai_Vardal%C4%83
VolvoreanuDumitru Volvoreanu,https://en.wikipedia.org/wiki/Dumitru_Volvoreanu
BalsAndrei Bals,https://en.wikipedia.org/w/index.php?title=Andrei_Bals&action=edit&redlink=1
EkertRudolf Ekert,https://en.wikipedia.org/w/index.php?title=Rudolf_Ekert&action=edit&redlink=1
FlorianPaul Florian,https://en.wikipedia.org/w/index.php?title=Paul_Florian_(rugby_union)&action=edit&redlink=1
JipescuI. Jipescu,
MarasescuAurel Marasescu,https://en.wikipedia.org/w/index.php?title=Aurel_Marasescu&action=edit&redlink=1
NicolaGheorghe Nicola,https://en.wikipedia.org/w/index.php?title=Gheorghe_Nicola&action=edit&redlink=1
PeuciulescuPeuciulescu,
SfetescuG. Sfetescu,
SfetescuNicolae Sfetescu,https://en.wikipedia.org/w/index.php?title=Nicolae_Sfetescu&action=edit&redlink=1
VardalaN. Vardala,
BratulescuDumitru Bratulescu,https://en.wikipedia.org/w/index.php?title=Dumitru_Bratulescu&action=edit&redlink=1
IoanTudor Ioan,https://en.wikipedia.org/w/index.php?title=Tudor_Ioan&action=edit&redlink=1
PlumieePlumiee,
SoculescuN. Soculescu,
AnastasiadeNicolae Anastasiade,https://en.wikipedia.org/w/index.php?title=Nicolae_Anastasiade&action=edit&redlink=1
SocolescuMircea Socolescu,https://en.wikipedia.org/w/index.php?title=Mircea_Socolescu_(1920s_rugby_union)&action=edit&redlink=1
StoianEugen Stoian,https://en.wikipedia.org/w/index.php?title=Eugen_Stoian&action=edit&redlink=1
AlexandrescuChirita Alexandrescu,https://en.wikipedia.org/w/index.php?title=Chirita_Alexandrescu&action=edit&redlink=1
BarsanStefan Barsan,https://en.wikipedia.org/w/index.php?title=Stefan_Barsan&action=edit&redlink=1
DamianAscanio Damian,https://en.wikipedia.org/w/index.php?title=Ascanio_Damian&action=edit&redlink=1
DinescuConstantin Dinescu,https://en.wikipedia.org/w/index.php?title=Constantin_Dinescu&action=edit&redlink=1
FantaneanuGheorghe Fantaneanu,https://en.wikipedia.org/w/index.php?title=Gheorghe_Fantaneanu&action=edit&redlink=1
IonescuGică Ionescu,https://en.wikipedia.org/w/index.php?title=Gic%C4%83_Ionescu_(rugby_union)&action=edit&redlink=1
LapusneanuVasile Lapusneanu,https://en.wikipedia.org/w/index.php?title=Vasile_Lapusneanu&action=edit&redlink=1
MateescuAndrei Mateescu,https://en.wikipedia.org/w/index.php?title=Andrei_Mateescu&action=edit&redlink=1
MoscuConstantin Moscu,https://en.wikipedia.org/w/index.php?title=Constantin_Moscu&action=edit&redlink=1
PopaIoan Popa,https://en.wikipedia.org/w/index.php?title=Ioan_Popa_(rugby_union)&action=edit&redlink=1
PopescuColibași Popescu,https://en.wikipedia.org/wiki/Dumitru_Popescu-Coliba%C8%99i
SfetescuE. Sfetescu,
TarabegaIlie Tarabega,https://en.wikipedia.org/w/index.php?title=Ilie_Tarabega&action=edit&redlink=1
WirthGeorge Wirth,https://en.wikipedia.org/w/index.php?title=George_Wirth_(rugby_union)&action=edit&redlink=1
AnastasiadeVirgil Anastasiade,https://en.wikipedia.org/w/index.php?title=Virgil_Anastasiade&action=edit&redlink=1
BejuConstantin Beju,https://en.wikipedia.org/w/index.php?title=Constantin_Beju&action=edit&redlink=1
BurlescuSimion Burlescu,https://en.wikipedia.org/w/index.php?title=Simion_Burlescu&action=edit&redlink=1
CrissoveloniNic Crissoveloni,https://en.wikipedia.org/w/index.php?title=Nic_Crissoveloni&action=edit&redlink=1
GrigorescuC. Grigorescu,
