name,url
AgnewAgnew,
AitofeleAitofele,
AllenT. Allen,
AtigaAtiga,
CapperCharles Capper,https://en.wikipedia.org/w/index.php?title=Charles_Capper_(rugby_union)&action=edit&redlink=1
ImoI. Imo,
IupatiIupati,
MacdonaldA. Macdonald,
MoorsHarry Moors(c)[3],https://en.wikipedia.org/wiki/Afoafouvale_Misimoa
PapaliʻiP. Papaliʻi,
RaileyI. Railey,
SaʻagaE. Saʻaga,
SinaumeaSinaumea,
ToniToni,
TualaiTualai,
TagimanuTagimanu,
TufeleTufele,
Ah SueAh Sue,
FilivaaFilivaa,
IeseIese,
LataiLatai,
LuiLui,
ManuluaManulua,
MeredithC. Meredith,
MoliMoli,
PioPio,
PoutoaPoutoa,
SiaosiSiaosi,
SimaileSimaile,
SimanuSimanu,
TuvaleTuvale,
AʻatiAʻati,
Ah MuAh Mu,
FrueanFruean,
HellesoeHellesoe,
MoseMose,
PanapaPanapa,
PeteloPetelo,
SefoSefo,
TamaluaTamalua,
VisesioVisesio,
Ah FookS. Ah Fook,
EseK. Ese,
FaʻamaileFaʻamaile,
FaʻasuagaF. Faʻasuaga,
FatuFatu,
FrettonS. Fretton,
IutaS. Iuta,
MataʻafaM. Mataʻafa,
MeredithO. Meredith,
SchaafhausenJ. Schaafhausen,
SchaafhausenW. Schaafhausen,
TeoA. Teo,
TuisaulaT. Tuisaula,
ViliamuT. Viliamu,
BethamC. Betham,
CavanaghJ. Cavanagh,
CrichtonO. Crichton,
FrueanSilipa Fruean,https://en.wikipedia.org/w/index.php?title=Silipa_Fruean&action=edit&redlink=1
ImoTile Imo,https://en.wikipedia.org/w/index.php?title=Tile_Imo&action=edit&redlink=1
KamuLeavaula Kamu,https://en.wikipedia.org/w/index.php?title=Leavaula_Kamu&action=edit&redlink=1
LeavasaPotu Leavasa,https://en.wikipedia.org/w/index.php?title=Potu_Leavasa_(living_in_1955)&action=edit&redlink=1
LeavasaSosene Leavasa,https://en.wikipedia.org/w/index.php?title=Sosene_Leavasa&action=edit&redlink=1
NelsonO. Nelson,
PalaʻamoSione Palaʻamo,https://en.wikipedia.org/w/index.php?title=Sione_Pala%CA%BBamo&action=edit&redlink=1
PapaliʻiMuka Papaliʻi,https://en.wikipedia.org/w/index.php?title=Muka_Papali%CA%BBi&action=edit&redlink=1
PaulP. Paul,
SoliaPelenato Solia,https://en.wikipedia.org/w/index.php?title=Pelenato_Solia&action=edit&redlink=1
TeoFetu Teo,https://en.wikipedia.org/w/index.php?title=Fetu_Teo&action=edit&redlink=1
WendtS. Wendt,
