name,url
ArthurJohn Arthur,https://en.wikipedia.org/wiki/John_Arthur_(rugby_union)
BrownWilliam Brown,https://en.wikipedia.org/wiki/William_Davie_Brown
BuchananAngus Buchanan,https://en.wikipedia.org/wiki/Angus_Buchanan_(rugby_union)
ChalmersThomas Chalmers,https://en.wikipedia.org/wiki/Thomas_Chalmers_(rugby)
Clunies-RossAlfred Clunies-Ross,https://en.wikipedia.org/wiki/Alfred_Clunies-Ross
ColvilleAndrew Colville,https://en.wikipedia.org/wiki/Andrew_Galbraith_Colville
CrossWilliam Cross,https://en.wikipedia.org/wiki/William_Cross_(rugby_union)
DrewDaniel Drew,https://en.wikipedia.org/wiki/Daniel_Drew_(rugby_union)
FinlayJames Finlay,"https://en.wikipedia.org/wiki/James_Finlay_(rugby_union,_born_1852)"
ForsythWilliam Forsyth,https://en.wikipedia.org/wiki/William_Forsyth_(rugby_union)
IrvineBulldog Irvine,https://en.wikipedia.org/wiki/Bulldog_Irvine
LyallWilliam Lyall,https://en.wikipedia.org/wiki/William_John_Campbell_Lyall
MacFarlaneJohn Lisle Hall McFarlane,https://en.wikipedia.org/wiki/John_Lisle_Hall_McFarlane
MarshallThomas Marshall,https://en.wikipedia.org/wiki/Thomas_Roger_Marshall
MeinJames Mein,https://en.wikipedia.org/wiki/James_Andrew_Whitelock_Mein
MoncreiffFrancis Moncreiff,https://en.wikipedia.org/wiki/Francis_Moncreiff
MunroRobert Munro,https://en.wikipedia.org/wiki/Robert_Munro_(rugby_union)
RitchieGeorge Ritchie,"https://en.wikipedia.org/wiki/George_Ritchie_(rugby_union,_born_1848)"
RobertsonAlexander Robertson,https://en.wikipedia.org/wiki/Alexander_Robertson_(rugby_union)
ThomsonJ. S. Thomson,https://en.wikipedia.org/wiki/J._S._Thomson
AndersonJohn Anderson,https://en.wikipedia.org/wiki/John_Anderson_(New_Zealand_engineer)
Melville/Balfour-MelvilleLeslie Balfour-Melville,https://en.wikipedia.org/wiki/Leslie_Balfour-Melville
BannermanEdward Bannerman,https://en.wikipedia.org/wiki/Edward_Bannerman
CathcartCharles Cathcart,https://en.wikipedia.org/wiki/Charles_Walker_Cathcart
McClureJames Howe McClure,https://en.wikipedia.org/wiki/James_Howe_McClure
MaitlandReginald Maitland,https://en.wikipedia.org/wiki/Reginald_Maitland
MarshallWilliam Marshall,https://en.wikipedia.org/wiki/William_Marshall_(rugby)
MaxwellFrederick Maxwell,https://en.wikipedia.org/wiki/Frederick_Maxwell
Renny-TailyourHenry Renny-Tailyour,https://en.wikipedia.org/wiki/Henry_Renny-Tailyour
AllanHenry William Allan,https://en.wikipedia.org/wiki/Henry_William_Allan_(rugby_union)
AntonPeter Anton,https://en.wikipedia.org/wiki/Peter_Anton_(rugby_union)
BryceCharles Chalmers Bryce,https://en.wikipedia.org/wiki/Charles_Chalmers_Bryce
DavidsonJohn Davidson,https://en.wikipedia.org/wiki/John_Davidson_(rugby_union)
GrantWilliam Grant,https://en.wikipedia.org/wiki/William_St_Clair_Grant_(rugby_union)
McClureGeorge Buchanan McClure,https://en.wikipedia.org/wiki/George_Buchanan_McClure
PetrieAlexander Petrie,https://en.wikipedia.org/wiki/Alexander_Petrie_(rugby_union)
SandersonJames Sanderson,https://en.wikipedia.org/wiki/James_Sanderson_(rugby_union)
WhittingtonTom Whittington,https://en.wikipedia.org/wiki/Tom_Whittington_(rugby_union)
WilsonRobert Wilson,"https://en.wikipedia.org/wiki/Robert_Wilson_(rugby_union,_born_1854)"
WoodAlexander Wood,https://en.wikipedia.org/wiki/Alexander_Wood_(rugby_union)
HamiltonMontgomerie Hamilton,https://en.wikipedia.org/wiki/Montgomerie_Hamilton
HeronGilbert Heron,https://en.wikipedia.org/wiki/Gilbert_Heron
KidstonWilliam Hamilton Kidston,https://en.wikipedia.org/wiki/William_Hamilton_Kidston
NeilsonTom Paterson Neilson,https://en.wikipedia.org/wiki/Tom_Paterson_Neilson
ReidJames Reid,"https://en.wikipedia.org/wiki/James_Reid_(rugby,_born_1851)"
StewartAlexander Stewart,https://en.wikipedia.org/wiki/Alexander_Stewart_(rugby_union)
ToddJohn Kennedy Tod,https://en.wikipedia.org/wiki/John_Kennedy_Tod
YoungArthur Young,"https://en.wikipedia.org/wiki/Arthur_Young_(rugby_union,_born_1855)"
ArthurAllan Arthur,https://en.wikipedia.org/wiki/Allan_Arthur_(rugby_union)
CrossMalcolm Cross,https://en.wikipedia.org/wiki/Malcolm_Cross
DunlopJames Dunlop,https://en.wikipedia.org/wiki/James_Dunlop_(rugby_union)
FinlayArthur Finlay,"https://en.wikipedia.org/wiki/Arthur_Finlay_(rugby,_born_1854)"
FinlayNinian Finlay,https://en.wikipedia.org/wiki/Ninian_Finlay
FlemingGeorge Raphael Fleming,https://en.wikipedia.org/wiki/George_Raphael_Fleming
GordonJohn Gordon,https://en.wikipedia.org/wiki/John_Gordon_(rugby_union)
MarshallArthur Marshall,https://en.wikipedia.org/wiki/Arthur_Marshall_(rugby_union)
RobertsonDuncan Robertson,"https://en.wikipedia.org/wiki/Duncan_Robertson_(rugby_union,_born_1851)"
BoltonWilliam Bolton,https://en.wikipedia.org/wiki/William_Bolton_(rugby_union)
BrewisNat Brewis,https://en.wikipedia.org/wiki/Nat_Brewis
CarrickJames Carrick,https://en.wikipedia.org/wiki/James_Stewart_Carrick
GrahamGussie Graham,https://en.wikipedia.org/wiki/Gussie_Graham
JunorJohn Junor,https://en.wikipedia.org/wiki/John_Junor_(rugby_union)
LangDavid Lang,https://en.wikipedia.org/wiki/David_Lang_(rugby_union)
PatersonGeorge Paterson,https://en.wikipedia.org/wiki/George_Paterson_(rugby_union)
VillarCharles Villar,https://en.wikipedia.org/wiki/Charles_Villar
WatsonDavid Watson,https://en.wikipedia.org/wiki/David_Watson_(rugby_union)
JohnstonHenry Halcro Johnston,https://en.wikipedia.org/wiki/Henry_Halcro_Johnston
MacKenzieRobert MacKenzie,https://en.wikipedia.org/wiki/Robert_Campbell_MacKenzie
NapierHenry Melville Napier,https://en.wikipedia.org/wiki/Henry_Melville_Napier
PocockEdward Innes Pocock,https://en.wikipedia.org/wiki/Edward_Innes_Pocock
SmithStewart Henry Smith,https://en.wikipedia.org/wiki/Stewart_Henry_Smith
TorrieThomas Torrie,https://en.wikipedia.org/wiki/Thomas_Torrie
AuldjoLouis Auldjo,https://en.wikipedia.org/wiki/Louis_Auldjo
CampbellJames Campbell,https://en.wikipedia.org/wiki/James_Campbell_(rugby_union)
IrvineDuncan Irvine,https://en.wikipedia.org/wiki/Duncan_Irvine
MacLaganBill Maclagan,https://en.wikipedia.org/wiki/Bill_Maclagan
MacleodGeorge Macleod,https://en.wikipedia.org/wiki/George_Macleod_(rugby_union)
NeilsonJohn Alexander Neilson,https://en.wikipedia.org/wiki/John_Alexander_Neilson
AinslieRobert Ainslie,https://en.wikipedia.org/wiki/Robert_Ainslie_(rugby_union)
BrownJohn Blair Brown,https://en.wikipedia.org/wiki/John_Blair_Brown
MastersWilliam Masters,https://en.wikipedia.org/wiki/William_Masters_(rugby_union)
SmithErrol Smith,https://en.wikipedia.org/wiki/Errol_Smith
SomervilleDavid Somerville,https://en.wikipedia.org/wiki/David_Somerville_(rugby_union)
EwartEdward Ewart,https://en.wikipedia.org/wiki/Edward_Ewart
BrownWilliam Sorley Brown,https://en.wikipedia.org/wiki/William_Sorley_Brown
McCowanDavid McCowan,https://en.wikipedia.org/wiki/David_McCowan
StewartCharles Stewart,https://en.wikipedia.org/wiki/Charles_Stewart_(rugby_union)
TaitJohn Guthrie Tait,https://en.wikipedia.org/wiki/John_Guthrie_Tait
CasselsDavid Cassels,https://en.wikipedia.org/wiki/David_Cassels
AllanBryce Allan,https://en.wikipedia.org/wiki/Bryce_Allan
BegbieThomas Begbie,https://en.wikipedia.org/wiki/Thomas_Begbie
ReidCharles Reid,https://en.wikipedia.org/wiki/Charles_Reid_(rugby_union)
RobbGeorge Robb,https://en.wikipedia.org/wiki/George_Robb_(rugby_union)
SmeatonPat Smeaton,https://en.wikipedia.org/wiki/Pat_Smeaton
WalkerArchibald Walker,https://en.wikipedia.org/wiki/Archibald_Walker
AinslieThomas Ainslie,https://en.wikipedia.org/wiki/Thomas_Ainslie_(rugby_union)
FraserJames Fraser,https://en.wikipedia.org/wiki/James_Fraser_(rugby_union)
MaitlandRobert Maitland,https://en.wikipedia.org/wiki/Robert_Maitland_(rugby_union)
PeterkinWilliam Peterkin,https://en.wikipedia.org/wiki/William_Peterkin
WauchopeAndrew Don-Wauchope,https://en.wikipedia.org/wiki/Andrew_Ramsay_Don-Wauchope
AndersonThomas Anderson,https://en.wikipedia.org/wiki/Thomas_Anderson_(rugby)
GoreFraser Gore,https://en.wikipedia.org/wiki/Fraser_Gore
Grant-AsherAugustus Grant-Asher,https://en.wikipedia.org/wiki/A._G._G._Asher
HunterFrank Hunter,https://en.wikipedia.org/wiki/Frank_Hunter_(rugby_union)
PhilpAndrew Philp,https://en.wikipedia.org/wiki/Andrew_Philp
VeitchJames Veitch,https://en.wikipedia.org/wiki/James_Veitch_(rugby_union)
WalkerJames Walker,https://en.wikipedia.org/wiki/James_Walker_(sportsman)
WallsWilliam Andrew Walls,https://en.wikipedia.org/wiki/William_Andrew_Walls
JamiesonJohn Jamieson,https://en.wikipedia.org/wiki/John_Jamieson_(rugby_union)
KidstonDavid Kidston,https://en.wikipedia.org/wiki/David_Kidston
McFarlanDavid McFarlan,https://en.wikipedia.org/wiki/David_McFarlan
MowatJohn Mowat,https://en.wikipedia.org/wiki/John_Mowat_(rugby_union)
AitchisonGeorge Aitchison,https://en.wikipedia.org/wiki/George_Aitchison_(rugby_union)
ReidMarshall Reid,https://en.wikipedia.org/wiki/Marshall_Reid_(rugby_union)
LindsayGeorge Lindsay,https://en.wikipedia.org/wiki/George_Campbell_Lindsay
TodJohn Tod,https://en.wikipedia.org/wiki/John_Tod_(rugby_union)
BerryCharles Berry,https://en.wikipedia.org/wiki/Charles_Berry_(rugby_union)
RolandErnest Roland,https://en.wikipedia.org/wiki/Ernest_Roland
HarrowerPat Harrower,https://en.wikipedia.org/wiki/Pat_Harrower
MaitlandGardyne Maitland,https://en.wikipedia.org/wiki/Gardyne_Maitland
MitchellGordon Mitchell,https://en.wikipedia.org/wiki/Gordon_Mitchell_(rugby_union)
StephenAlexander Stephen,https://en.wikipedia.org/wiki/Alexander_Stephen_(rugby_union)
EvansHenry Evans,https://en.wikipedia.org/wiki/Henry_Evans_(rugby_union)
IrvineWalter Irvine,https://en.wikipedia.org/wiki/Walter_Irvine
WauchopePatrick Wauchope,https://en.wikipedia.org/wiki/Patrick_Wauchope
ClayAlexander Clay,https://en.wikipedia.org/wiki/Alexander_Clay_(rugby_union)
FrenchJ. French,
HolmsWilliam Holms,https://en.wikipedia.org/wiki/William_Holms_(engineer)
McIndoeFlowerdew Macindoe,https://en.wikipedia.org/wiki/Flowerdew_Macindoe
MacLeodWilliam MacLeod,https://en.wikipedia.org/wiki/William_MacKintosh_MacLeod
MilneCharles Milne,https://en.wikipedia.org/wiki/Charles_Milne_(rugby_union)
MorrisonReggie Morrison,https://en.wikipedia.org/wiki/Reggie_Morrison
MacLeodDuncan MacLeod,https://en.wikipedia.org/wiki/Duncan_MacLeod_(rugby_union)
