name,url
BehrensAlfredo Behrens,https://en.wikipedia.org/w/index.php?title=Alfredo_Behrens&action=edit&redlink=1
BoothRobert Booth,https://en.wikipedia.org/w/index.php?title=Robert_Booth_(rugby_union)&action=edit&redlink=1
CatAlfredo Cat,https://en.wikipedia.org/w/index.php?title=Alfredo_Cat&action=edit&redlink=1
CatCarlos A. Cat,https://en.wikipedia.org/w/index.php?title=Carlos_A._Cat&action=edit&redlink=1
DayRichard Day,https://en.wikipedia.org/w/index.php?title=Richard_Day_(rugby_union)&action=edit&redlink=1
HendersonMalcolm Henderson,https://en.wikipedia.org/w/index.php?title=Malcolm_Henderson_(rugby_union)&action=edit&redlink=1
KriegerGeorge Krieger,https://en.wikipedia.org/w/index.php?title=George_Krieger&action=edit&redlink=1
MorelliEduardo Morelli,https://en.wikipedia.org/w/index.php?title=Eduardo_Morelli&action=edit&redlink=1
MortonThomas Morton,https://en.wikipedia.org/w/index.php?title=Thomas_Morton_(rugby_union)&action=edit&redlink=1
NicolaFrancisco Nicola,https://en.wikipedia.org/w/index.php?title=Francisco_Nicola&action=edit&redlink=1
PalmerGuillermo Palmer,https://en.wikipedia.org/w/index.php?title=Guillermo_Palmer&action=edit&redlink=1
RamazziBernardo Ramazzi,https://en.wikipedia.org/w/index.php?title=Bernardo_Ramazzi&action=edit&redlink=1
RathboneBrian Rathbone,https://en.wikipedia.org/w/index.php?title=Brian_Rathbone&action=edit&redlink=1
RoccoFrancisco Rocco,https://en.wikipedia.org/w/index.php?title=Francisco_Rocco&action=edit&redlink=1
SierraCarlos Sierra,https://en.wikipedia.org/w/index.php?title=Carlos_Sierra_(rugby_union)&action=edit&redlink=1
ArmasFederico Armas,https://en.wikipedia.org/w/index.php?title=Federico_Armas&action=edit&redlink=1
DaviesNigel Davies,https://en.wikipedia.org/w/index.php?title=Nigel_Davies_(Uruguayan_rugby_union)&action=edit&redlink=1
FurestGuy Furest,https://en.wikipedia.org/w/index.php?title=Guy_Furest&action=edit&redlink=1
PuigAlberto Puig,https://en.wikipedia.org/w/index.php?title=Alberto_Puig_(rugby_union)&action=edit&redlink=1
RialAntonio Rial,https://en.wikipedia.org/w/index.php?title=Antonio_Rial&action=edit&redlink=1
ChaptPierre Chapt,https://en.wikipedia.org/w/index.php?title=Pierre_Chapt&action=edit&redlink=1
DevitaB.P. Devita,https://en.wikipedia.org/w/index.php?title=B.P._Devita&action=edit&redlink=1
GuillemetteEnrique Guillemette,https://en.wikipedia.org/w/index.php?title=Enrique_Guillemette&action=edit&redlink=1
JonesMiles Jones,https://en.wikipedia.org/w/index.php?title=Miles_Jones_(rugby_union)&action=edit&redlink=1
McGillivrayAlejandro McGillivray,https://en.wikipedia.org/w/index.php?title=Alejandro_McGillivray&action=edit&redlink=1
PughHarry Pugh,https://en.wikipedia.org/w/index.php?title=Harry_Pugh_(rugby_union)&action=edit&redlink=1
ReyesCarlos Reyes,https://en.wikipedia.org/w/index.php?title=Carlos_Reyes_(rugby_union)&action=edit&redlink=1
SteinJuan Enrique Stein,https://en.wikipedia.org/w/index.php?title=Juan_Enrique_Stein&action=edit&redlink=1
CardosoJaime Cardoso,https://en.wikipedia.org/w/index.php?title=Jaime_Cardoso&action=edit&redlink=1
GurmendezManuel Gurmendez,https://en.wikipedia.org/w/index.php?title=Manuel_Gurmendez&action=edit&redlink=1
HylandJohn Hyland,https://en.wikipedia.org/w/index.php?title=John_Hyland_(rugby_union)&action=edit&redlink=1
KramerEugenio Kramer,https://en.wikipedia.org/w/index.php?title=Eugenio_Kramer&action=edit&redlink=1
LopezCarlos López,https://en.wikipedia.org/w/index.php?title=Carlos_L%C3%B3pez_(rugby_union)&action=edit&redlink=1
MabottPaul Mabott,https://en.wikipedia.org/w/index.php?title=Paul_Mabott&action=edit&redlink=1
SagarraJorge Sagarra,https://en.wikipedia.org/w/index.php?title=Jorge_Sagarra&action=edit&redlink=1
SkeriRodolfo Skeri,https://en.wikipedia.org/w/index.php?title=Rodolfo_Skeri&action=edit&redlink=1
StanhamPedro Stanham,https://en.wikipedia.org/w/index.php?title=Pedro_Stanham&action=edit&redlink=1
AramendiaPedro Aramendia,https://en.wikipedia.org/w/index.php?title=Pedro_Aramendia&action=edit&redlink=1
AylingJohn Ayling,https://en.wikipedia.org/w/index.php?title=John_Ayling&action=edit&redlink=1
BergmanHans Bergman,https://en.wikipedia.org/w/index.php?title=Hans_Bergman&action=edit&redlink=1
BlancoPedro Blanco,https://en.wikipedia.org/w/index.php?title=Pedro_Blanco_(rugby_union)&action=edit&redlink=1
BowlesStanley Bowles,https://en.wikipedia.org/w/index.php?title=Stanley_Bowles_(rugby_union)&action=edit&redlink=1
DreverCarlos Drever,https://en.wikipedia.org/w/index.php?title=Carlos_Drever&action=edit&redlink=1
JuradoMario Jurado,https://en.wikipedia.org/w/index.php?title=Mario_Jurado&action=edit&redlink=1
PickPedro Pick,https://en.wikipedia.org/w/index.php?title=Pedro_Pick&action=edit&redlink=1
RodriguezOscar Rodríguez,https://en.wikipedia.org/w/index.php?title=Oscar_Rodr%C3%ADguez_(rugby_union)&action=edit&redlink=1
VivoRicardo Vivo,https://en.wikipedia.org/w/index.php?title=Ricardo_Vivo&action=edit&redlink=1
RuggeroniHugh Ruggeroni,https://en.wikipedia.org/w/index.php?title=Hugh_Ruggeroni&action=edit&redlink=1
VegaHumberto Vega,https://en.wikipedia.org/w/index.php?title=Humberto_Vega&action=edit&redlink=1
FynnEduardo Fynn,https://en.wikipedia.org/w/index.php?title=Eduardo_Fynn&action=edit&redlink=1
RegulesCeibal Regules,https://en.wikipedia.org/w/index.php?title=Ceibal_Regules&action=edit&redlink=1
TrigoJorge Trigo,https://en.wikipedia.org/w/index.php?title=Jorge_Trigo&action=edit&redlink=1
CanessaAlvaro Canessa,https://en.wikipedia.org/w/index.php?title=Alvaro_Canessa&action=edit&redlink=1
CanessaAgustín Canessa,https://en.wikipedia.org/w/index.php?title=Agust%C3%ADn_Canessa&action=edit&redlink=1
DupontGonzalo Dupont,https://en.wikipedia.org/w/index.php?title=Gonzalo_Dupont&action=edit&redlink=1
FontanaBernardo Fontana,https://en.wikipedia.org/w/index.php?title=Bernardo_Fontana&action=edit&redlink=1
HubberRoy Hubber,https://en.wikipedia.org/w/index.php?title=Roy_Hubber&action=edit&redlink=1
HughesAlex Hughes,https://en.wikipedia.org/w/index.php?title=Alex_Hughes_(rugby_union)&action=edit&redlink=1
