"wpName","fusName","rugbyscopeId","teamWP"
"1st Lanarkshire Rifle Volunteers","1st Lanarkshire Rifle Volunteers","7961",NA
"2nd nz expeditionary force","2nd NZ Expeditionary Force","7960",NA
"A.C.S. Litoral","A.C.S. Litoral","7959",NA
"a.s. macon","Association sportive mâconnaise; AS Macon Rugby; A.S. Mâcon; AS Macon; AS Mâcon; AS Maçon; AS Maçon Rugby; ASマコン; ASマロン; Mâcon","412",NA
"A.S. Rugby Milano","A.S. Rugby Milano; AS Rugby Milano; ASD Milano; ASR Milan; ASR Milano; Rugby Milano; ラグビー・ミラノ","783",NA
"a.s. vaureenne","Amicale sportive vauréenne; AS Lavaur; Association sportive vauréenne; ASV Lavaur; Lavaur","414",NA
"A.S.D. Rugby Paese","Rugby Paese; Paese Rugby; ASD Rugby Paese; Paese","782",NA
"aas sarcelles","Association amicale et sportive de Sarcelles; AAS Sarcelles; AAS Sarcelles Rugby","3118",NA
"aberaeron rfc","Aberaeron RFC","6130",NA
"aberdeen rangers","Aberdeen Rangers","7957",NA
"aberdeen rfc hong kong","Aberdeen RFC HK; Aberdeen RFC Hong Kong; Aberdeen RFC","7958",NA
"aberdeen select xv","Aberdeenshire RFC; Aberdeen Select XV; Aberdeenshire Rugby Football Club","2945",NA
"aberdeen wanderers","Aberdeen Wanderers RFC; Aberdeen Wanderers; Aberdeen Wanderers Rugby Football Club","895",NA
"Abertay University RFC","Abertay University RFC","2996",NA
"Abidjan","Abidjan Rugby Club; Abidjan RC","7956",NA
"AC Boulogne-Billancourt","AC Boulogne-Billancourt; AC Boulogne; ACBB rugby; Boulogne-Billancourt Rugby","4562",NA
"african bombers","African Bombers","6200",NA
"aif","Australian Imperial Forces; AIF","7955",NA
"airport rugby club","Airport Rugby Club","7954",NA
"Aix-les-Bains","Football Club Aix-les-Bains; Aix-les-Bains; FC Aix; FC Aix-les-Bains; FCA; FCアックス","510",NA
"aix en provence","Provence Rugby; Aix en Provence; Aix RC; Le PARC; Les Noirs; Les Noirs; Pais d'Aix; Paix d'Aix RC; Pays d'Aix; Pays d'Aix R.C.; Pays d'Aix RC; Pays d'Aix rugby club; Pays d'Aix Rugby Club; Pays D’Aix Rugby; Provence; Provence rugby; Provenza; RC Pays d'Aix; パイズドエクスラグビークラブ; プロヴァンス; ペイ・デクスRC","181",NA
"Ajax Wanderers","Ajax Wanderers R.U.F.C.; Ajax Wanderers","901",NA
"alabang eagles","Alabang Eagles Rugby Club; Alabang Eagles","7953",NA
"Albany Bulldogs","Albany Bulldogs; Albany Bulldogs","7952",NA
"Albany RFC","Albany Rugby Club; Albany Rugby Football Club; Albany RFC; ","7951",NA
"alberta rugby","Rugby Alberta; Alberta Rugby","7950",NA
"Aldwinians RUFC","Aldwinians RUFC; Old Aldwinians","3241",NA
"alessandria","Alessandria Rugby; Alessandria; APD Rugby Alessandria; Rugby Alexandrie","2165",NA
"alhambra","Alhambra Rugby Club; Alhambra Club; Alhambra","7949",NA
"Alhambra","Alhambra Rugby Club; Alhambra Club; Alhambra","7949",NA
"alhambra-union","Alhambra Union RFC","5916",NA
"alhambra union","Alhambra Union RFC","5916",NA
"allgäu rugby kempten","Allgäu Rugby Kempten; Allgäu Rugby; Allgäu Rugby Mad Cows; Mad Cows","7948",NA
"Alltwen RFC","Alltwen RFC","6126",NA
"aļņi jelgava","Jelgavas Alni; Aļņi Jelgava; Jelgavs Alni","7131",NA
"Aļņi Jelgava","Jelgavas Alni; Aļņi Jelgava; Jelgavs Alni","7131",NA
"Altrincham Kersal","Altrincham Kersal; Altrincham Kersal Rugby Football Club","903",NA
"amatori capoterra","Amatori Rugby Capoterra; Amatori Capoterra; Amatori Rugby Capoterra ASD; Capoterra","790",NA
"Amatori Napoli Rugby","Amatori Napoli Rugby; Amatori Napoli","6981",NA
"Amatori Parma","Amatori Parma Rugby Club; Amatori Parma; Amatori Parma R.C.; Amatori Parma RC; Amatori Parma Rugby","789",NA
"Amatori Rugby Milano","Amatori Milano; AC Milan; AC Milan Rugby; Amatori & Calvisano Rugby; Amatori Milan; Amatori Rugby Milan; Amatori Rugby Milano; Ambrosiana; Ambrosiana Milan; Ambrosiana Rugby; Milan; Milan Rugby; アマトーリ・ラグビー・ミラノ","219",NA
"Amatori Rugby Parma","Rugby Parma FC; Crociati Parma; Overmach Parme; Overmach Rugby Parme; Overmarch Parme; Parma; Parma Rugby; Parma Rugby S.r.l.; Parme; Rugby Parma; Rugby Parma F.C. 1931; Rugby Parma FC 1931; Rugby Parma Football Club; Парма; クロシアティ; クロティアティ","368",NA
"ammosal","Ammosal Rugby Club; Ammosal","7947",NA
"ampthill & district rfc","Ampthill & District RFC","7945",NA
"ampthill rfc","Ampthill Rugby Club; Ampthill; Ampthill RUFC; Ampthill Rugby; アンプティルRUFC","909",NA
"Andover","Andover RFC","4032",NA
"Andover R.F.C","Andover RFC","4032",NA
"angerien","Rugby Athletic Club angérien; RAC angérien; RAC Angérien; RAC Saint-Jean-d'Angély; RACA; S.-J. d'Angély","619",NA
"Angers","SCO RC Angers; Angers; Angers SCO; Angers SCO rugby; SCO Angers","4550",NA
"anglet olympique","Anglet ORC; Anglet olympique; Anglet Olympique; Anglet Olympique Rugby; AORC; アングレット; アングレットORC; 昂格莱特奥林匹克橄榄球俱乐部","2476",NA
"anglet orc","Anglet ORC; Anglet olympique; Anglet Olympique; Anglet Olympique Rugby; AORC; アングレット; アングレットORC; 昂格莱特奥林匹克橄榄球俱乐部","2476",NA
"angoulême","Soyaux Angoulême XV Charente; Angoulême; RC Soyaux; SA XV; SA XV Charente; Soyaux-Angoulême; Soyaux-Angoulême XV; Soyaux Angoulême; Soyaux Angoulême XV; Soyaux Angouleme XV Charente; ソヨー・アングレーム; ソヨー・アングレームXVシャラント; ソヨーアングレームXVシャラント","651",NA
"annecy","Union sportive Annecy; Union sportive Annecy rugby; US Annecy","705",NA
"Annemasse","Rugby Club Annemassien; Annemasse; RC Annemasse","4657",NA
"aotea","Aotea Sports Club; Aotea","7944",NA
"aparejadores burgos","Aparejadores Rugby; Aparejadores; Aparejadores Burgos; Aparejadores Rugby Burgos; UBU Colina Clinic; アパレジャドレス・ブルゴス","2553",NA
"appia rugby","Appia Rugby Puglia ASD; Appia Rugby","5618",NA
"Aprilia Rugby","ASD Aprilia Rugby; Aprilia Rugby","7943",NA
"Aramits","Entente Aramits Asasp; Aramits; Entente Aramits-Asasp","3014",NA
"arataki","Arataki Sports Club; Arataki","5715",NA
"ARC Vitré","Aurore de Vitré; ARC Vitré","4553",NA
"ardmore marist","Ardmore Marist RC; Ardmore Marist RFC; Ardmore Marist; Ardmore","5803",NA
"Ardmore Marist","Ardmore Marist RC; Ardmore Marist RFC; Ardmore Marist; Ardmore","5803",NA
"ardmore marist rfc","Ardmore Marist RC; Ardmore Marist RFC; Ardmore Marist; Ardmore","5803",NA
"arechi rugby","Arechi Rugby; Arechi","5515",NA
"argentina a","Argentina A national rugby union team; Argentina XV; Argentina A; Argentina A rugby; Argentina Desarrollo; Argentina Jaguares; Argentina XV national rugby union team; Argentina xv national team; Argentine A; Argentine XV; Jaguares; ru a arg; アルゼンチンA; アルゼンチンXV","823",NA
"Argentina A","Argentina A national rugby union team; Argentina XV; Argentina A; Argentina A rugby; Argentina Desarrollo; Argentina Jaguares; Argentina XV national rugby union team; Argentina xv national team; Argentine A; Argentine XV; Jaguares; ru a arg; アルゼンチンA; アルゼンチンXV","823",NA
"argentina u-19","Argentina national under-19 rugby union team; Argentina U-19; Argentina Under-19; Argentina Under 19 Squad; Argentine -19; アルゼンチン U-19","6910",NA
"argentina u-21","Argentina national under-21 rugby union team; Argentina U-21; Argentina U21; Argentina Under-21; Argentine -21; アルゼンチン U-21; アルゼンチンU21","6911",NA
"argentina u21","Argentina national under-21 rugby union team; Argentina U-21; Argentina U21; Argentina Under-21; Argentine -21; アルゼンチン U-21; アルゼンチンU21","6911",NA
"argentina under-18","Argentina national under-18 rugby union team; Argentina Under-18; Argentine -18; Pumas M18","6987",NA
"argentina under-19","Argentina national under-19 rugby union team; Argentina U-19; Argentina Under-19; Argentina Under 19 Squad; Argentine -19; アルゼンチン U-19","6910",NA
"argentina under-21","Argentina national under-21 rugby union team; Argentina U-21; Argentina U21; Argentina Under-21; Argentine -21; アルゼンチン U-21; アルゼンチンU21","6911",NA
"argentina under 19 squad","Argentina national under-19 rugby union team; Argentina U-19; Argentina Under-19; Argentina Under 19 Squad; Argentine -19; アルゼンチン U-19","6910",NA
"Arles-sur-Tech","Entente Haut Vallespir; Arles-sur-Tech","5353",NA
"Armidale City Rugby Club","Armidale City Rugby Club; Armidale City; Armidale City RC","3912",NA
"army","Army Rugby Union; Armée de terre britannique; Army; Army RU; British Army","918",NA
"Army","Army Rugby Union; Armée de terre britannique; Army; Army RU; British Army","918",NA
"Army R. C. Brisbane","Australian Army Rugby Club; Army R. C. Brisbane","7942",NA
"Arvalia Villa Pamphili Rugby Roma","Arvalia Villa Pamphili Rugby Roma A.S.D.; Arvalia Villa Pamphili Rugby Roma; Villa Pamphili; Villa Pamphili Rugby Roma","792",NA
"AS Apt","Association Sportive Apt Vallee du Calavon; AS Apt","5417",NA
"as bédarrides","AS Bédarrides Châteauneuf-du-Pape; A.S. Bédarrides; AS Bédarrides; AS Bédarrides-Châteauneuf; AS Bédarrides Chât.; AS Bédarrides Châteauneuf; Avenir sportif de Bédarrides","420",NA
"as fleurance","Association sportive fleurantine; AS Fleurance; ASF Fleurance Rugby; Association sportive fleurantine rugby; Ent. Fleurance Lectoure","411",NA
"as idron-lee","AS Idron-Lée","6992",NA
"as lavaur","Amicale sportive vauréenne; AS Lavaur; Association sportive vauréenne; ASV Lavaur; Lavaur","414",NA
"as mâcon","Association sportive mâconnaise; AS Macon Rugby; A.S. Mâcon; AS Macon; AS Mâcon; AS Maçon; AS Maçon Rugby; ASマコン; ASマロン; Mâcon","412",NA
"as macon rugby","Association sportive mâconnaise; AS Macon Rugby; A.S. Mâcon; AS Macon; AS Mâcon; AS Maçon; AS Maçon Rugby; ASマコン; ASマロン; Mâcon","412",NA
"as mâcon rugby","Association sportive mâconnaise; AS Macon Rugby; A.S. Mâcon; AS Macon; AS Mâcon; AS Maçon; AS Maçon Rugby; ASマコン; ASマロン; Mâcon","412",NA
"as merignac","AS Mérignac; AS Mérignac rugby; Association sportive Merignac rugby; Association sportive Mérignac rugby; Mérignac; Mérignac rugby; SA Mérignac; Sport athlétique mérignacais; Sport athlétique mérignacais rugby","407",NA
"as soustons","AS Soustons; Association sportive soustonnaise","413",NA
"AS Tournefeuille","Tournefeuille rugby XV; AS Tournefeuille; AST; AST XV; Tournefeuille rugby; Tournefeuille","700",NA
"as vauréenne","Amicale sportive vauréenne; AS Lavaur; Association sportive vauréenne; ASV Lavaur; Lavaur","414",NA
"asa tel aviv rc","ASA Tel Aviv Rugby Club; ASA Yaron Tel Aviv Rugby Club","885",NA
"Ashby RFC","Ashby RFC","4233",NA
