"rugbyscopeId","altNames","teamWP","fusionName"
1,"lyon ou; lyon; lyon olympique universitaire; Lyon; Lyon OU; Lyon Academy","Lyon_OU_Rugby","Lyon OU"
2,"saracens; saracens f.c.; saracens academy; saracens fc; saracens rfc; Saracens; Saracens Academy","Saracens_F.C.","Saracens F.C."
3,"peñarol; peñarol rugby","Pe%C3%B1arol_Rugby","Peñarol Rugby"
5,"massy; rc massy; Massy; RC Massy Essonne; RC Massy","RC_Massy","RC Massy"
6,"new zealand; all blacks; New Zealand","New_Zealand_national_rugby_union_team","New Zealand national rugby union team"
6,"New Zealand",NA,"New Zealand national rugby union team"
7,"dragons; newport gd; ng dragons; newport gwent dragons; newport gwent; Dragons RFC; dragons rfc; gwent; Dragons RFCRFC","Dragons_RFC","Dragons"
7,"beaune",NA,"Dragons"
8,"valorugby emilia; Valorugby Emilia","Valorugby_Emilia","Valorugby Emilia"
8,"rugby reggio",NA,"Valorugby Emilia"
8,"rugby reggio emilia",NA,"Valorugby Emilia"
8,"Rugby Reggio",NA,"Valorugby Emilia"
9,"italy","Italy_national_rugby_union_team","Italy national rugby union team"
11,"aironi","Aironi","Aironi"
13,"nottingham; nottingham rfc; nottingham r.f.c.; nottingham rugby; Nottingham","Nottingham_R.F.C.","Nottingham R.F.C."
14,"cardiff rugby; cardiff blues; Cardiff Rugby; Cardiff Blues; cardiff rugby academy","Cardiff_Rugby","Cardiff Rugby"
14,"Cardiff Blues U-18",NA,"Cardiff Rugby"
17,"pacific islanders","Pacific_Islanders_rugby_union_team","Pacific Islanders rugby union team"
18,"portugal","Portugal_national_rugby_union_team","Portugal national rugby union team"
19,"spain","Spain_national_rugby_union_team","Spain national rugby union team"
20,"fc lourdes; lourdes","FC_Lourdes","FC Lourdes"
