"fullName","rugbyscopeId"
"Christchurch","5763"
"Lincoln RFC","4104"
"Oxford RFC","2498"
"Pirates Rugby Club","5935"
"Raiders RC","6223"
"RC Mendoza","3381"
"University RFC","5713"
"Western Suburbs RC","6240"
"A.S Maureilhan","5029"
"A.S. Perpignanais","3135"
"Afrique du Sud -18","2403"
"Académie Bénévent",NA
"Académie Ivan Francescato",NA
"Académie Mirano",NA
"Acholi Rugby Academy",NA
"Aigles noirs de Tarbes",NA
"Albion Club","5948"
"Aldershot Services",NA
"Allemagne -16",NA
"Angleterre -16",NA
"Angleterre -17",NA
"Belgique -16",NA
"Belgique -17",NA
"Canada -17",NA
"Écosse -16",NA
"France -16",NA
"France -17",NA
"Galles -16",NA
"Géorgie -16",NA
"Géorgie -17",NA
"Pays-Bas -16",NA
"Argentine -19","6910"
"Argentine -21","6911"
"Australie -18","6913"
"Australie -18 ans","6913"
"Australie -19","2437"
"Australie -19 ans","2437"
"Australie -21","932"
"Australie -21 ans","932"
"Brésil XV","2830"
"Ecosse -18","1787"
"Écosse -18","1787"
"Écosse -18 ans","1787"
"Écosse -19","1788"
"Écosse -19 ans","1788"
"Écosse -21","2509"
"Écosse B","2505"
"États-Unis -19","2688"
"France fédérale",NA
"France Fédérales",NA
"France scolaire",NA
"France espoirs","1249"
"France junior","1249"
"France juniors","1249"
"France olympique","58"
"France U","2470"
"France universitaire","2470"
"France Universitaire","2470"
"France universitaires","2470"
"Géorgie -18","1258"
"Géorgie XV",1257
"Irlande à 7 -18",NA
"Irlande -18","6932"
"Irlande -19","6933"
"Irlande -21","6934"
"Italie -18","1375"
"Italie B","806"
"Japon -19","3306"
"Nouvelle-Zélande -19","1564"
"Nouvelle-Zélande -21","1565"
"Nouvelle-Zélande B","124"
"Pays de Galles -18","1949"
"Pays de Galles A","1948"
"Amatori Capoterra","790"
"Amatori Parme","218"
"Ambérieu","4845"
"Amicale Rugby Calais","3247"
"Andorre","1930"
"Angers SCO","4550"
"Angers SCO rugby","4550"
"Annonay","3043"
"Antony","4494"
"Aparejadores Burgos","2553"
"Appia Rugby","5618"
"Aramits","3014"
"ARC Saint-Yrieix","4476"
"ARC Vitré","4553"
"Ardmore","5803"
"Argelès-Gazost","4520"
"Arles-sur-Tech","5353"
"Armazi Tbilisi","2386"
"Arrêt","4782"
"AS AIA Lempdes","5127"
"AS Apt","5417"
"AS Bages","5396"
"AS Bages Villeneuve","5396"
"AS Corbeil-Essonnes","5285"
"AS Grane","4850"
"AS Jurançon","5319"
"AS Lagny","4711"
"AS Montfort","2978"
"AS Rugby Rovato","5525"
"AS Seilhac","5306"
"AS Tournus","4898"
"AS Villemur","5079"
"Asasp","4979"
"ASMUR","5381"
"ASPO Brive","4987"
"ASR Milan","783"
"Association Côte Landes","2942"
"Auckland University","6862"
"Aukland Trialist",NA
"Auterive","5069"
"Avenir de Barcus","4618"
"Avenir de Bizano","2926"
"Avenir jurançonnais",NA
"Avenir muretain XV","4793"
"Avenir sportif perpignanais","3135"
"Aviator Kiev","1699"
"Balma olympique","3042"
"Balmy Beach",NA
"BALS",NA
"Barbarians français 7s",NA
"Bastruc's",NA
"Barcelone UC","2037"
"Barracudas de Saint-Barthélémy","4841"
"Bassin Sud minervois","5345"
"Bassoues","4788"
"Bathurst & Lismore","3697"
"Bay Side RFC","2203"
"BBRFC Celtic","2192"
"BC islois","4611"
"Beauvais XV","3119"
"Beauvais XV Rugby Club","3119"
"Beauvallon","4467"
"Beauvoisin","5327"
"Berkleyvale HS",NA
"Bénéjacq olympique","4989"
"Bergamo","2577"
"Biscarosse olympique","2930"
"Bloemfontein RFC","6201"
"Blanzat-Châteaugay","4858"
"Boland Dames",NA
"Border Bullsdogs","103"
"Bowen Brothers",NA
"Bourges","3120"
"Bradford & Bingley","999"
"Bramley","4284"
"Bretenoux Biars","4787"
"Brisbane State High School",NA
"C.A.Pontacq","4990"
"CA Bédarieux","4778"
"CA Morcenx","4454"
"CA Pontarlier","3132"
"Cadillac-Preignac",NA
"Cabestany","5347"
"CAC Castelsarrasin","2401"
"Cadeneaux-Vitrolles","4821"
"Canet-Sainte-Marie","4470"
"Canterbury Colts","1057"
"Capbreton","3151"
"Capbreton Hossegor R.","3153"
"Cardiff Blues A","14"
"Casale Rugby","785"
"Castricum RC","378"
"Centro de Cazadores","3437"
"Centurion RK","6206"
"Cerbère","2847"
"Châteauneuf-Orange","4826"
"Châteauneuf-Orange RC","4826"
"Châteauneuf du Pape - Orange","4826"
"Châteauneuf Orange RC","4826"
"Chimia Năvodari","3065"
"Cholet","4812"
