"altNames","teamWP"
"Afrique du Sud XIII","%C3%89quipe_d%27Afrique_du_Sud_de_rugby_%C3%A0_XIII"
"Angleterre XIII","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_XIII"
"Angleterre","%C3%89quipe_d%27Angleterre_de_rugby_%C3%A0_XIII"
"Agen XIII",NA
"Albi_XIII","Albi_Rugby_League_XIII"
"Arles XIII",NA
"AS Clairac XIII",NA
"Auckland Warriors XIII","New_Zealand_Warriors"
"Auckland Warriors","New_Zealand_Warriors"
"Auckland","New_Zealand_Warriors"
"New Zealand Warriors","New_Zealand_Warriors"
"NZ Warriors","New_Zealand_Warriors"
"Australie","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_XIII"
"Australia","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_XIII"
"Australie (XIII)","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_XIII"
"Auterive XIII",NA
"Balmain","Balmain_Tigers"
"Balmain Tigers","Balmain_Tigers"
"Balmain Tigers (XIII)","Balmain_Tigers"
"Barrow RL","Barrow_Rugby_League_Football_Club"
"Barrow","Barrow_Rugby_League_Football_Club"
"Barrow Raiders","Barrow_Rugby_League_Football_Club"
"Batley RLFC","Batley_Bulldogs_Rugby_League_Football_Club"
"Bayonne XIII",NA
"Biarritz AC XIII",NA
"Bordeaux XIII","Bordeaux_XIII"
"Bordeaux -Bayonne","Bordeaux_XIII"
"Ent. Bordeaux-Bayonne","Bordeaux_XIII"
"Bordeaux-Bayonne","Bordeaux_XIII"
"Bradford","Bradford_Bulls_Rugby_League_Football_Club"
"Bradford Bulls","Bradford_Bulls_Rugby_League_Football_Club"
"Bradford Northern","Bradford_Bulls_Rugby_League_Football_Club"
"Bridgend Blue Bulls (XIII)",NA
"Carcassonne","Association_sportive_Carcassonne_XIII"
"A.S. Carcassonne","Association_sportive_Carcassonne_XIII"
"AS Carcassonne XIII","Association_sportive_Carcassonne_XIII"
"Carcassonne XV","Association_sportive_Carcassonne_XIII"
"Carcassonne XIII","Association_sportive_Carcassonne_XIII"
"AS Carcassonne","Association_sportive_Carcassonne_XIII"
"Castleford Tigers","Castleford_Tigers_Rugby_League_Football_Club"
"Castleford","Castleford_Tigers_Rugby_League_Football_Club"
"City Origin","City_New_South_Wales_rugby_league_team"
"Côte basque XIII","C%C3%B4te_basque_XIII"
"Côte basque","C%C3%B4te_basque_XIII"
"Country Origin","Country_New_South_Wales_rugby_league_team"
"Cronulla Sharks","Cronulla-Sutherland_Sharks"
"Cronulla Sharks (XIII)","Cronulla-Sutherland_Sharks"
"Cronulla","Cronulla-Sutherland_Sharks"
"CronCS Sharks","Cronulla-Sutherland_Sharks"
"Cronulla-Sutherland Sharks","Cronulla-Sutherland_Sharks"
"Crusaders RL","Crusaders_Rugby_League"
"Crusaders Rugby League","Crusaders_Rugby_League"
"Dax XIII","Dax_XIII"
"Dewsbury","Dewsbury_Rams_Rugby_League_Football_Club"
"Dewsbury Rams","Dewsbury_Rams_Rugby_League_Football_Club"
"Doncaster Dragons","Doncaster_Rugby_League_Football_Club"
"Doncaster RLFC","Doncaster_Rugby_League_Football_Club"
"Dragons catalans","Dragons_catalans"
"Perpignan Dragons Rugby League Rugby Club","Dragons_catalans"
"Eastern Suburbs","Sydney_Roosters"
"Eastern Suburbs (XIII)","Sydney_Roosters"
"Sydney","Sydney_Roosters"
"Sydney Roostersy","Sydney_Roosters"
"Eastern Suburbs (XIII)","Sydney_Roosters"
"Sydney","Sydney_Roosters"
"Écosse XIII","%C3%89quipe_d%27%C3%89cosse_de_rugby_%C3%A0_XIII"
"Écosse à XIII","%C3%89quipe_d%27%C3%89cosse_de_rugby_%C3%A0_XIII"
"États-Unis XIII","%C3%89quipe_des_%C3%89tats-Unis_de_rugby_%C3%A0_XIII"
"États-Unis","%C3%89quipe_des_%C3%89tats-Unis_de_rugby_%C3%A0_XIII"
"FC Lézignan XIII","Football_club_L%C3%A9zignan-Corbi%C3%A8res_rugby_league"
"Lézignan","Football_club_L%C3%A9zignan-Corbi%C3%A8res_rugby_league"
"FC Lézignan","Football_club_L%C3%A9zignan-Corbi%C3%A8res_rugby_league"
"F.C. Lézignan","Football_club_L%C3%A9zignan-Corbi%C3%A8res_rugby_league"
"Lézignan-Corbières","Football_club_L%C3%A9zignan-Corbi%C3%A8res_rugby_league"
"Featherstone","Featherstone_Rovers_Rugby_League_Football_Club"
"Featherstone Rovers","Featherstone_Rovers_Rugby_League_Football_Club"
"Fidji à XIII","%C3%89quipe_des_Fidji_de_rugby_%C3%A0_XIII"
"Fidji XIII","%C3%89quipe_des_Fidji_de_rugby_%C3%A0_XIII"
"France","%C3%89quipe_de_France_de_rugby_%C3%A0_XIII"
"France XIII","%C3%89quipe_de_France_de_rugby_%C3%A0_XIII"
"France à neuf","%C3%89quipe_de_France_de_rugby_%C3%A0_XIII"
"Glebe","Glebe_District_Rugby_League_Football_Club"
"Grande-Bretagne","%C3%89quipe_de_Grande-Bretagne_de_rugby_%C3%A0_XIII"
"Grande Bretagne","%C3%89quipe_de_Grande-Bretagne_de_rugby_%C3%A0_XIII"
"Grande-Bretagne XIII","%C3%89quipe_de_Grande-Bretagne_de_rugby_%C3%A0_XIII"
"Grenoble Olympique","Grenoble_olympique_XIII"
"Grenoble","Grenoble_olympique_XIII"
"Halifax RLFC","Halifax_Rugby_League_Football_Club"
"Halifax (XIII)","Halifax_Rugby_League_Football_Club"
"Halifax Blue Sox","Halifax_Rugby_League_Football_Club"
"Huddersfield Giants (XIII)","Huddersfield_Giants_Rugby_League_Football_Club"
"Huddersfield","Huddersfield_Giants_Rugby_League_Football_Club"
"Huddersfield Giants","Huddersfield_Giants_Rugby_League_Football_Club"
"Hunslet Hawks","Hunslet_Hawks_Rugby_League_Football_Club"
"Ille-sur-Têt","Ille_XIII"
"Îles Cook à XIII","%C3%89quipe_des_%C3%AEles_Cook_de_rugby_%C3%A0_XIII"
"Irlande XIII","%C3%89quipe_d%27Irlande_de_rugby_%C3%A0_XIII"
"Irlande","%C3%89quipe_d%27Irlande_de_rugby_%C3%A0_XIII"
"Italie XIII","%C3%89quipe_d%27Italie_de_rugby_%C3%A0_XIII"
"Italie","%C3%89quipe_d%27Italie_de_rugby_%C3%A0_XIII"
"Keighley","Keighley_Cougars_Rugby_League_Football_Club"
"Keighley Cougars","Keighley_Cougars_Rugby_League_Football_Club"
"La Réole","La_R%C3%A9ole_XIII"
"Leeds","Leeds_Rhinos_Rugby_League_Club"
"Leeds Rhinos","Leeds_Rhinos_Rugby_League_Club"
"Leeds Rhinos (XIII)","Leeds_Rhinos_Rugby_League_Club"
"Liban XIII","%C3%89quipe_du_Liban_de_rugby_%C3%A0_XIII"
"Liban","%C3%89quipe_du_Liban_de_rugby_%C3%A0_XIII"
"London Broncos","London_Broncos_Rugby_League_Football_Club"
"London Crusaders","London_Broncos_Rugby_League_Football_Club"
"Harlequins XIII","London_Broncos_Rugby_League_Football_Club"
"Fulham","London_Broncos_Rugby_League_Football_Club"
"Miremont XIII",NA
"Montpellier XIII","Montpellier_XIII"
"Northern Eagles","Northern_Eagles_Rugby_League_Football_Club"
"Nouvelle-Galles du Sud","%C3%89quipe_de_Nouvelle-Galles_du_Sud_de_rugby_%C3%A0_XIII"
"New South Wales","%C3%89quipe_de_Nouvelle-Galles_du_Sud_de_rugby_%C3%A0_XIII"
"Nouvelle-Zélande","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XIII"
"Nouvelle-Zélande XIII","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XIII"
"Oldham RFC","Oldham_Roughyeds_Rugby_League_Football_Club"
"Oldham RLFC","Oldham_Roughyeds_Rugby_League_Football_Club"
"Oldham","Oldham_Roughyeds_Rugby_League_Football_Club"
"Oldham Roughyeds (XIII)","Oldham_Roughyeds_Rugby_League_Football_Club"
"Palau Broncos","Palau_Broncos_XIII"
"Palau","Palau_Broncos_XIII"
"Pamiers XIII","Pamiers-Vernajoul_XIII"
"Papouasie-Nouvelle-Guinée XIII","%C3%89quipe_de_Papouasie-Nouvelle-Guin%C3%A9e_de_rugby_%C3%A0_XIII"
"Papouasie-Nouvelle-Guinée","%C3%89quipe_de_Papouasie-Nouvelle-Guin%C3%A9e_de_rugby_%C3%A0_XIII"
"Paris rugby XIII","Paris_rugby_XIII"
"Paris","Paris_rugby_XIII"
"Paris XIII","Paris_rugby_XIII"
"Paris XIII","Paris_XIII"
"Pau XIII","Pau_XIII"
"Pau","Pau_XIII"
"Pays de Galles","%C3%89quipe_du_pays_de_Galles_de_rugby_%C3%A0_XIII"
"Galles","%C3%89quipe_du_pays_de_Galles_de_rugby_%C3%A0_XIII"
"Galles XIII","%C3%89quipe_du_pays_de_Galles_de_rugby_%C3%A0_XIII"
"Pays de Galles à XIII","%C3%89quipe_du_pays_de_Galles_de_rugby_%C3%A0_XIII"
"Galles (XIII)","%C3%89quipe_du_pays_de_Galles_de_rugby_%C3%A0_XIII"
"Perpignan XIII","XIII_Catalan"
"XIII Catalan","XIII_Catalan"
"XIII catalan","XIII_Catalan"
"R.C. Catalan","XIII_Catalan"
"RC Catalan","XIII_Catalan"
"Pia XIII","XIII_Baroudeur_de_Pia"
"SM Pia (XIII)","XIII_Baroudeur_de_Pia"
"Pia","XIII_Baroudeur_de_Pia"
"PNG Hunters","Papua_New_Guinea_Hunters_Rugby_league_Football_Club"
"PSG XIII","Paris_Saint-Germain_Rugby_League"
"Paris SG","Paris_Saint-Germain_Rugby_League"
"Paris Saint-Germain RL","Paris_Saint-Germain_Rugby_League"
"Paris Saint-Germain XIII","Paris_Saint-Germain_Rugby_League"
"Paris Saint-Germain","Paris_Saint-Germain_Rugby_League"
"PSG RL","Paris_Saint-Germain_Rugby_League"
"Queensland","%C3%89quipe_du_Queensland_de_rugby_%C3%A0_XIII"
"R.C. Carpentras","Racing_club_de_Carpentras_XIII_du_Comtat"
"R.C. Marseille","Marseille_XIII_Avenir"
"RC Marseille","Marseille_XIII_Avenir"
"Marseille XIII","Marseille_XIII_Avenir"
"R.C. Saint-Gaudens","Racing_club_saint-gaudinois_Comminges_XIII"
"RC Saint-Gaudens","Racing_club_saint-gaudinois_Comminges_XIII"
"Saint-Gaudens","Racing_club_saint-gaudinois_Comminges_XIII"
"RC Albi XIII","Albi_Rugby_League_XIII"
"R.C. Albigeois","Albi_Rugby_League_XIII"
"Albi XIII","Albi_Rugby_League_XIII"
"Albi","Albi_Rugby_League_XIII"
"RC Albi","Albi_Rugby_League_XIII"
"RC Albigeois","Albi_Rugby_League_XIII"
"Albi olympique","Albi_Rugby_League_XIII"
"RC Roanne","Racing_Club_de_Roanne_XIII"
"Roanne","Racing_Club_de_Roanne_XIII"
"Roanne XIII","Racing_Club_de_Roanne_XIII"
"R.C. Roanne","Racing_Club_de_Roanne_XIII"
"RC Roanne XIII","Racing_Club_de_Roanne_XIII"
"Rochdale","Rochdale_Hornets_Rugby_Football_League_Club"
"Rochdale Hornets","Rochdale_Hornets_Rugby_Football_League_Club"
"Rodez XIII",NA
"S.O. Avignon","Sporting_olympique_avignonnais_XIII"
"SO Avignon","Sporting_olympique_avignonnais_XIII"
"Avignon","Sporting_olympique_avignonnais_XIII"
"Avignon XIII","Sporting_olympique_avignonnais_XIII"
"SA Villeneuvois XIII","Villeneuve_XIII_rugby_league"
"Villeneuve XIII","Villeneuve_XIII_rugby_league"
"SASA Villeneuve","Villeneuve_XIII_rugby_league"
"U.S. Villeneuve","Villeneuve_XIII_rugby_league"
"Villeneuve sur Lot (XIII)","Villeneuve_XIII_rugby_league"
"S.A. Villeneuve","Villeneuve_XIII_rugby_league"
"Villeneuve-sur-Lot","Villeneuve_XIII_rugby_league"
"US Villeneuve XIII","Villeneuve_XIII_rugby_league"
"US Villeneuve-sur-Lot","Villeneuve_XIII_rugby_league"
"Saint-Estève XIII",NA
"Saint-Paul XIII",NA
"Saint Estève XIII","Association_sportive_Saint-Est%C3%A8ve_XIII"
"A.S. Saint-Estève","Association_sportive_Saint-Est%C3%A8ve_XIII"
