"text","position"
"?",NA
"2eligne","2nd Row"
"3eligne","3rd Row"
"3eligne aile","Flanker"
"3eligne centre","Number 8"
"aile","Winger"
"aile (coté fermé)","Right Winger"
"ailer","Winger"
"ailier","Winger"
"Ailier","Winger"
"ailier (à XV)","Winger"
"Ailier (rugby à sept)",NA
"ailier (rugby à XV)","Winger"
"Ailier (rugby à XV)","Winger"
"Ailier droit","Right Winger"
"ailier gauche","Left Winger"
"Ailier, Arrière","Winger; Fullback"
"Ailier, centre","Winger; Centre"
"Ailier, centre, arrière","Winger; Centre; Fullback"
"Arbitre",NA
"arriere","Fullback"
"arrière","Fullback"
"Arrière","Fullback"
"Arrière (à XIII)",NA
"arrière (rugby à XV)","Fullback"
"arrière (XIII)",NA
"Arrière, ailier, centre","Fullback; Winger; Centre"
"arrière, ailier, centre, demi d'ouverture","Fullback; Winger; Centre; Fly-Half"
"Arrière, centre, ailier","Fullback; Centre; Winger"
"Arrière, Centre, Ailier","Fullback; Centre; Winger"
"Arrière, demi d'ouverture, demi de mêlée","Fullback; Fly-Half; Scrum-Half"
"avant","Forward"
"Avant","Forward"
"avant, arrière","Forward"
"centre","Centre"
"Centre","Centre"
"centre (rugby à XIII)",NA
"Centre (rugby à XV)","Centre"
"centre, ailier","Centre; Winger"
"Centre, ailier","Centre; Winger"
"Centre, demi d'ouverture","Centre; Fly-Half"
"demi d'ouverture","Fly-Half"
"Demi d'ouverture","Fly-Half"
"Demi d'ouverture (rugby à XV)","Fly-Half"
"Demi d'ouverture, arrière","Fly-Half; Fullback"
"Demi d'ouverture, Arrière, Demi de mêlée","Fly-Half; Fullback; Scrum-Half"
"Demi d'ouverture, centre","Fly-Half; Centre"
"demi d'ouverture, centre, ailier, arrière","Fly-Half; Centre; Winger; Fullback"
"Demi d'ouverture, centre, arrière","Fly-Half; Centre; Fullback"
"Demi d'ouverture, centre, arrière, ailier","Fly-Half; Centre; Fullback; Winger"
"Demi d'ouverture, demi de mêlée",""
"demi d’ouverture","Fly-Half"
"Demi d’ouverture","Fly-Half"
"demi de mêlée","Scrum-Half"
"Demi de mêlée","Scrum-Half"
"Demi de mêlée (rugby à sept)",NA
"Demi de mêlée (rugby à XV)","Scrum-Half"
"Demi de mêlée, arrière","Scrum-Half; Fullback"
"Demi de mêlée, demi d'ouverture, centre, troisième ligne","Scrum-Half; Fly-Half; Centre; 3rd Row"
"deuxième ligne","2nd Row"
"Deuxième ligne","2nd Row"
"Deuxième Ligne","2nd Row"
"Deuxième ligne, pilier, troisième ligne","2nd Row; Prop; 3rd Row"
"Deuxième ligne, troisième ligne","2nd Row; 3rd Row"
"Lignes arrière","Back"
"numéro 8","Number 8"
"Numéro 8","Number 8"
"ouvreur","Fly-Half"
"ouvreur / arrière","Fly-Half; Fullback"
"pilier","Prop"
"Pilier","Prop"
"pilier (rugby à sept)",NA
"pilier droit","Tighthead Prop"
"Pilier droit","Tighthead Prop"
"pilier gauche","Loosehead Prop"
"Pilier gauche","Loosehead Prop"
"Pilier gauche ou droit","Loosehead Prop; Tighthead Prop"
"Pilier, centre","Prop; Centre"
"Pilier, deuxième ligne","Prop; 2nd Row"
"Pilier, seconde ligne","Prop; 2nd Row"
"Pilier, talonneur","Prop; Hooker"
"Pilier, troisième ligne","Prop; 3rd Row"
"premier centre","Inside Centre"
"Première ligne","1st Row"
"rugby à sept",NA
"rugby à XV",NA
"seconde ligne","2nd Row"
"Seconde ligne","2nd Row"
"talonneur","Hooker"
"Talonneur","Hooker"
"Trois-quart","Three-Quarter"
"Trois-quart aile","Winger"
"trois-quarts","Three-Quarter"
"Trois-quarts","Three-Quarter"
"Trois-quarts aile droit","Right Winger"
"trois-quarts centre","Centre"
"Trois-quarts centre","Centre"
"trois quart","Three-Quarter"
"trois quart centre","Centre"
"Trois quart centre","Centre"
"troisième ligne","3rd Row"
"Troisième ligne","3rd Row"
"troisième ligne  centre","Number 8"
"troisième ligne centre","Number 8"
"troisième ligne aile","Flanker"
"Troisième ligne aile","Flanker"
"troisième ligne centre","Number 8"
"Troisième ligne centre","Number 8"
"TTroisième ligne aile","Flanker"
"Voltigeur avant","Winger"
"XIII :XV :",NA
"XV :XIII :",NA
