"url","teamId"
"Nelson_College",NA
"Queen_Victoria_School_(Fiji)",NA
"Uni%C3%B3n_de_Rugby_de_Buenos_Aires",NA
"Wesley_College_(Auckland)",NA
"Brighton_Secondary_School",NA
"Saint_Mary%27s_College_High_School",NA
"P%C3%B4le_espoirs_(rugby_%C3%A0_XV)",NA
"Lyc%C3%A9e_Louis-Barthou",NA
"Newbridge_College",NA
"Clermont_Universit%C3%A9_Club_(basket-ball)","4597"
"Universit%C3%A9_Teiky%C5%8D","2068"
"Tarbes_Pyr%C3%A9n%C3%A9es_Football","89"
"Universit%C3%A9_Kei%C5%8D","2070"
"Universit%C3%A9_Meiji","2080"
"Royal_High_School,_Edinburgh",NA
"Durban_High_School",NA
"Universit%C3%A9_de_Pretoria","6190"
"Universit%C3%A9_du_Nord-Ouest","6942"
"Sydney_Church_of_England_Grammar_School",NA
"Universit%C3%A9_Nihon","2077"
"Universit%C3%A9_Waseda","Waseda_University_Rugby_Football_Club"
"Ho%C3%ABrskool_Monument",NA
"Universit%C3%A9_D%C5%8Dshisha","2062"
"Universit%C3%A9_de_Tenri","2365"
"Universit%C3%A9_m%C3%A9tropolitaine_Nelson-Mandela","6938"
"St_Peter%27s_College_(Auckland)",NA
"Massey_High_School",NA
"Universit%C3%A9_T%C5%8Dkai","2084"
"Universit%C3%A9_de_Tsukuba","2095"
"Tyee_High_School",NA
"Universit%C3%A9_du_KwaZulu-Natal","6657"
"Association_sportive_de_Monaco","3196"
"Universit%C3%A9_Ch%C5%AB%C5%8D","2054"
"Windhoek_High_School",NA
"Paarl_Boys%27_High_School",NA
"Southwest_High_School_(Minnesota)",NA
"St_Kevin%27s_College,_Melbourne",NA
"Westville_Boys%27_High_School",NA
"Cougars_de_BYU","938"
"Merchant_Taylors%27_School",NA
"Universit%C3%A9_de_Takushoku","2073"
"Cherry_Creek_High_School",NA
"Colegio_Craighouse",NA
"Cheltenham_College",NA
"Mount_Albert_Grammar_School",NA
"Cathedral_High_School_(Indianapolis)",NA
"Hamilton_Boys%27_High_School",NA
"Union_High_School_(Tulsa,_Oklahoma)",NA
"Woodside_High_School_(California)",NA
"Rangiora_High_School",NA
"Southland_Boys%27_High_School",NA
"Philemon_Wright_High_School",NA
"Dale_College_Boys%27_High_School",NA
"Whitchurch_High_School",NA
"Simon_Sanchez_High_School",NA
"Christchurch_Boys%27_High_School",NA
"Glenwood_High_School_(Durban)",NA
"Jesuit_High_School_(Carmichael)",NA
"Xavier_High_School_(New_York_City)",NA
"Rocklin_High_School",NA
"Magnolia_High_School_(Texas)",NA
"Universit%C3%A9_de_Ritsumeikan","2092"
"Whitgift_School",NA
"Universit%C3%A9_d%27Exeter","1226"
"St._Michaels_University_School",NA
"Pewaukee_School_District",NA
"Universit%C3%A9_du_Wisconsin_%C3%A0_Platteville","Universit%C3%A9_du_Wisconsin"
"Universit%C3%A9_du_Wisconsin_%C3%A0_Whitewater","Universit%C3%A9_du_Wisconsin"
"Football_Club_de_Lyon","Football_Club_de_Lyon_(rugby_%C3%A0_XV)"
"St._John%27s_Preparatory_School_(Massachusetts)",NA
"Big_Green_de_Dartmouth","2288"
"Sacred_Heart_College",NA
"Tonbridge_School",NA
"St._John%27s_Preparatory_School_(Harare)",NA
"Cordwalles_Preparatory_School",""
"Glenstal_Abbey_School",NA
"The_Grange_School,_Santiago",NA
"Norwich_School",NA
"Northampton_School_for_Boys",NA
"Oakham_School",NA
"Carre%27s_Grammar_School",NA
"Northwood_School_(Durban_North,_South_Africa)",NA
"Prince_Edward_School",NA
"King_Edward%27s_School,_Bath",NA
"Union_des_sports_athl%C3%A9tiques_perpignanais","266"
"Michaelhouse",NA
"Varsity_College_(South_Africa)","6662"
"Clongowes_Wood_College",NA
"The_King%27s_Hospital",NA
"Waverley_College",NA
"St_Michael%27s_College,_Dublin",NA
"Presentation_Brothers_College,_Cork",NA
"St._Charles_College,_Pietermaritzburg",NA
"Watershed_College",NA
"St_Stithians_College",NA
"Hartpury_University_and_Hartpury_College","2205"
"Henley_College_Coventry",NA
"Falcon_College",NA
"Brooksby_Melton_College",NA
"Trinity_College_(Dublin)","491"
"Royal_Belfast_Academical_Institution",NA
"VGA_Saint-Maur_Omnisports","4729"
"Ysgol_Gyfun_Gymraeg_Glantaf",NA
"Rugby_Qu%C3%A9bec",NA
"Universit%C3%A9_Queen%27s","1693"
"Hong_Kong_Football_Club","6931"
"Universit%C3%A9_de_Durham","2702"
"Universit%C3%A9_de_Dublin","491"
"Universit%C3%A9_d%27Australie-Occidentale","6957"
"Coll%C3%A8ge_Saint_Mary_de_Californie",NA
"Universit%C3%A9_du_Witwatersrand","6191"
"18e_r%C3%A9giment_d%27infanterie_(France)",NA
"Bredase_Rugby_Club","314"
