"wikidataId","fullName","frName","birthDate","birthPlace","deathDate","deathPlace","height","positions"
"Q207","George W. Bush",NA,1946-07-06,"New Haven",NA,NA,NA,NA
"Q5809","Ernesto Guevara","Ernesto « Che » Guevara",1928-06-14,"Rosario",1967-10-09,"La Higuera",176,NA
"Q7571","Patricio Albacete","Patricio Albacete",1981-02-09,"Buenos Aires",NA,NA,200,"2nd Row"
"Q12940","Jacques Chaban-Delmas",NA,1915-03-07,"13th arrondissement of Paris",2000-11-10,"7th arrondissement of Paris",NA,NA
"Q18455","Ben Tune","Ben Tune",1976-12-28,"Brisbane",NA,NA,185,"Winger; Centre"
"Q26037","Quade Cooper","Quade Cooper",1988-04-05,"Tokoroa",NA,NA,186,"Fly-Half"
"Q29880","Ben Botica","Ben Botica",1989-10-07,"Takapuna",NA,NA,178,"Fly-Half; Centre"
"Q31193","Ben Smith","Ben Smith",1986-06-01,"Dunedin",NA,NA,186,"Fullback; Winger; Centre"
"Q46171","Pekahou Cowan","Pekahou Cowan",1986-06-02,"Wellington",NA,NA,185,"Prop"
"Q46223","Stephen Hoiles","Stephen Hoiles",1981-10-13,"Sydney",NA,NA,190,"Number 8; Flanker"
"Q46393","Yoan Audrin","Yoan Audrin",1981-08-14,"Pézenas",NA,NA,179,"Centre; Winger"
"Q46396","Benoît Paillaugue","Benoît Paillaugue",1987-11-17,"La Rochelle",NA,NA,172,"Scrum-Half; Fly-Half"
"Q56812","Thomas Combezou","Thomas Combezou",1987-01-26,"Tulle",NA,NA,181,"Centre; Winger"
"Q56822","Gerhard Vosloo","Gerhard Vosloo",1979-05-10,"Pretoria",NA,NA,188,"Flanker"
"Q56824","Fabien Cibray","Fabien Cibray",1985-10-15,"Auch",NA,NA,178,"Scrum-Half"
"Q72185","Manu Tuilagi","Manu Tuilagi",1991-05-18,"Fogapoa",NA,NA,183,"Centre"
"Q75573","Robins Tchale-Watchou","Robins Tchale-Watchou",1983-05-10,"Dschang",NA,NA,198,"2nd Row"
"Q76869","Toby Flood","Toby Flood",1985-08-08,"Frimley",NA,NA,188,"Fly-Half; Centre"
"Q77848","Sascha Fischer","Sascha Fischer",1971-12-24,"Stuttgart",NA,NA,208,"2nd Row"
"Q80607","George Pisi","George Pisi",1986-06-29,"Apia",NA,NA,188,"Centre; Fullback"
"Q82942","Farid Sid","Farid Sid",1979-03-27,"Perpignan",NA,NA,176,"Winger"
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow",1983-07-22,"Leimen (Baden)",NA,NA,191,"Winger; Centre"
"Q87794","Robert Mohr","Robert Mohr",1978-08-25,"Hanover",NA,NA,194,"2nd Row; Number 8"
"Q90321","Erwin Thiesies","Erwin Thiesies",1908-08-22,"Berlin",1993-02-18,"Hennigsdorf",NA,"2nd Row"
"Q94144","Massimo Ravazzolo","Massimo Ravazzolo",1972-09-05,NA,NA,NA,190,"Fullback"
"Q94780","Joe Rokocoko","Joe Rokocoko",1983-06-06,"Nadi",NA,NA,189,"Winger"
"Q94814","Ronnie Cooke","Ronnie Cooke",1984-04-05,"Pretoria",NA,NA,183,"Centre; Winger"
"Q106775","Richard Harris","Richard Harris",NA,NA,NA,NA,NA,NA
"Q113526","Adriaan Strauss","Adriaan Strauss",1985-11-18,"Bloemfontein",NA,NA,184,"Hooker"
"Q127613","Patrick Lambie","Patrick Lambie",1990-10-17,"Durban",NA,NA,178,"Fly-Half; Centre; Fullback"
"Q127618","Chris Ashton","Chris Ashton",1987-03-29,"Wigan",NA,NA,183,"Winger"
"Q128407","Martín Bustos Moyano","Martín Bustos Moyano",1985-07-12,"Córdoba; Argentina",NA,NA,186,"Winger; Fullback"
"Q131895","Ross Filipo","Ross Filipo",1979-04-14,"Lower Hutt",NA,NA,196,"2nd Row; Flanker"
"Q134895","Javier Bardem","Javier Bardem",NA,NA,NA,NA,NA,NA
"Q135385","Israel Dagg","Israel Dagg",1988-06-06,"Marton; New Zealand",NA,NA,186,"Fullback; Winger"
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp",1981-06-12,"Paarl",NA,NA,189,"Prop"
"Q138722","Stephen Donald","Stephen Donald",1983-12-03,"Papakura District",NA,NA,190,"Fly-Half; Centre"
"Q147338","Morris Kirksey",NA,1895-09-13,"Waxahachie; Texas",1981-11-25,"San Mateo; California",NA,NA
"Q151533","Sam Whitelock","Sam Whitelock",1988-10-12,"Palmerston North",NA,NA,202,"2nd Row"
"Q151572","Victor Vito","Victor Vito",1987-03-27,"Wellington",NA,NA,192,"Number 8; Flanker"
"Q163452","Tom James","Tom James",1987-04-17,"Merthyr Tydfil",NA,NA,187,"Winger"
"Q165701","Ali Williams","Ali Williams",1981-04-30,"Auckland",NA,NA,202,"2nd Row"
"Q166094","Zane Kirchner","Zane Kirchner",1984-06-16,"George; South Africa",NA,NA,184,"Fullback"
"Q168675","Francois Pienaar","Francois Pienaar",1967-01-02,"Vereeniging",NA,NA,190,"Flanker"
"Q169368","Jean Monribot","Jean Monribot",1987-10-11,"Lalinde",NA,NA,184,"3rd Row"
"Q169397","Hugo Bonneval","Hugo Bonneval",1990-11-19,"Toulouse",NA,NA,185,"Fullback; Winger"
"Q172174","Guy Ligier","Guy Ligier",NA,NA,NA,NA,NA,NA
"Q174294","Ian James Clarke","Ian Clarke",1931-03-05,NA,1997-06-29,NA,NA,"Prop"
"Q176596","Clive Rowlands","Clive Rowlands",1938-05-14,"Cwmtwrch",2023-07-29,NA,175,"Scrum-Half"
"Q181263","François Steyn","François Steyn",1987-05-14,"Aliwal North",NA,NA,191,"Centre; Fullback; Fly-Half; Winger"
"Q182609","Jacques Rogge",NA,1942-05-02,"Ghent",2021-08-29,"Deinze",NA,NA
"Q188309","Sergio Parisse","Sergio Parisse",1983-09-12,"La Plata",NA,NA,196,"Number 8"
"Q193926","Aaron Cruden","Aaron Cruden",1989-01-08,"Palmerston North",NA,NA,178,"Fly-Half; Centre"
"Q194026","Jimmy Cowan","Jimmy Cowan",1982-03-06,"Gore; New Zealand",NA,NA,182,"Scrum-Half"
"Q200427","Dimitri Szarzewski","Dimitri Szarzewski",1983-01-26,"Narbonne",NA,NA,181,"Hooker"
"Q200837","Anthony Tuitavake","Anthony Tuitavake",1982-02-12,"Auckland",NA,NA,182,"Centre; Winger"
"Q205288","Zinzan Brooke","Zinzan Brooke",1965-02-14,"Waiuku",NA,NA,190,"Flanker; Number 8"
"Q207709","Roland Garros","Roland Garros",1888-10-06,"Saint-Denis; Réunion",1918-10-05,"Saint-Morel",NA,NA
"Q209358","André Silva","André da Silva",1975-02-09,"Paris",NA,NA,174,"Prop"
"Q209365","Richie Gray","Richie Gray",1989-08-24,"Rutherglen",NA,NA,206,"2nd Row"
"Q221074","Bud Spencer","Bud Spencer",1929-10-31,NA,2016-06-27,NA,192,NA
"Q250054","Mark Donaldson","Mark Donaldson",1955-11-06,"Palmerston North",NA,NA,175,"Scrum-Half"
"Q250144","Irakli Giorgadze","Irakli Giorgadze",1982-12-17,"Kutaisi",NA,NA,190,"Centre; Winger"
"Q261176","Geoff Evans","Geoff Evans",1950-12-10,"Coventry",NA,NA,178,"Centre"
"Q261477","Gareth Llewellyn","Gareth Llewellyn",1969-02-27,"Cardiff",NA,NA,199,"2nd Row"
"Q261702","Sunia Koto","Sunia Koto Vuli",1980-04-15,"Suva",NA,NA,178,"Hooker"
"Q266062","Gareth John Williams","Gareth Williams",1978-12-19,"Bridgend",NA,NA,173,"Hooker"
"Q276102","Jean de Villiers","Jean de Villiers",1981-02-24,"Paarl",NA,NA,190,"Centre; Winger"
"Q281187","George Chuter","George Chuter",1976-07-09,"Greenwich",NA,NA,180,"Hooker"
"Q281715","Wessel Roux","Wessel Roux",1976-10-18,"Bothaville",NA,NA,183,"Prop"
"Q281871","Tom Kiernan","Tom Kiernan",1939-01-07,"Cork (city)",2022-02-03,NA,NA,"Fullback"
"Q282219","Nikki Walker","Nikki Walker",1982-03-05,"Aberdeen",NA,NA,193,"Winger"
"Q282754","Josh Taumalolo","Josh Taumalolo",1976-07-08,"Nukuʻalofa",NA,NA,178,"Fullback; Centre; Winger"
"Q283441","Alexander Widiker","Alexander Widiker",1982-04-27,"Kostanay",NA,NA,171,"Prop; Hooker"
"Q284846","Schalk Willem Petrus Burger","Schalk Burger",1983-04-13,"Gqeberha",NA,NA,193,"Flanker"
"Q284926","George Whitelock","George Whitelock",1986-03-27,"Palmerston North",NA,NA,190,"Flanker; Number 8"
"Q285258","Ron Waldron","Ron Waldron",1933-12-14,"Neath Abbey",NA,NA,NA,"Prop"
