origWdId,origName,debugComment,frName,wpPage,birthDate,birthPlace,birthPlaceWP,deathDate,deathPlace,deathPlaceWP,height,positions
Q5809,Ernesto Guevara,No stint found,Ernesto « Che » Guevara,Che_Guevara,1928-06-14,Rosario,/wiki/Rosario,1967-10-09,La Higuera,/wiki/La_Higuera_(Bolivie),176,
Q7571,Patricio Albacete,,Patricio Albacete,Patricio_Albacete,1981-02-09,Buenos Aires,/wiki/Buenos_Aires,,,,200,deuxième ligne
Q18455,Ben Tune,,Ben Tune,Ben_Tune,1976-12-28,Brisbane,/wiki/Brisbane,,,,185,ailier; centre
Q26037,Quade Cooper,,Quade Cooper,Quade_Cooper,1988-04-05,Tokoroa,/wiki/Tokoroa,,,,186,Demi d'ouverture
Q29880,Ben Botica,,Ben Botica,Ben_Botica,1989-10-07,Takapuna,/wiki/Takapuna,,,,178,Demi d'ouverture; centre
Q31193,Ben Smith,,Ben Smith,Ben_Smith_(rugby_%C3%A0_XV),1986-06-01,Dunedin,/wiki/Dunedin,,,,186,Arrière; ailier; centre
Q46171,Pekahou Cowan,,Pekahou Cowan,Pekahou_Cowan,1986-06-02,Wellington,/wiki/Wellington,,,,185,Pilier
Q46223,Stephen Hoiles,,Stephen Hoiles,Stephen_Hoiles,1981-10-13,Sydney,/wiki/Sydney,,,,190,Troisième ligne centre; troisième ligne aile
Q46393,Yoan Audrin,,Yoan Audrin,Yoan_Audrin,1981-08-14,Pézenas,/wiki/P%C3%A9zenas,,,,179,centre; ailier
Q46396,Benoît Paillaugue,,Benoît Paillaugue,Beno%C3%AEt_Paillaugue,1987-11-17,La Rochelle,/wiki/La_Rochelle,,,,172,Demi de mêlée; demi d'ouverture
Q56812,Thomas Combezou,,Thomas Combezou,Thomas_Combezou,1987-01-26,Tulle,/wiki/Tulle,,,,181,Centre; ailier
Q56822,Gerhard Vosloo,,Gerhard Vosloo,Gerhard_Vosloo,1979-05-10,Pretoria,/wiki/Pretoria,,,,188,Troisième ligne aile
