origWdId,origName,frName,wpPage,stintType,timePeriod,teamName,teamWP,matchesPlayed,pointsScored
Q532570,Wyatt Crockett,Wyatt Crockett,Wyatt_Crockett,Youth,????-????,Nelson College,/wiki/Nelson_(Nouvelle-Z%C3%A9lande),,
Q532570,Wyatt Crockett,Wyatt Crockett,Wyatt_Crockett,Youth,????-2005,Burnside,,,
Q532570,Wyatt Crockett,Wyatt Crockett,Wyatt_Crockett,Senior,2005-2012,Canterbury,/wiki/Canterbury_Rugby_Football_Union,73,30
Q532570,Wyatt Crockett,Wyatt Crockett,Wyatt_Crockett,Senior,2006-2018,Crusaders,/wiki/Crusaders,203,60
Q532570,Wyatt Crockett,Wyatt Crockett,Wyatt_Crockett,Senior,2018-,Tasman,/wiki/Tasman_Rugby_Union,20,15
Q532570,Wyatt Crockett,Wyatt Crockett,Wyatt_Crockett,International,2009-2017,Nouvelle-Zélande,/wiki/%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV,71,10
Q537512,Michel Yachvili,Michel Yachvili,Michel_Yachvili,Senior,,SC Tulle,/wiki/Sporting_club_tulliste,,
Q537512,Michel Yachvili,Michel Yachvili,Michel_Yachvili,Senior,,CA Brive,/wiki/Club_athl%C3%A9tique_Brive_Corr%C3%A8ze_Limousin,,
Q537512,Michel Yachvili,Michel Yachvili,Michel_Yachvili,Senior,,Saint-Céré sports,/wiki/Saint-C%C3%A9r%C3%A9_rugby,,
Q537512,Michel Yachvili,Michel Yachvili,Michel_Yachvili,Senior,,Sporting Club decazevillois,/wiki/Sporting_Club_decazevillois,,
Q537512,Michel Yachvili,Michel Yachvili,Michel_Yachvili,International,1968-1975,France,/wiki/%C3%89quipe_de_France_de_rugby_%C3%A0_XV,47,?
Q537903,Levan Datunashvili,Levan Datunashvili,Levan_Datunashvili,Senior,?,Saint-Nazaire,/wiki/Saint-Nazaire_rugby_Loire-Atlantique,,
Q537903,Levan Datunashvili,Levan Datunashvili,Levan_Datunashvili,Senior,2003-2006,SA Vierzon,,,
Q537903,Levan Datunashvili,Levan Datunashvili,Levan_Datunashvili,Senior,2006-2008,Montluçon rugby,/wiki/Montlu%C3%A7on_rugby,15,0
Q537903,Levan Datunashvili,Levan Datunashvili,Levan_Datunashvili,Senior,2008-2010,Stade aurillacois,/wiki/Stade_aurillacois_Cantal_Auvergne,23,0
Q537903,Levan Datunashvili,Levan Datunashvili,Levan_Datunashvili,Senior,2010-2011,GS Figeac,/wiki/Groupe_sportif_figeacois,18,5
Q537903,Levan Datunashvili,Levan Datunashvili,Levan_Datunashvili,Senior,2011-2017,Stade aurillacois,/wiki/Stade_aurillacois_Cantal_Auvergne,125,20
Q537903,Levan Datunashvili,Levan Datunashvili,Levan_Datunashvili,Senior,2017-2018,Stade langonnais,/wiki/Stade_langonnais,13,0
Q537903,Levan Datunashvili,Levan Datunashvili,Levan_Datunashvili,International,2004-2015,Géorgie,/wiki/%C3%89quipe_de_G%C3%A9orgie_de_rugby_%C3%A0_XV,75,15
Q538355,Nelson Dalzell,Nelson Dalzell,Nelson_Dalzell,Senior,,Canterbury,/wiki/Canterbury_Rugby_Football_Union,,
Q538355,Nelson Dalzell,Nelson Dalzell,Nelson_Dalzell,International,1953-1954,Nouvelle-Zélande,/wiki/%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV,5,3
Q539740,Joe Ward,Joe Ward,Joe_Ward,Senior,2001-2005,North Harbour,/wiki/North_Harbour_Rugby_Union,51,15
Q539740,Joe Ward,Joe Ward,Joe_Ward,Senior,2003-2005,Hurricanes,/wiki/Hurricanes,31,5
Q539740,Joe Ward,Joe Ward,Joe_Ward,Senior,2005-2011,London Wasps,/wiki/London_Wasps,116,40
Q539740,Joe Ward,Joe Ward,Joe_Ward,Senior,2011-2013,Sale Sharks,/wiki/Sale_Sharks,26,5
Q539740,Joe Ward,Joe Ward,Joe_Ward,International,1999,Nouvelle-Zélande -19,,,
Q539740,Joe Ward,Joe Ward,Joe_Ward,International,2001,Nouvelle-Zélande -21,,4,5
Q539740,Joe Ward,Joe Ward,Joe_Ward,International,2009,England Saxons,/wiki/England_Saxons,2,0
Q540060,Ken Kennedy,Ken Kennedy,Ken_Kennedy_(rugby_%C3%A0_XV),Senior,1968-1980,London Irish,/wiki/London_Irish,?,?
Q540060,Ken Kennedy,Ken Kennedy,Ken_Kennedy_(rugby_%C3%A0_XV),International,1965-1975,Irlande,/wiki/%C3%89quipe_d%27Irlande_de_rugby_%C3%A0_XV,45,0
Q540060,Ken Kennedy,Ken Kennedy,Ken_Kennedy_(rugby_%C3%A0_XV),International,1966,Lions,/wiki/%C3%89quipe_des_Lions_britanniques_et_irlandais_de_rugby_%C3%A0_XV,4,3
Q540685,Stu Wilson,Stu Wilson,Stu_Wilson,Senior,1976-1983,Wellington,/wiki/Wellington_Rugby_Football_Union,87,172
Q540685,Stu Wilson,Stu Wilson,Stu_Wilson,International,1977-1983,Nouvelle-Zélande,/wiki/%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV,34,76
