"rugbyscopeId","altNames","teamWP","fusionName"
"1114","Manuel Belgrano",NA,"Club Manuel Belgrano"
"260","US Colomiers; Colomiers rugby; Colomiers Rugby","Colomiers_Rugby","US Colomiers"
"2145","Section paloise; Section Paloise; Pau; Section paloise rés.; Section_paloise_(rugby_%C3%A0_XV)","Section_paloise_(rugby_%C3%A0_XV)","Section Paloise"
"44","Stade toulousain; Toulouse; SOE Toulouse; SOEVS Toulouse; Stade Toulousain","Stade_toulousain","Stade Toulousain"
"10","Racing 92; Racing Métro 92; Racing club de France; RC France; Racing CF; Racing Club de France; Racing_92; Racing-Paris; Métro Racing 92; Racing Metro; Racing Métro; Racing Metro 92; RC de France; Racing C.F.; Racing Club; Racing métro 92; Métro Racing","Racing_92","Racing 92"
"101","Argentine","%C3%89quipe_d%27Argentine_de_rugby_%C3%A0_XV","Argentina national rugby union team"
"253","Queensland Reds; Queensland; Reds; Queensland_Reds","Queensland_Reds","Queensland Reds"
"86","Australie; Australia","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_XV","Australia national rugby union team"
"493","East Coast Aces; Queensland Country; Queensland_Country","Queensland_Country","Queensland Country"
"424","Brisbane City; Ballymore Tornadoes","Brisbane_City_(rugby_%C3%A0_XV)","Brisbane City"
"315","RC Toulon; Rugby club toulonnais; Toulon; R.C. Toulon","Rugby_club_toulonnais","RC Toulonnais"
"247","Melbourne Rebels; Rebels","Melbourne_Rebels","Melbourne Rebels"
"1215","Kintetsu Liners; Kintetsu; Hanazono Kintetsu Liners","Hanazono_Kintetsu_Liners","Hanazono Kintetsu Liners"
"933","Australie -20","%C3%89quipe_d%27Australie_de_rugby_%C3%A0_XV_des_moins_de_20_ans","Australia national under-20 rugby union team"
"152","Biarritz olympique; Biarritz; Biarritz Stade; Biarritz Olympique; Biarritz stade; Biarriz olympique","Biarritz_olympique_Pays_basque","Biarritz Olympique"
"2904","North Harbour","North_Harbour_Rugby_Union","North Harbour Rugby Union Team"
"182","CA Périgueux; CA Perigueux","Club_athl%C3%A9tique_P%C3%A9rigueux_Dordogne","CA Périgueux"
"230","Harlequins; Harlequins FC; Harlequin FC; Harlequin Football Club","Harlequin_Football_Club","Harlequin F.C."
"76","Montpellier HR; Montpellier; Montpellier RC; Montpellier HRC; Stade montpelliérain; Montpellier Hérault rugby","Montpellier_H%C3%A9rault_Rugby","Montpellier Hérault Rugby"
"92","US Oyonnax; Oyonnax Rugby; US Oyonnax Rugby; Oyonnax rugby; Oyonnax","Oyonnax_Rugby","Oyonnax Rugby"
"316","Union Bordeaux Bègles; Bordeaux Bègles; Union Bordeaux-Bègles; U. Bordeaux Bègles; Union SB-CABBG; Bordeaux-Bègles","Union_Bordeaux_B%C3%A8gles","Union Bordeaux Bègles"
"189","Castres olympique; Castres; Castres Olympique","Castres_olympique","Castres Olympique"
"651","Soyaux Angoulême XV; Soyaux Angoulême; Soyaux-Angoulême; SA XV Charente; Soyaux-Angoulême XV; RC Soyaux","Soyaux_Angoul%C3%AAme_XV_Charente","Soyaux Angoulême XV Charente"
"2911","Otago; Otago RFU; Otago Rugby","Otago_Rugby_Football_Union","Otago Rugby Union Team"
"240","Highlanders; Otago Highlanders","Highlanders","Highlanders"
"6","Nouvelle-Zélande; %C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV; Nouvelle-Zélande XV","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV","New Zealand national rugby union team"
"161","Western Force","Western_Force","Western Force"
"586","Perth Spirit","Perth_Spirit","Perth Spirit"
"2479","Shimizu Blue Sharks","Shimizu_Koto_Blue_Sharks","Shimizu Koto Blue Sharks"
"61","Waratahs; New South Wales; NSW Waratahs; New South Wales Waratahs; Nouvelle-Galles du Sud","Waratahs","New South Wales Waratahs"
"270","Wellington; Wellington Lions; Wellington RFU; Wellington Rugby Football Union; Wellington B","Wellington_Rugby_Football_Union","Wellington Rugby Football Union"
"80","Brumbies; ACT Brumbies; Brumbies Runners","Brumbies","ACT Brumbies"
"2210","NSW Country Eagles; Country Eagles","New_South_Wales_Country_Eagles","New South Wales Country Eagles"
"3045","Pézenas",NA,"Stade Piscénois Rugby"
"309","AS Béziers; AS Béziers Hérault; Béziers; A.S. Béziers","Association_sportive_de_B%C3%A9ziers_H%C3%A9rault","AS Béziers Hérault"
"88","Bayonne; Aviron bayonnais; Aviron Bayonnais","Aviron_bayonnais_rugby_pro","Aviron Bayonnais"
