"text","position"
"Ala","Winger"
"Ala (rugby)","Winger"
"Ala, centro","Winger; Centre"
"Ala, estremo","Winger; Fullback"
"Ala, seconda linea","Winger; 2nd Row"
"Allenatore",NA
"Apertura","Fly-Half"
"Attaccante",NA
"Avanti","Forward"
"centro","Centre"
"Centro","Centre"
"Centro, ala, estremo","Centre; Winger; Fullback"
"Centro, seconda linea","Centre; 2nd Row"
"Centro interno","Inside Centre"
"Centro esterno","Outside Centre"
"Centroboa",NA
"Defensive end",NA
"estremo","Fullback"
"Estremo","Fullback"
"Estremo - mediano di apertura","Fullback; Fly-Half"
"Estremo, ala","Fullback; Winger"
"Frenatore",NA
"Flanker","Flanker"
"Linebacker",NA
"Mediana","Half-Back"
"Mediano","Scrum-Half"
"Mediano d'apertura","Fly-Half"
"Mediano d’apertura","Fly-Half"
"Mediano di apertura","Fly-Half"
"mediano di mischia","Scrum-Half"
"Mediano di mischia","Scrum-Half"
"pilone","Prop"
"Pilone","Prop"
"Pilone (rugby)","Prop"
"Pilone, seconda linea","Prop; 2nd Row"
"Pilone, Tallonatore","Prop; Hooker"
"Playmaker",NA
"portiere",NA
"Portiere",NA
"Prima linea","1st Row"
"Safety",NA
"seconda linea","2nd Row"
"Seconda linea","2nd Row"
"Seconda Linea","2nd Row"
"tallonatore","Hooker"
"Tallonatore","Hooker"
"Terza ala","Flanker"
"Terza centro","Number 8"
"terza linea","3rd Row"
"Terza linea","3rd Row"
"terza linea ala","Flanker"
"Terza linea ala","Flanker"
"Terza linea centro","Number 8"
"Tight end",NA
"tre quarti","Three-Quarter"
"Tre quarti","Three-Quarter"
"Tre quarti ala","Winger"
"Tre quarti centro","Centre"
"Trequarti","Three-Quarter"
"utility back","Utility Back"
"Utility back","Utility Back"
"Utility Back","Utility Back"
