"wikidataId","fullName","itName","height","weight","positions","positionsWP","birthCountry","sportCountry","currentTeamWP"
"Q207","George W. Bush","George W. Bush",NA,NA,NA,NA,NA,NA,NA
"Q5809","Ernesto Guevara","Ernesto Che Guevara",NA,NA,NA,NA,NA,NA,NA
"Q7571","Patricio Albacete","Patricio Albacete",200,115,"2nd Row",NA,"Argentina",NA,NA
"Q12940","Jacques Chaban-Delmas","Jacques Chaban-Delmas",NA,NA,NA,NA,NA,NA,NA
"Q18455","Ben Tune","Ben Tune",185,96,"Utility Back",NA,"Australia",NA,NA
"Q26037","Quade Cooper","Quade Cooper",186,92,"Fly-Half",NA,"New Zealand","Australia",NA
"Q31193","Ben Smith","Ben Smith",185,95,"Utility Back",NA,"New Zealand",NA,NA
"Q46223","Stephen Hoiles","Stephen Hoiles",190,101,"Number 8",NA,"Australia",NA,"/wiki/Randwick_District_Rugby_Union_Football_Club"
"Q71268","Hugo Betting","Hugo Betting",NA,NA,"Fly-Half",NA,"Germany",NA,NA
"Q72185","Manu Tuilagi","Manu Tuilagi",185,110,"Centre",NA,"Samoa","England","/wiki/Aviron_Bayonnais_Rugby_Pro"
"Q75480","Marco Platania","Marco Platania",180,88,"Centre",NA,"Italy",NA,NA
"Q76869","Toby Flood","Toby Flood",188,92,"Utility Back",NA,"Great Britain","England",NA
"Q86108","Clemens von Grumbkow","Clemens von Grumbkow",191,102,"Winger",NA,"Germany","Germany",NA
"Q94144","Massimo Ravazzolo","Massimo Ravazzolo",190,95,"Winger",NA,"Italy",NA,NA
"Q94780","Joe Rokocoko","Joe Rokocoko",189,104,"Winger",NA,"Fiji","New Zealand",NA
"Q106775","Richard Harris","Richard Harris",NA,NA,NA,NA,"Ireland",NA,NA
"Q113526","Adriaan Strauss","Adriaan Strauss",185,110,"Hooker",NA,"South Africa",NA,NA
"Q127613","Patrick Lambie","Patrick Lambie",178,92,"Utility Back",NA,"South Africa",NA,NA
"Q127618","Chris Ashton","Chris Ashton",183,92,"Winger; Fullback",NA,"Great Britain","England",NA
"Q134895","Javier Bardem",NA,NA,NA,NA,NA,NA,NA,NA
"Q135385","Israel Dagg","Israel Dagg",185,95,"Fullback",NA,"New Zealand",NA,NA
"Q138586","Gurthrö Steenkamp","Gurthrö Steenkamp",189,122,"Prop",NA,"South Africa",NA,NA
"Q138722","Stephen Donald","Stephen Donald",191,99,"Fly-Half",NA,"New Zealand",NA,NA
"Q147338","Morris Kirksey","Morris Kirksey",178,77,NA,NA,"U.S.A.",NA,NA
"Q151533","Sam Whitelock","Sam Whitelock",203,114,"2nd Row",NA,"New Zealand",NA,"/wiki/Section_Paloise"
"Q151572","Victor Vito","Victor Vito",193,109,"Number 8",NA,"New Zealand",NA,"/wiki/Stade_rochelais"
"Q165701","Ali Williams","Ali Williams",203,112,"2nd Row",NA,"New Zealand",NA,NA
"Q166094","Zane Kirchner","Zane Kirchner",185,92,"Fullback",NA,"South Africa",NA,NA
"Q168675","Francois Pienaar","François Pienaar",191,108,"Flanker",NA,"South Africa",NA,NA
"Q172174","Guy Ligier","Guy Ligier",NA,NA,NA,NA,"France",NA,NA
"Q176596","Clive Rowlands","Clive Rowlands",NA,NA,"Scrum-Half",NA,"Great Britain","Wales",NA
"Q181263","François Steyn","François Steyn",191,100,"Utility Back",NA,"South Africa",NA,"/wiki/Free_State_Cheetahs"
"Q182609","Jacques Rogge","Jacques Rogge",NA,NA,NA,NA,NA,NA,NA
"Q188309","Sergio Parisse","Sergio Parisse",196,110,"Number 8",NA,"Argentina","Italy",NA
"Q193926","Aaron Cruden","Aaron Cruden",178,84,"Fly-Half",NA,"New Zealand",NA,NA
"Q194026","Jimmy Cowan","Jimmy Cowan",185,92,"Scrum-Half",NA,"New Zealand",NA,"/wiki/Gloucester_Rugby"
"Q200427","Dimitri Szarzewski","Dimitri Szarzewski",185,106,"Hooker",NA,"France",NA,NA
"Q205288","Zinzan Brooke","Zinzan Brooke",190,99,"Number 8",NA,"New Zealand",NA,NA
"Q207709","Roland Garros","Roland Garros",NA,NA,NA,NA,NA,NA,NA
"Q209365","Richie Gray","Richie Gray",207,120,"2nd Row",NA,"Great Britain","Scotland",NA
"Q221074","Bud Spencer","Carlo Pedersoli",192,125,NA,NA,"Italy",NA,NA
"Q261477","Gareth Llewellyn","Gareth Llewellyn",198,114,"2nd Row",NA,"Wales",NA,"/wiki/Bristol_Rugby"
"Q276102","Jean de Villiers","Jean de Villiers",191,100,"Centre",NA,"South Africa",NA,NA
"Q281187","George Chuter","George Chuter",178,101,"Hooker",NA,"Great Britain","England",NA
"Q284846","Schalk Willem Petrus Burger","Schalk Burger",193,114,"Flanker",NA,"South Africa",NA,NA
"Q285258","Ron Waldron","Ron Waldron",NA,NA,"Prop",NA,"Wales",NA,NA
"Q285739","Valentin Ursache","Valentin Ursache",194,110,"Flanker",NA,"Romania",NA,"/wiki/Oyonnax_Rugby"
"Q286258","Yannick Jauzion","Yannick Jauzion",193,106,"Centre",NA,"France",NA,NA
"Q287936","Joe Launchbury","Joe Launchbury",199,115,"2nd Row",NA,"Great Britain","England","/wiki/Wasps_Rugby_Football_Club"
"Q289223","Jerry Collins","Jerry Collins",191,107,"3rd Row",NA,"Samoa","New Zealand",NA
"Q301081","Jamie Salmon","Jamie Salmon",183,84,"Centre",NA,"Hong Kong","New Zealand; England",NA
"Q302330","Aaron Mauger","Aaron Mauger",183,94,"Centre",NA,"New Zealand",NA,NA
"Q311569","Michael Hester","Michael Hester",181,NA,NA,NA,NA,NA,NA
"Q316676","Mariusz Pudzianowski","Mariusz Pudzianowski",186,116,NA,NA,"Poland",NA,NA
"Q317422","Eric Liddell","Eric Liddell",173,68,"Winger",NA,"Great Britain",NA,NA
"Q318920","Jonny Wilkinson","Jonny Wilkinson",178,85,"Fly-Half",NA,"Great Britain","England",NA
"Q319318","William Webb Ellis",NA,NA,NA,NA,NA,NA,NA,NA
"Q325033","Jannie du Plessis","Jannie du Plessis",188,121,"Prop",NA,"South Africa",NA,NA
"Q325881","Hugh Llewellyn Glyn Hughes","Hugh Llewellyn Glyn Hughes",NA,NA,NA,NA,NA,NA,NA
"Q327770","John Roe","John Roe",187,105,"Number 8",NA,"Australia",NA,NA
"Q329393","David Auradou","David Auradou",201,108,"2nd Row",NA,"France",NA,NA
"Q335197","Bryan Habana","Bryan Habana",180,94,"Winger",NA,"South Africa",NA,NA
"Q335238","Rahul Bose",NA,NA,NA,NA,NA,NA,NA,NA
"Q338006","Jean-Baptiste Élissalde","Jean-Baptiste Élissalde",172,73,"Fly-Half",NA,"France",NA,NA
"Q348855","Pat Sanderson","Pat Sanderson",190,104,"Number 8",NA,"Great Britain","England",NA
"Q348867","Ian Kirkpatrick","Ian Kirkpatrick",190,102,"3rd Row",NA,"New Zealand",NA,NA
"Q350686","Adam Rhys Jones","Adam Jones",183,124,"Prop",NA,"Great Britain","Wales",NA
"Q350967","Luke McAlister","Luke McAlister",180,95,"Utility Back",NA,"New Zealand",NA,NA
