origWdId,origName,debugComment,itName,wpPage,height,weight,positions,positionsWP,birthCountry,sportCountry,currentTeam,currentTeamWP
Q207,George W. Bush,No stint found,George W. Bush,George_W._Bush,,,,,,,,
Q5809,Ernesto Guevara,No stint found,Ernesto Che Guevara,Che_Guevara,,,,,,,,
Q7571,Patricio Albacete,,Patricio Albacete,Patricio_Albacete,200,115,Seconda linea,,Argentina,,,
Q12940,Jacques Chaban-Delmas,No stint found,Jacques Chaban-Delmas,Jacques_Chaban-Delmas,,,,,,,,
Q18455,Ben Tune,No stint found,Ben Tune,Ben_Tune,185,96,Utility back,,Australia,,,
Q26037,Quade Cooper,,Quade Cooper,Quade_Cooper,186,92,Mediano di apertura,,Nuova Zelanda,Australia,Kintetsu Liners,
Q29880,Ben Botica,No IT WP page,,,,,,,,,,
Q31193,Ben Smith,,Ben Smith,Ben_Smith_(rugbista_1986),185,95,Utility back,,Nuova Zelanda,,Kōbe Steelers,
Q46171,Pekahou Cowan,No IT WP page,,,,,,,,,,
Q46223,Stephen Hoiles,,Stephen Hoiles,Stephen_Hoiles,190,101,Terza linea centro,,Australia,,Randwick,/wiki/Randwick_District_Rugby_Union_Football_Club
Q46393,Yoan Audrin,No IT WP page,,,,,,,,,,
Q46396,Benoît Paillaugue,No IT WP page,,,,,,,,,,
Q56812,Thomas Combezou,No IT WP page,,,,,,,,,,
Q56822,Gerhard Vosloo,No IT WP page,,,,,,,,,,
Q56824,Fabien Cibray,No IT WP page,,,,,,,,,,
Q71268,Hugo Betting,,Hugo Betting,Hugo_Betting,,,Mediano d’apertura,,Germania,,,
Q72185,Manu Tuilagi,,Manu Tuilagi,Manu_Tuilagi,185,110,Tre quarti centro,,Samoa Occ.,Inghilterra,Bayonne,/wiki/Aviron_Bayonnais_Rugby_Pro
Q75480,Marco Platania,,Marco Platania,Marco_Platania,180,88,Tre quarti centro,,Italia,,,
Q75573,Robins Tchale-Watchou,No IT WP page,,,,,,,,,,
Q76869,Toby Flood,,Toby Flood,Toby_Flood,188,92,Utility back,,Regno Unito,Inghilterra,,
Q77848,Sascha Fischer,No IT WP page,,,,,,,,,,
Q80607,George Pisi,No IT WP page,,,,,,,,,,
Q82942,Farid Sid,No IT WP page,,,,,,,,,,
Q86108,Clemens von Grumbkow,,Clemens von Grumbkow,Clemens_von_Grumbkow,191,102,Tre quarti ala,,Germania Ovest,Germania,,
Q87794,Robert Mohr,No IT WP page,,,,,,,,,,
Q90321,Erwin Thiesies,No IT WP page,,,,,,,,,,
Q94144,Massimo Ravazzolo,,Massimo Ravazzolo,Massimo_Ravazzolo,190,95,Tre quarti ala,,Italia,,,
Q94780,Joe Rokocoko,,Joe Rokocoko,Joe_Rokocoko,189,104,Tre quarti ala,,Figi,Nuova Zelanda,,
Q94814,Ronnie Cooke,No IT WP page,,,,,,,,,,
Q98252,Manuel Wilhelm,No IT WP page,,,,,,,,,,
Q101586,Rudolf Finsterer,No IT WP page,,,,,,,,,,
