"fullName","jaName","rugbyscopeId"
"?","?",NA
"AC Bobbiny 92","ACボビニー92","106"
"ACS Tomitany Constanta","ACSトミタニー・コンスタンタ","2723"
"ACT","ACT","42"
"Abe Ravens","アベレイブンズ","30"
"Abela Von","アベラ－ヴォン","30"
"Abelarvon","アベラーヴォン","30"
"Abelavon","アベラヴォン","30"
"Aese Agronomia","アエイス・アグロノミア","391"
"Airshire Bulls","エアーシャー・ブルズ","133"
"Alanmore Catholic College","アランモアカトリックカレッジ",NA
"All BlacksXV","All BlacksXV","124"
"Alma Viva Capitoline","アルマヴィヴァカピトリーナ","49"
"Amateri Rugby Milan","アマトーリ・ラグビー・ミラノ","219"
"Anglet","アングレット","2476"
"Anglican Church","アングリカン・チャーチ",NA
"Anglican Church Glamour","アングリカンチャーチグラマー",NA
"Anglican Church Grammar School","アングリカン・チャーチ・グラマー・スクール",NA
"Anglican Church Grammar School","アングリカンチャーチグラマースクール",NA
"Aolere College","アオレレカレッジ",NA
"Aorelle University","アオレレ大学",NA
"Apparela Dress Burgos","アパレジャドレス・ブルゴス","2553"
"Argentina U20","アルゼンチンU20","862"
"AS Maron","ASマロン","412"
"Asgol Gavin Bro Morganug","アスゴル・ガヴィン・ブロ・モルガヌグ",NA
"Associasion Almuni","アソシアシオン・アルムニ","178"
"Auckland","Auckland","928"
"Auckland U21","オークランドU21","928"
"Ausch","オーシュ","2848"
"Australia A representative","オーストラリアA代表","931"
"Australian Athletic Education University","オーストラリア体育大学",NA
"B&I Lions","B&I Lions","118"
"Baker College","べーカーカレッジ",NA
"Bally Sports Club","バリースポーツクラブ",NA
"Banyer","バニェール","664"
"Barbarians","Barbarians","136"
"Barker College","バーカーカレッジ",NA
"Bay of Playty","ベイ・オブ・プレイティ","957"
"Bay of Plenty","ベイ・オブ・プレンティ","957"
"Bay of Plenty","ベイオブプレンティ","957"
"Bay of Plenty","ベイ・オブ・プレンティー","957"
"Beauvalon","ボーヴァロン","4467"
"Belgrano Athletics Club","ベルグラーノアスレチックスクラブ","360"
"Bette Was RFC","ベットワズRFC","139"
"Birmingham","バーミンガム","434"
"Bishop Castle Community","ビショップキャッスルコミュニティ",NA
"Blagnac","ブラニャック","155"
"Blue Bulls","ブルーブルズ","156"
"Blues Development","ブルースデベロップメント","232"
"Blues U17","ブルーズU17","232"
"Blues U18","ブルーズU18","232"
"Blur","ブラー","1027"
"Bobby","ボビニー","106"
"Bond University","ボンドユニバーシティ","526"
"Border Raiders","ボーダー・レイダーズ","157"
"Border Ravers","ボーダー・レイバース","157"
"Border Rivers","ボーダー・リーヴァーズ","157"
"Bridgend","ブリジェンド","440"
"Brisbane","ブリスベン",NA
"Brisbane Boys College","ブリスベンボーイズカレッジ",NA
"Brisbane Broncause","ブリスベン・ブロンコーズ",NA
"Brisbane Broncos","ブリスベン・ブロンコス",NA
"Brisbane University of Technology","ブリスベン工科大学","6878"
"British Columbia Bears","ブリティッシュコロンビアベアーズ","1631"
"Brothers","ブラザーズ","1494"
"Brothers Rugby Club","ブラザーズラグビークラブ","1014"
"Brumbies Academy","ブランビーズアカデミー","80"
"Brumbies Reiners","ブランビーズ・ライナーズ","80"
"Buenos Aires","ブエノスアイレス",NA
"Burnside Club","バーンサイドクラブ",NA
"C.F. Berenenses","C.F.ベレネンセス","386"
"CA Perigou","CAペリグー","182"
"CA Periju","CAぺリジュー","182"
"CA Sarula","CAサルラ","469"
"Cambodia","カンボジア","766"
"Canberra Grammar School","キャンベラグラマー校",NA
"Canberra Vikings of University","キャンベラ・ヴァイキングスオブユニバーシティ","42"
"Cambridge","ケンブリッジ","1052"
"Candy SC","キャンディーSC","1394"
"Canterbury (NPC)","カンタベリー (NPC)","1510"
"Canterbury RFU","カンタベリー RFU","1510"
"Canterbury Union","カンタベリー・ユニオン","1510"
"CAPBRETON-HOSSEGOR","Capbreton-Hossegor","3153"
"Cardiff Mets","カーディフ・メッツ","1912"
"Carmarthen Quinns","カーマーゼンクインズ","200"
"Carqueiranne Hyères","Carqueiranne Hyères","621"
"Castanet","カスタネット","419"
"CD","CDUL","458"
"Central Vikings","セントラル・ヴァイキングズ","1072"
"Chambery","シャンベリ","675"
"Chancellor Stage College","チャンセラーステージカレッジ",NA
"Chartres","シャルトル","2981"
"Chartres Rugby","シャルトル・ラグビー","2981"
"Chiefs Development","チーフスデベロップメント","72"
"China","中国","347"
"Christchurch University of Education","クライストチャーチ教育大学","6869"
"City","City","5879"
"Clanarra Sharks","クラナラ・シャークス","3077"
"Cleeve","クリーブ",NA
"Clifton","クリフトン","1101"
"Coastal Taranaki","コアスタル・タラナキ","2913"
"Cobra Club","コブラクラブ",NA
"Cochevi","コチェビ","2223"
"Cognac Saint-Jean-Dangerie","コニャック・サン＝ジャン＝ダンジェリ","2658"
"College Heart Plew University","カレッジハートプリュー大学","2205"
"College representatives","高校代表","2339"
"Concar XV","コンカーXV",NA
"Cook Islands","クック諸島","90"
"Cordio de Sardar","コルディオ・デ・サルダール",NA
"Cordoba Athletics","コルドバアスレチックス","1162"
"Cordoba Atletico","コルドバ・アトレティコ","1162"
"Counties Manukau","カウンティ－ズ・マヌカウ","2907"
"County","カウンティー","2907"
"County Manakau","カウンティーマナカウ","2907"
"County Manukau","カウンティー・マヌカウ","2907"
"Coventry","コベントリー","223"
"CR Tech Nico","CRテックニコ","476"
"CR Technikko","CRテクニッコ","476"
"Crotiati","クロティアティ","368"
"Crusaders","Crusaders","188"
"CS Chrissy","CSクリシー",NA,"4563"
"CSM Baiamare","CSMバイアマレ","447"
"CSM Bucharest","CSMブカレスト","2388"
"CSM Bucresti","CSMブクレシュティ","2388"
"De La Salle College","デ・ラ・サールカレッジ",NA
"Deendies","デエンデーズ","1187"
"Delasera College","デラセラカレッジ",NA
"Delay","ディレイト","533"
"Denver Stampy","デンバー・スタンピー","2559"
"Domon","ドモン","668"
"Durham School","ダラムスクール",NA
"Eastern Hawks","イースタン・ホークス",NA
"Eastern Suburb","イースタン・サバーブ","1203"
"Easts Rugby Union","Easts Rugby Union","496"
"Eastwood","イーストウッド","497"
"Ebu Bale RFC","エブブ・ベールRFC","216"
"Ebvale","エブベール","216"
"Ellesmere University","エレスメア大学",NA
"Endeavor Sports Hig","エンデバースポーツヒグ",NA
"England U18","イングランドU18","1217"
"Ennis Killen RFC","エニスキレンRFC","5493"
"Ensei STM","エンセイSTM","166"
"Erindale College","エリンデール・カレッジ",NA
"F.I.R. Academy","F.I.R.アカデミー",NA
"Falcons","ファルコンズ","236"
"FC Auscher","FCオーシュジェール","129"
"FC Axe","FCアックス","510"
"FC Falul Constanta","FCファルル・コンスタンツァ","1232"
"FC Ororon","FCオロロン","513"
"Felsted School","フェルステッド校",NA
"FIR Academy","FIRアカデミー",NA
"Foolscole Voterique","フールスコール・ヴォーテールク",NA
"Francis Douglas Memoria","フランシス・ダグラス・メモリア",NA
"Free State University","フリーステイト大学","TODO"
"Free State University","フリーステート大学","TODO"
"Free State XV","フリーステートXV","22"
"Gangarin","ガンガーリン","1283"
"Gekcho","ゲチョ","520"
"Georgia U-18","ジョージアU-18","1258"
"GER","GER","1111"
"Gilroy College","ギルロイカレッジ",NA
"Gladyartre Sannich","グラディアートル・サンニチ","814"
"Glamour TEC","グラマーTEC","2565"
"Glenwood High","グレンウッド高",NA
"Gocho Altea","ゲチョアルテア","520"
"GPS Old Boys","GPS Old Boys","516"
"Grand Palma","グランパルマ","1340"
"Grande Milan","グランデ・ミラノ","843"
"Grenoble","グルノーブル","255"
"Grey College","グレイカレッジ",NA
"Guilford Grammar School","ギルフォード・グラマー・スクール",NA
"Grikuas","グリクアス","234"
"Haalshontain University","ハールスホンテイン大学",NA
"Hal Ionian","ハル・イオニアン","1351"
"Harbor Rugby Club","ハーバーラグビークラブ",NA
"Hat Old Boysmalist","ハットオールドボーイズマリスト","1353"
"Hawke's Bay","ホークスベイ","2908"
"Hawkes Bay (NPC)","ホークス・ベイ (NPC)","2908"
"Hawkes Bay RGA","ホークスベイRGA","2908"
"Hawks Bay","ホークス・ベイ","2908"
"Hartpury University","ハートプリー大学","2205"
"Hartpury College","ハイトペニーカレッジ","2205"
"Heliots RFC","ヘリオッツRFC","248"
"Heretownga College","ヘレタウンガ・カレッジ",NA
"High School Old Boys","ハイスクールオールドボーイズ","1322"
"High School Old Boys RFC","ハイスクール・オールドボーイズRFC","1322"
"Hiroshima","広島","2047"
"Huiragby Football Club","フイアラグビーフットボールクラブ","6014"
"Hunter's Hill","ハンターズ・ヒル","2272"
"Imperia Penza","インペリア・ペンザ","538"
"India","インド","303"
"Ipswich Grammar School","イプスウィッチ・グラマー・スクール",NA
"Ireland A","アイルランドA","1368"
"Irish Wolf Hands","アイルランドウルフハンズ","1368"
"Ironi","アイロニ","11"
"irony","アイロニー","11"
"Japan","Japan","210"
"Japan National Team Backroom Coach Staff","日本代表バックルームコーチスタッフ",NA
"John McGalaxyan College","ジョンマクガラシャンカレッジ",NA
"John McGlashan College","ジョン・マクグラシャン・カレッジ",NA
"John Paul College","ジョンポールカレッジ",NA
"John Wesley College","ジョンウェズレーカレッジ",NA
"Joseph Nudge College","ジョセフナッジカレッジ",NA
"Juntendo University Graduate School","順天堂大学大学院","5667"
"Kaipara College","カイパラ・カレッジ",NA
"Kanagawa Prefecture School Representative","神奈川県スクール代表",NA
"Kandabury","カンダベリー","1811"
"Kansai Maruwa Logistics","関西丸和ロジスティクス","3277"
"Kenya Harlequins","ケニア・ハーレクインズ","1403"
"King's Christian College","King's Christian College",NA
"King College","キングカレッジ",NA
"Kitajima","北島","2898"
"Kitsuro","キツロ","66"
"Kochebi Bornisi","コチェビ・ボルニシ","2223"
"Krasnoyarsk","クラスヌイ・ヤールクラスノヤルスク","166"
"Krasnoyarsk","クラスノヤルスク","166"
"Krasnyaru","クラスニヤール","166"
"Kusunoki Club","くすのきクラブ",NA
"Kvamri Tbilisi","クヴァムリ・トビリシ","3197"
"Kyoto Freaks","京都フリークス",NA
"Kyoto University Graduate School","京都大学大学院","2058"
"La Test","ラ・テスト",NA,"722"
"La Vallett","ラ・ヴァレット","2881"
"Lambasa Sangam College","ランバササンガムカレッジ",NA
"Landberry RFC","ランドベリーRFC","100"
"Landvalley RFC","ランドヴァリーRFC","100"
"Lanelli","ラネリ","272"
"Lanelly","ラネリー","272"
"Lansdown","ランズダウン","544"
"Latukadavrev School","ラトゥカダヴレヴスクール",NA
"Lazio","ラツィオ","205"
"Lebanon","レバノン","771"
"Legatos","レガータス","465"
"Leonoso Udine","レオノーソ・ウディネ","787"
"Leopals","レオパルズ","308"
"Leopold","レオポルド","307"
"Lero Saracens","レロ・サラセンズ","2345"
"Lero Sarasense","レロ・サラセンス","2345"
"Lero Sarasense (Georgian version)","レロ・サラセンス（グルジア語版）","2345"
"Leulmoegafo College","レウルモエガフォカレッジ",NA
"Linse R.C.","リンセR.C.","3228"
"Lions Piacenkbanza","ライオンズ・ピアチェンクバンツァ","618"
"Lions U18","ライオンズU18","241"
"Livorno","リヴォルノ","847"
"locomotive","ロコモーティブ","2156"
"London Welsh","ロンドンウエリッシュ","201"
"Los Tacos RC","ロス・タコスRC","1474"
"Los Tyros","ロス・ティロス","1128"
"Loughborough University RUFC","ラフバラー大学RUFC","1476"
"Luang NR","ルアンNR","678"
"Lulanelli RFC","ルラネリRFC","272"
"Mahadaonda Rugby Club","マハダオンダ ラグビー クラブ","2861"
"Mana College","マナカレッジ",NA
"Manawah","マナワウ","2909"
"Manawatsu","マナワツ","2909"
"Manly Selective Campus","マンリーセレクティブキャンパス",NA
"Manukau","マヌカウ","2907"
"Manuwa","マヌワウ","2909"
"Manuwatsu","マヌワツ","2909"
"Marist","マリスト","1494"
"Marist Club","マリストクラブ","1495"
"Marist St. Joseph's","マリスト・St・ジョゼフズ","1496"
"Marlboro","マールボロ","361"
"mash","マッシュ","5"
"Mast Club","帆柱クラブ",NA
"Matamata College","マタマタカレッジ",NA
"Matamata University","マタマタ大学",NA
"Metal G","メタルグ","569"
"Metal Rug","メタルルグ","569"
"Metalag","メタラグ","569"
"Metaubank University","メタウバンク大学",NA
"Mid Canterbury","ミッド・カンタベリー","1510"
"Millfield School","ミルフィールドスクール",NA
"Modern Globis","現代グロービス",NA
"Moldova","モルドバ","319"
"Monaco","モナコ",NA,
"Monino","モニノ","279"
"Montluson","モンリュソン","559"
"Montpellier","Montpellier",NA,"76"
"Moon Star Club","月星クラブ",NA
"Moreon","モレオン","655"
"Moriano","モリアーノ","339"
"Moriano 1956","モリアーノ1956","339"
"Moriano Rugby","モリアーノ・ラグビー","339"
"Moseley","モーズリー","26"
"Mount Albert Grammar School","マウントアルバートグラマースクール",NA,
"Mount Roskill Grammar School","マウントロスキルグラマースクール",NA
"Munakata Sanics","宗像サニックス","1250"
"Osaka Prefecture School Representative","大阪府スクール代表",NA
"Osaka Prefecture School Representative (National Junior Rugby Football Tournament)","大阪府スクール代表(全国ジュニア・ラグビーフットボール大会",NA
"Otago","オタゴ","2911"
"Pay Dex RC","ペイ・デクスRC","181"
"Perpignan","Perpignan","266"
"Pumas","プーマス","233"
"RC Alumina","RCアルミア","2309"
"RC Almia Tbilisi","RCアルミア・トビリシ","2309"
"RC Cochebibornishi","RCコチェビボルニシ","2223"
"RC Cochevi","RCコチェビ","2223"
"RC Kochebi Bornisi","RCコチェビ・ボルニシ","2223"
"RC Orleans","RCオルレアン","625"
"SC Pamier","SCパミエ","656"
"SC Glore","SCグローレ","393"
"SO Chambery","SOシャンベリ","675"
"Suba Highlanders","スバ・ハイランダーズ","1856"
"The Rock","ザ・ロック","2363"
"Unillon Sportive Bressantine","ユニヨン・スポルティーヴ・ブレッサンヌ","250"
"Yokogawa Musashino","横河武蔵野","1995"
"Wanderers","ワンダラーズ","2637"
"Wellington","ウェリントン","270"
"Wests","Wests","741"
"南島","南島","2899"
