"fullName","type","altNames","countries"
"OK Finance","Club","OK金融","South Korea"
"A.U Broncos","Club","A.Uブロンコス",NA
"Akashi Junior Rugby Club","Club","明石ジュニアラグビークラブ","Japan"
"Argentina national under-19 rugby union team","National U19 team","アルゼンチン U-19","Argentina"
"Argentina national under-21 rugby union team","National U21 team","アルゼンチン U-21","Argentina"
"Auckland Institute of Technology","Club","オークランド工科大学","Japan"
"Australian College","Club","オーストラリアン・カレッジ","Australia"
"Bulava Taganrog","Club","ブラヴァ・タガンログ","Russia"
"Kabras Sugar RFC","Club","カブラスシュガーRFC","Kenya"
"Christchurch Polytechnic Institute of Technology","Club","クライストチャーチ工科大学","New Zealand"
"CS Cleopatra Mamaia","Club","CSクレオパトラ・ママヤ","Romania"
"CS Minaur Baia Mare","Club","CSデミノー・バイア・マーレ","Romania"
"CS Rapid București","Club","CSラピッド・ブクレシュティ","Romania"
"Club Deportivo Universidad Católica","Club","CSウニベルシダ・カトリーナ","Chile"
