"url","fullName"
"/wiki/%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%B9%E3%83%88%E3%83%81%E3%83%A3%E3%83%BC%E3%83%81%E7%94%B7%E5%AD%90%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Christchurch Boys' High School",""
"/wiki/%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%B9%E3%83%88%E3%83%81%E3%83%A3%E3%83%BC%E3%83%81%E3%83%BB%E3%83%9C%E3%83%BC%E3%82%A4%E3%82%BA%E3%83%8F%E3%82%A4%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB","Christchurch Boys' High School"
"/wiki/%E6%AD%A3%E6%99%BA%E6%B7%B1%E8%B0%B7%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Seichi Fukaya High School"
"/wiki/%E5%A5%88%E8%89%AF%E7%9C%8C%E7%AB%8B%E5%BE%A1%E6%89%80%E5%B7%A5%E6%A5%AD%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Nara Prefectural Gosho Technical High School"
"/wiki/%E5%A4%A7%E9%98%AA%E5%BA%9C%E7%AB%8B%E4%B8%89%E5%B3%B6%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Osaka Prefectural Mishima High School"
"/wiki/%E4%B8%B8%E5%92%8C%E9%81%8B%E8%BC%B8%E6%A9%9F%E9%96%A2%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%83%A8","AZ-COM Maruwa MOMOTARO'S"
"/wiki/%E4%BB%99%E5%8F%B0%E8%82%B2%E8%8B%B1%E5%AD%A6%E5%9C%92%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Sendai Ikuei Gakuen High School"
"/wiki/%E9%9D%92%E5%B1%B1%E5%AD%A6%E9%99%A2%E4%B8%AD%E7%AD%89%E9%83%A8%E3%83%BB%E9%AB%98%E7%AD%89%E9%83%A8","Aoyama Gakuin High School"
"/wiki/%E5%8C%97%E6%B5%B7%E9%81%93%E4%B8%AD%E6%A8%99%E6%B4%A5%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Hokkaido Nakashibetsu High School"
"/wiki/%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%95%E3%82%A1%E3%82%A4%E3%82%BF%E3%83%BC%E3%82%BA","Clean Fighters Yamanashi"
"/wiki/%E5%A4%A7%E9%98%AA%E5%BA%9C%E7%AB%8B%E5%B3%B6%E6%9C%AC%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Osaka Prefectural Shimamoto High School"
"/wiki/%E6%B3%95%E6%94%BF%E5%A4%A7%E5%AD%A6%E7%AC%AC%E4%BA%8C%E4%B8%AD%E3%83%BB%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Hosei University Second High School"
"/wiki/%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%AB%8B%E5%85%AB%E5%B9%A1%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Fukuoka Prefectural Yahata High School"
"/wiki/%E6%B8%85%E7%9C%9F%E5%AD%A6%E5%9C%92%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E3%83%BB%E4%B8%AD%E5%AD%A6%E6%A0%A1","Seishin Gakuen High School"
"/wiki/%E4%BA%AC%E9%83%BD%E5%B8%82%E7%AB%8B%E4%BC%8F%E8%A6%8B%E5%B7%A5%E6%A5%AD%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Kyoto City Fushimi Technical High School"
"/wiki/%E5%B1%B1%E6%A2%A8%E7%9C%8C%E7%AB%8B%E6%97%A5%E5%B7%9D%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Yamanashi Prefectural Hikawa High School"
"/wiki/%E6%97%A5%E6%9C%AC%E5%A4%A7%E5%AD%A6%E5%B7%A5%E5%AD%A6%E9%83%A8%E3%83%BB%E5%A4%A7%E5%AD%A6%E9%99%A2%E5%B7%A5%E5%AD%A6%E7%A0%94%E7%A9%B6%E7%A7%91","Nihon University College of Engineering"
"/wiki/%E6%9D%B1%E7%A6%8F%E5%B2%A1%E8%87%AA%E5%BD%8A%E9%A4%A8%E4%B8%AD%E5%AD%A6%E6%A0%A1%E3%83%BB%E6%9D%B1%E7%A6%8F%E5%B2%A1%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Higashi Fukuoka Jikkyokan High School"
"/wiki/%E4%B8%89%E9%87%8D%E7%9C%8C%E7%AB%8B%E6%9C%9D%E6%98%8E%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Mie Prefectural Asame High School"
"/wiki/%E5%B8%B8%E7%BF%94%E5%AD%A6%E5%9C%92%E4%B8%AD%E5%AD%A6%E6%A0%A1%E3%83%BB%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Josho Gakuen High School"
"/wiki/%E5%BA%83%E5%B3%B6%E7%9C%8C%E7%AB%8B%E7%AB%B9%E5%8E%9F%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Hiroshima Prefectural Takehara High School"
"/wiki/%E5%B2%90%E9%98%9C%E7%9C%8C%E7%AB%8B%E5%B2%90%E9%98%9C%E5%B7%A5%E6%A5%AD%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Gifu Prefectural Gifu Technical High School"
"/wiki/%E6%96%B0%E7%94%B0%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Nitta High School"
"/wiki/%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%A6%E4%BD%93%E8%82%B2%E4%BC%9A%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%95%E3%83%83%E3%83%88%E3%83%9C%E3%83%BC%E3%83%AB%E9%83%A8","Tokai University Shonan Campus Rugby Football Club"
"/wiki/%E4%B8%AD%E6%9D%91%E5%AD%A6%E5%9C%92%E4%B8%89%E9%99%BD%E4%B8%AD%E5%AD%A6%E6%A0%A1%E3%83%BB%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Nakamura Gakuen Sanyo High School"
"/wiki/%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%AB%8B%E6%9D%B1%E6%92%AD%E5%B7%A5%E6%A5%AD%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Hyogo Prefectural Toban Technical High School"
"/wiki/%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%A6%E4%BB%98%E5%B1%9E%E4%BB%B0%E6%98%9F%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E3%83%BB%E4%B8%AD%E7%AD%89%E9%83%A8","Tokai University Osaka Kosei High School"
"/wiki/%E5%B4%87%E5%BE%B3%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Sutoku High School"
"/wiki/%E4%BA%AC%E9%83%BD%E6%88%90%E7%AB%A0%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Kyoto Seisho High School"
"/wiki/%E6%9D%B1%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E8%8B%B1%E7%94%B0%E4%B8%AD%E5%AD%A6%E6%A0%A1","Higashiosaka Municipal Aida High School"
"/wiki/%E5%9C%8B%E5%AD%B8%E9%99%A2%E5%A4%A7%E5%AD%B8%E4%B9%85%E6%88%91%E5%B1%B1%E4%B8%AD%E5%AD%A6%E6%A0%A1%E3%83%BB%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Kokugakuin University Kugayama High School"
"/wiki/%E9%96%A2%E8%A5%BF%E5%89%B5%E4%BE%A1%E4%B8%AD%E5%AD%A6%E6%A0%A1%E3%83%BB%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Kansai Soka High School"
"/wiki/%E6%9D%B1%E5%B1%B1%E4%B8%AD%E5%AD%A6%E6%A0%A1%E3%83%BB%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Higashiyama High School"
"/wiki/%E4%B8%89%E9%87%8D%E7%9C%8C%E7%AB%8B%E5%9B%9B%E6%97%A5%E5%B8%82%E8%BE%B2%E8%8A%B8%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Mie Prefectural Yokkaichi Agricultural High School"
"/wiki/%E5%A4%A7%E5%88%86%E7%9C%8C%E7%AB%8B%E5%A4%A7%E5%88%86%E8%88%9E%E9%B6%B4%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Oita Prefectural Oita Maizuru High School"
"/wiki/%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E7%AB%8B%E7%94%9F%E7%94%B0%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Kanagawa Prefectural Ikuta High School"
"/wiki/%E5%85%B5%E5%BA%AB%E7%9C%8C%E7%AB%8B%E5%85%B5%E5%BA%AB%E5%B7%A5%E6%A5%AD%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Hyogo Prefectural Hyogo Technical High School"
"/wiki/%E5%B8%B8%E7%BF%94%E5%95%93%E5%85%89%E5%AD%A6%E5%9C%92%E4%B8%AD%E5%AD%A6%E6%A0%A1%E3%83%BB%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Josho Keiko Gakuen High School"
"/wiki/%E6%98%8C%E5%B9%B3%E4%B8%AD%E5%AD%A6%E3%83%BB%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Shohei High School"
"/wiki/%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%AB%8B%E5%85%AB%E5%B9%A1%E4%B8%AD%E5%A4%AE%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Fukuoka Prefectural Yahata Chuo High School"
"/wiki/%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%A6%E4%BB%98%E5%B1%9E%E5%A4%A7%E9%98%AA%E4%BB%B0%E6%98%9F%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E3%83%BB%E4%B8%AD%E7%AD%89%E9%83%A8","Tokai University Osaka Kosei High School"
"/wiki/%E5%B2%A9%E6%89%8B%E7%9C%8C%E7%AB%8B%E7%9B%9B%E5%B2%A1%E5%B7%A5%E6%A5%AD%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Iwate Prefectural Morioka Technical High School"
"/wiki/%E5%B2%A9%E6%89%8B%E7%9C%8C%E7%AB%8B%E9%BB%92%E6%B2%A2%E5%B0%BB%E5%B7%A5%E6%A5%AD%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Iwate Prefectural Kurosawajiri Technical High School"
"/wiki/%E9%95%B7%E5%B4%8E%E7%9C%8C%E7%AB%8B%E9%95%B7%E5%B4%8E%E5%8C%97%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Nagasaki Prefectural Nagasaki Kita High School"
"/wiki/%E7%BE%A4%E9%A6%AC%E7%9C%8C%E7%AB%8B%E9%AB%98%E5%B4%8E%E5%95%86%E6%A5%AD%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Gunma Prefectural Takasaki Commercial High School"
"/wiki/%E8%8C%A8%E5%9F%8E%E7%9C%8C%E7%AB%8B%E6%97%A5%E7%AB%8B%E7%AC%AC%E4%B8%80%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E3%83%BB%E9%99%84%E5%B1%9E%E4%B8%AD%E5%AD%A6%E6%A0%A1","Ibaraki Prefectural Hitachi Daiichi High School"
"/wiki/%E5%9F%BC%E7%8E%89%E7%9C%8C%E7%AB%8B%E7%86%8A%E8%B0%B7%E5%B7%A5%E6%A5%AD%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Saitama Prefectural Kumagaya Technical High School"
"/wiki/%E5%9F%8E%E5%8C%97%E4%B8%AD%E5%AD%A6%E6%A0%A1%E3%83%BB%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Johoku High School"
"/wiki/%E6%9E%9A%E6%96%B9%E5%B8%82%E7%AB%8B%E8%B9%89%E8%B7%8E%E4%B8%AD%E5%AD%A6%E6%A0%A1","Hirakata City Jyogakuin High School"
"/wiki/%E7%9F%B3%E8%A6%8B%E6%99%BA%E7%BF%A0%E9%A4%A8%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1","Iwami Chisuikan High School"
