"fullName","jaName","teamId"
"→OK Finance","→OK金融",""
"A.U Broncos","A.Uブロンコス",""
"Abe Ravens","アベレイブンズ",""
"Abela Von","アベラ－ヴォン",""
"Abelarvon","アベラーヴォン",""
"Abelavon","アベラヴォン",""
"AC Bobbiny 92","ACボビニー92",""
"ACS Tomitany Constanta","ACSトミタニー・コンスタンタ",""
"ACT","ACT",""
"Aese Agronomia","アエイス・アグロノミア",""
"Airshire Bulls","エアーシャー・ブルズ",""
"Akashi Junior Rugby Club","明石ジュニアラグビークラブ",""
"Alanmore Catholic College","アランモアカトリックカレッジ",""
"Albi","アルビ",""
"All BlacksXV","All BlacksXV",""
"Alma Viva Capitoline","アルマヴィヴァカピトリーナ",""
"Amateri Rugby Milan","アマトーリ・ラグビー・ミラノ",""
"Amman United","Amman United",""
"Anglet","アングレット",""
"Anglet ORC","アングレットORC",""
"Anglican Church","アングリカン・チャーチ",""
"Anglican Church Glamour","アングリカンチャーチグラマー",""
"Anglican Church Grammar School","アングリカン・チャーチ・グラマー・スクール",""
"Aolere College","アオレレカレッジ",""
"Aorelle University","アオレレ大学",""
"Apparela Dress Burgos","アパレジャドレス・ブルゴス",""
"Argentina A","アルゼンチンA",""
"Argentina U-19","アルゼンチン U-19",""
"Argentina U-21","アルゼンチン U-21",""
"Argentina U20","アルゼンチンU20",""
"AS Macon","ASマコン",""
"AS Maron","ASマロン",""
"Asgol Gavin Bro Morganug","アスゴル・ガヴィン・ブロ・モルガヌグ",""
"Asia Pacific Dragons","アジア・パシフィック・ドラゴンズ",""
"Associasion Almuni","アソシアシオン・アルムニ",""
"Atlantic Rock","アトランティックロック",""
"Auckland","Auckland",""
"Auckland Institute of Technology","オークランド工科大学",""
"Auckland U21","オークランドU21",""
"Ausch","オーシュ",""
"Australia A","オーストラリアA",""
"Australia A representative","オーストラリアA代表",""
"Australian Athletic Education University","オーストラリア体育大学",""
"Australian College","オーストラリアン・カレッジ",""
"Baker College","べーカーカレッジ",""
"Bally Sports Club","バリースポーツクラブ",""
"Banbridge RFC","Banbridge RFC",""
"Banyer","バニェール",""
"Barker College","バーカーカレッジ",""
"Bay of Plenty","ベイオブプレンティ",""
"BC Bears","BCベアーズ",""
"Beauvalon","ボーヴァロン",""
"Belfast","ベルファスト",""
"Belfast Rugby Football Club","ベルファストラグビーフットボールクラブ",""
"Belgrano Athletics Club","ベルグラーノアスレチックスクラブ",""
"Bette Was RFC","ベットワズRFC",""
"Béziers","Béziers",""
"Birmingham","バーミンガム",""
"Bishop's Stortford","ビショップズ・ストートフォード",""
"Bishop Castle Community","ビショップキャッスルコミュニティ",""
"Blagnac","ブラニャック",""
"Blues Development","ブルースデベロップメント",""
"Blues U17","ブルーズU17",""
"Blues U18","ブルーズU18",""
"Blur","ブラー",""
"Bobby","ボビニー",""
"Bond University","ボンド大学",""
"Border Raiders","ボーダー・レイダーズ",""
"Border Ravers","ボーダー・レイバース",""
"Border Rivers","ボーダー・リーヴァーズ",""
"Brava Taganlog","ブラヴァ・タガンログ",""
"Bridgend","ブリジェンド",""
"Bridgend Ravens","ブリジェンド・レイブンズ",""
"Brisbane","ブリスベン",""
"Brisbane Boys College","ブリスベンボーイズカレッジ",""
"Brisbane Broncause","ブリスベン・ブロンコーズ",""
"Brisbane Broncos","ブリスベン・ブロンコス",""
"Brisbane City","ブリスベンシティー",""
"Brisbane University of Technology","ブリスベン工科大学",""
"British Columbia Bears","ブリティッシュコロンビアベアーズ",""
"Brothers","ブラザーズ",""
"Brumbies","Brumbies",""
"Brumbies Academy","ブランビーズアカデミー",""
"Brumbies Reiners","ブランビーズ・ライナーズ",""
"Buenos Aires","ブエノスアイレス",""
"Buenos Aires Cricket & Rugby Club","ブエノスアイレスクリケット&ラグビークラブ",""
"Burnside Club","バーンサイドクラブ",""
"Burnside RFC","バーンサイドRFC",""
"C.F. Berenenses","C.F.ベレネンセス",""
"CA Perigou","CAペリグー",""
"CA Periju","CAぺリジュー",""
"CA Saint-Etienne Loire Sud Rugby","CAサンテティエンヌ・ロワール・シュド・ラグビー",""
"CA Sarula","CAサルラ",""
"Cabras Sugar RFC","カブラスシュガーRFC",""
"Cambodia","カンボジア",""
"Cambridge","ケンブリッジ",""
"Cambridge R.U.F.C.","ケンブリッジR.U.F.C.",""
"Canberra Grammar School","キャンベラグラマー校",""
"Canberra Vikings","キャンベラ・バイキングス",""
"Canberra Vikings of University","キャンベラ・ヴァイキングスオブユニバーシティ",""
"Candy SC","キャンディーSC",""
"Canterbury","カンタベリー",""
"Canterbury (NPC)","カンタベリー (NPC)",""
"Canterbury RFU","カンタベリー RFU",""
"Canterbury Union","カンタベリー・ユニオン",""
"CAPBRETON-HOSSEGOR","Capbreton-Hossegor",""
"Cardiff Mets","カーディフ・メッツ",""
"Cardiff RFC","カーディフRFC",""
"Carmarthen Quinns","カーマーゼンクインズ",""
"Carmarthen Quins","カーマーゼン・クインズ",""
"Carmarthen Quins RFC","カーマーゼン・クインズRFC",""
"Carqueiranne Hyères","Carqueiranne Hyères",""
"Castanet","カスタネット",""
"CD","CDUL",""
"Celtic Warriors","セルティック・ウォリアーズ",""
"Central Coast Rays","セントラル・コーストレイズ",""
"Central Vikings","セントラル・ヴァイキングズ",""
"Chambery","シャンベリ",""
"Chancellor Stage College","チャンセラーステージカレッジ",""
"Chartres","シャルトル",""
"Chartres Rugby","シャルトル・ラグビー",""
"Chiefs Development","チーフスデベロップメント",""
"China","中国",""
"Christchurch Institute of Technology","クライストチャーチ工科大学",""
"Christchurch University of Education","クライストチャーチ教育大学",""
"Clanarra Sharks","クラナラ・シャークス",""
"Cleeve","クリーブ",""
"Clifton","クリフトン",""
"Club Newman","Club Newman",""
"Coastal Stallions","コースタル・スタリオンズ",""
"Coastal Taranaki","コアスタル・タラナキ",""
"Cobra Club","コブラクラブ",""
"COBRA rugby club","COBRA rugby club",""
"Cochevi","コチェビ",""
"cognac","コニャック",""
"Cognac Saint-Jean-Dangerie","コニャック・サン＝ジャン＝ダンジェリ",""
"College Heart Plew University","カレッジハートプリュー大学",""
"College representatives","高校代表",""
"Concar XV","コンカーXV",""
"Cook Islands","クック諸島",""
"Cordio de Sardar","コルディオ・デ・サルダール",""
"Cordoba Athletics","コルドバアスレチックス",""
"Cordoba Atletico","コルドバ・アトレティコ",""
"Counties Manukau","カウンティ－ズ・マヌカウ",""
"County","カウンティー",""
"County Manakau","カウンティーマナカウ",""
"County Manukau","カウンティー・マヌカウ",""
"Coventry","コベントリー",""
"Coventry R.F.C. → NG Dragons","Coventry R.F.C. → NG Dragons",""
"CR El Salvador","CRエル・サルヴァドール",""
"CR Tech Nico","CRテックニコ",""
"CR Technikko","CRテクニッコ",""
"Crotiati","クロティアティ",""
"CS Chrissy","CSクリシー",""
"CS Cleopatra Mamaya","CSクレオパトラ・ママヤ",""
"CS Deminaw Bya Mare","CSデミノー・バイア・マーレ",""
"CS Rapid Bucresti","CSラピッド・ブクレシュティ",""
"CS Universida Katrina","CSウニベルシダ・カトリーナ",""
"CSKA Moscow","CSKAモスクワ",""
"CSM Baiamare","CSMバイアマレ",""
"CSM Bucharest","CSMブカレスト",""
"CSM Bucresti","CSMブクレシュティ",""
"CSUAV Arad","CSUAVアラド",""
"Darlington Mowden Park","ダーリントン・モウデン・パーク",""
"De La Salle College","デ・ラ・サールカレッジ",""
"DeA Tigers RFC","DeAタイガースRFC",""
"Deendies","デエンデーズ",""
"Delasera College","デラセラカレッジ",""
"Delay","ディレイト",""
"Denver Stampede","デンバー・スタンピード",""
"Denver Stampy","デンバー・スタンピー",""
"Domon","ドモン",""
"Durham School","ダラムスクール",""
"Eastern Hawks","イースタン・ホークス",""
"Eastern Province Elephants","Eastern Province Elephants",""
"Eastern Suburb","イースタン・サバーブ",""
"Eastern Suburbs","イースタン・サバーブズ",""
"Easts Rugby Union","Easts Rugby Union",""
"Eastwood","イーストウッド",""
"Ebu Belle RFC","エブブ・ベールRFC",""
"Ebvale","エブベール",""
"Eden Rugby Football Club","エデンラグビーフットボールクラブ",""
"El Salvador","エル・サルバドル",""
