"rugbyscopeId","altNames","teamWP"
"6859","サウス","Souths_Rugby"
"493","イーストコースト; クイーンズランド; クイーンズランド・カントリー","Queensland_Country_(NRC_team)"
"424","ブリスベン・シティ; バリーモア・トルネードス","Brisbane_City_(rugby_union)"
"315","RCトゥーロン; トゥーロン","RC%E3%83%88%E3%82%A5%E3%83%BC%E3%83%AD%E3%83%B3"
"1215","花園L; 花園近鉄ライナーズ; 近鉄; 近鉄ライナーズ; 近畿日本鉄道","%E8%8A%B1%E5%9C%92%E8%BF%91%E9%89%84%E3%83%A9%E3%82%A4%E3%83%8A%E3%83%BC%E3%82%BA"
"6860","レッズ; クイーンズランド・レッズ; クイーンズランド・レッズU18","%E3%83%AC%E3%83%83%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)"
"247","レベルズ","%E3%83%AC%E3%83%99%E3%83%AB%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)"
"6861","U20オーストラリア; オーストラリアU20","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8"
"6862","オーストラリア","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E4%BB%A3%E8%A1%A8"
"2145","ポー; セクシオン・パロワーズ","%E3%82%BB%E3%82%AF%E3%82%B7%E3%82%AA%E3%83%B3%E3%83%BB%E3%83%91%E3%83%AD%E3%83%AF%E3%83%BC%E3%82%BA"
"6863","神戸S; 神戸製鋼; 神戸製鋼コベルコスティーラーズ; 神戸; 神戸製鋼所; コベルコ神戸スティーラーズ","%E3%82%B3%E3%83%99%E3%83%AB%E3%82%B3%E7%A5%9E%E6%88%B8%E3%82%B9%E3%83%86%E3%82%A3%E3%83%BC%E3%83%A9%E3%83%BC%E3%82%BA"
"6864","ハイランダーズ; ハイランダーズU18; ハイランダーズU20","%E3%83%8F%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%80%E3%83%BC%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)"
"6865","オタゴ",NA
"6866","ニュージーランド; ニュージーランドU21; New Zealand; ニュージーランド北島代表; ニュージーランドU20","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8"
NA,"パース・スピリット",NA
"2479","清水建設; 江東BS; 清水建設ブルーシャークス","%E6%B8%85%E6%B0%B4%E5%BB%BA%E8%A8%AD%E6%B1%9F%E6%9D%B1%E3%83%96%E3%83%AB%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%B9"
"6867","フォース; ウェスタン・フォース","%E3%82%A6%E3%82%A7%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%BB%E3%83%95%E3%82%A9%E3%83%BC%E3%82%B9"
"204","レスター; レスター・タイガース","%E3%83%AC%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%BF%E3%82%A4%E3%82%AC%E3%83%BC%E3%82%B9"
"6868","セール; セール・シャークス","%E3%82%BB%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%B7%E3%83%A3%E3%83%BC%E3%82%AF%E3%82%B9"
"6869","イングランド; イングランドA; イングランド代表","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8"
