"fullName","jaName","rugbyscopeId","playerWP"
"Tasman","タスマン",NA,"%E3%83%AD%E3%82%B9%E3%82%A2%E3%82%A4%E3%82%B6%E3%83%83%E3%82%AF"
"Tasman","Tasman",NA,"%E3%82%A4%E3%83%BC%E3%82%B5%E3%83%B3%E3%83%BB%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%82%A2%E3%83%80%E3%83%BC"
"Tasman Makoz","タスマン・マコズ",NA,"%E3%83%86%E3%83%B4%E3%82%A3%E3%82%BF%E3%83%BB%E3%82%B6%E3%83%B4%E3%83%B3%E3%83%90%E3%83%86%E3%82%A3"
"Tatami","タタミ",NA,"%E3%83%9E%E3%83%86%E3%82%A3%E3%82%A2%E3%82%B9%E3%83%BB%E3%83%88%E3%82%A5%E3%83%87%E3%83%A9"
"Tauponui Atoa College","タゥポヌイアトゥアカレッジ",NA,"%E3%82%BD%E3%83%AD%E3%83%A2%E3%83%B3%E3%83%BB%E3%82%AD%E3%83%B3%E3%82%B0"
"technical","テクニカル",NA,"%E3%83%A9%E3%83%95%E3%82%A1%E3%82%A8%E3%83%AC%E3%83%BB%E3%82%B9%E3%83%88%E3%83%AB%E3%83%86%E3%82%A3"
"Telenuer College","テレニュアカレッジ",NA,"%E3%83%86%E3%83%89%E3%83%BB%E3%82%A2%E3%83%96%E3%82%B8%E3%83%A3%E3%83%B3%E3%83%80%E3%82%BC"
"Thames Valley","テムズ・ヴァリー",NA,"%E3%83%AA%E3%83%81%E3%83%A3%E3%83%BC%E3%83%89%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%83%E3%83%89"
"The Ballymore Tornados","バリーモア・トルネードズ",NA,"%E3%82%B0%E3%83%AC%E3%83%83%E3%82%B0%E3%83%BB%E3%83%9B%E3%83%BC%E3%83%A0%E3%82%BA"
"The Medici","I Medicei",NA,"%E3%83%8B%E3%83%83%E3%82%AF%E3%83%BB%E3%83%81%E3%83%B4%E3%82%A7%E3%83%83%E3%82%BF"
"Theaute College","テアウテカレッジ",NA,"%E3%83%AA%E3%82%AD%E3%83%BB%E3%83%95%E3%83%AB%E3%83%BC%E3%83%86%E3%82%A3"
"Thiene","Thiene",NA,"%E3%82%B8%E3%83%A7%E3%83%B3%E3%83%BB%E3%82%AB%E3%83%BC%E3%83%AF%E3%83%B3"
"To Pukeko","プケコへ",NA,"%E8%BE%B0%E9%87%8E%E6%96%B0%E4%B9%8B%E4%BB%8B"
"Toberanites","トベルアナイツ",NA,"%E3%83%98%E3%83%B3%E3%83%AA%E3%83%BC%E3%83%BB%E3%82%BB%E3%83%8B%E3%83%AD%E3%83%AA"
"Tokyo Electric Power Company","東京電力",NA,"%E9%87%91%E6%BE%A4%E7%AB%A0%E5%A4%AA"
"Tonga College","トンガカレッジ",NA,"%E3%82%B7%E3%83%A9%E3%83%BB%E3%83%97%E3%82%A2%E3%83%95%E3%82%A3%E3%82%B7"
"Tooomba","トウーンバ",NA,"%E3%82%A2%E3%83%B3%E3%83%80%E3%83%BC%E3%82%BD%E3%83%B3%E3%83%95%E3%83%AC%E3%82%A4%E3%82%B6%E3%83%BC"
"Trevizo","トレビーゾ",NA,"%E3%83%95%E3%82%A3%E3%83%AD%E3%83%BB%E3%83%86%E3%82%A3%E3%82%A2%E3%83%86%E3%82%A3%E3%82%A2"
"Trinity University College","トリニティー・ユニバーシティ・カレッジ",NA,"%E3%82%B8%E3%83%A7%E3%83%8A%E3%82%B5%E3%83%B3%E3%83%BB%E3%83%87%E3%83%BC%E3%83%B4%E3%82%A3%E3%82%B9_(1988%E5%B9%B4%E7%94%9F%E3%81%AE%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E9%81%B8%E6%89%8B)"
